round,FC Ashdod,Kiryat Shmona,M. Tel Aviv,Hapoel Tel Aviv,Bnei Yehuda,Hapoel Acre,Bnei Sakhnin,H. Beer Sheva,Hapoel Haifa,Maccabi Netanya,B. Jerusalem,Maccabi Haifa,H. Ramat Gan,Ramat haSharon
1,1,2,3,4,5,5,7,7,7,7,11,12,13,14
2,1,2,4,3,5,10,11,7,12,9,8,14,13,6
3,1,4,3,2,8,5,14,9,13,7,10,12,11,6
4,2,8,1,3,5,4,14,10,13,7,11,12,9,5
5,1,7,2,3,5,4,14,9,13,8,11,12,10,5
6,1,7,2,3,6,4,14,8,13,9,10,12,11,5
7,1,9,2,3,6,4,13,7,14,10,8,12,11,5
8,2,7,1,3,9,4,11,10,14,8,5,13,12,6
9,2,8,1,3,4,5,11,10,14,9,6,13,12,7
10,1,9,2,3,4,8,11,7,14,10,5,12,13,6
11,1,7,3,2,4,8,12,9,14,10,5,11,13,6
12,3,5,1,2,6,10,12,7,14,11,4,9,13,8
13,3,4,1,2,6,10,13,7,14,11,5,8,12,9
14,3,5,2,1,4,10,11,8,14,12,6,7,13,9
15,3,4,1,2,5,12,10,9,14,13,6,7,11,8
16,3,4,1,2,5,12,10,9,14,13,8,6,11,7
17,5,4,1,2,7,13,10,9,14,12,6,3,11,8
18,7,5,1,2,8,13,10,9,14,11,4,3,12,6
19,5,6,1,2,8,14,10,9,13,11,4,3,12,7
20,5,8,1,3,7,14,11,9,13,10,4,2,12,6
21,8,7,1,3,5,14,11,9,13,10,6,2,12,4
22,8,5,1,3,4,14,10,9,13,11,7,2,12,6
23,8,5,1,3,4,14,11,9,13,10,7,2,12,6
24,8,4,1,3,5,14,11,9,13,10,7,2,12,6
25,8,4,1,3,5,14,11,9,13,10,7,2,12,6
26,7,3,1,4,5,14,12,9,10,11,8,2,13,6
