round,Bnei Yehuda,H. Beer Sheva,M. Tel Aviv,Hapoel Haifa,M. Petah Tikva,H. Kfar Saba,Hapoel Raanana,B. Jerusalem,Hapoel Tel Aviv,Bnei Sakhnin,Hapoel Acre,Maccabi Netanya,Kiryat Shmona,Maccabi Haifa
1,1,2,3,4,4,6,6,8,8,10,11,11,13,14
2,6,6,2,9,1,4,3,10,12,13,8,11,5,14
3,10,3,2,8,1,7,6,9,12,13,4,11,5,14
4,5,2,4,11,1,10,3,12,8,9,6,12,7,14
5,11,7,2,8,1,12,4,10,5,6,3,13,9,14
6,12,3,1,10,2,13,8,5,6,9,7,11,4,14
7,8,2,1,12,4,11,5,7,9,6,10,13,3,14
8,8,1,2,13,6,9,3,5,10,7,11,14,4,12
9,7,1,2,9,6,12,5,3,13,8,10,14,4,11
10,6,1,2,11,7,12,5,3,10,9,8,14,4,13
11,7,2,1,13,5,8,4,3,12,10,9,14,6,11
12,9,2,1,13,4,11,5,3,10,7,12,14,6,8
13,9,2,1,13,4,11,5,3,10,7,12,14,8,6
14,7,2,1,12,4,11,5,3,8,10,13,14,9,6
15,7,1,2,10,5,9,4,3,11,12,13,14,8,6
16,7,1,2,9,5,12,4,3,10,13,11,14,8,6
17,8,1,2,9,4,13,5,3,10,12,11,14,7,6
18,10,1,2,8,4,12,5,3,9,11,13,14,7,6
19,8,1,2,9,4,10,6,3,11,12,13,14,7,5
20,8,1,2,11,5,9,4,3,12,10,13,14,7,6
21,8,1,2,11,6,9,4,3,12,10,13,14,7,5
22,6,1,2,11,7,10,4,3,12,9,13,14,8,5
23,6,1,2,13,9,8,4,3,11,7,12,14,10,5
24,7,1,2,13,8,9,4,3,11,5,12,14,10,5
25,7,1,2,13,8,9,4,3,12,5,11,14,10,5
26,7,1,2,13,8,9,6,3,12,5,10,14,11,4
