round,Maccabi Haifa,M. Tel Aviv,H. Beer Sheva,B. Jerusalem,FC Ashdod,Ironi Tiberias,Hapoel Tel Aviv,H. Jerusalem,Bnei Sakhnin,Kiryat Shmona,Hapoel Haifa,Maccabi Netanya,M. Bnei Reineh,H. Petah Tikva
1,1,1,3,4,4,6,7,8,8,8,11,12,13,13
2,3,2,1,4,5,8,9,13,5,10,7,14,11,12
3,3,2,1,7,10,11,5,13,9,6,4,14,12,8
4,3,2,1,7,11,12,4,14,9,8,6,10,13,5
5,5,2,1,4,9,10,3,14,12,11,7,8,13,6
6,5,2,1,3,6,7,4,14,10,12,8,11,13,9
7,8,2,1,3,7,10,4,13,6,11,5,9,14,12
8,9,2,1,3,8,10,5,13,7,12,6,4,14,11
9,8,2,1,3,6,11,5,13,7,12,9,4,14,10
10,8,2,1,3,6,12,5,13,7,11,9,4,14,10
11,7,2,1,3,6,9,4,13,8,12,11,5,14,10
12,7,2,1,3,6,10,5,13,8,11,12,4,14,9
13,6,3,1,2,7,9,5,13,8,11,12,4,14,10
14,6,3,1,2,7,9,5,13,8,11,12,4,14,10
15,6,3,1,2,7,9,5,13,8,11,12,4,14,10
16,6,3,1,2,7,9,5,13,8,11,12,4,14,10
17,6,3,1,2,7,9,5,13,8,11,12,4,14,10
18,6,3,1,2,7,9,5,13,8,11,12,4,14,10
19,6,3,1,2,7,9,5,13,8,11,12,4,14,10
20,6,3,1,2,7,9,5,13,8,11,12,4,14,10
21,6,3,1,2,7,9,5,13,8,11,12,4,14,10
22,6,3,1,2,7,9,5,13,8,11,12,4,14,10
23,6,3,1,2,7,9,5,13,8,11,12,4,14,10
24,6,3,1,2,7,9,5,13,8,11,12,4,14,10
25,6,3,1,2,7,9,5,13,8,11,12,4,14,10
26,6,3,1,2,7,9,5,13,8,11,12,4,14,10
