round,M. Bnei Reineh,M. Tel Aviv,Maccabi Haifa,Bnei Sakhnin,B. Jerusalem,H. Beer Sheva,Hapoel Haifa,Hapoel Hadera,Maccabi Netanya,FC Ashdod,H. Jerusalem,Kiryat Shmona,M. Petah Tikva,Ironi Tiberias
1,1,2,3,4,5,6,7,7,9,10,11,12,13,14
2,2,1,3,4,8,7,11,9,13,5,10,12,14,6
3,2,1,3,6,4,11,5,12,14,7,13,8,9,10
4,2,1,4,8,3,7,6,13,12,9,14,11,10,5
5,3,1,4,6,2,5,9,14,12,7,10,13,11,8
6,5,1,2,9,3,4,6,14,13,8,11,12,10,7
7,3,1,4,7,5,2,6,13,12,9,10,14,11,8
8,6,1,2,7,4,3,5,13,14,9,8,12,11,10
9,5,1,2,7,4,3,6,14,13,12,8,9,11,10
10,5,1,4,7,3,2,6,14,13,12,9,10,8,11
11,5,1,3,8,4,2,6,14,13,11,9,7,10,12
12,5,2,4,8,3,1,6,14,13,9,10,7,11,12
13,5,2,3,9,4,1,7,13,12,10,8,6,11,14
14,6,2,4,9,3,1,5,14,10,12,8,7,11,13
15,7,2,3,9,4,1,5,14,10,12,8,6,11,13
16,7,2,3,9,4,1,5,14,10,13,8,6,12,11
17,7,2,3,10,4,1,5,14,8,13,9,6,12,11
18,6,2,3,10,4,1,5,14,7,13,9,8,11,12
19,6,2,3,10,4,1,5,14,7,13,9,8,11,12
20,7,2,3,11,4,1,5,14,6,13,9,8,12,10
21,7,2,3,12,4,1,5,14,6,13,9,8,10,11
22,7,2,3,11,4,1,5,14,6,13,9,8,10,12
23,8,2,3,11,4,1,5,14,6,13,9,7,10,12
24,7,2,3,11,4,1,5,14,6,13,9,8,10,12
25,7,2,3,12,4,1,5,14,6,13,9,8,11,10
26,8,2,3,12,4,1,5,14,6,13,9,7,11,10
