round,M. Tel Aviv,H. Beer Sheva,Hapoel Haifa,Maccabi Haifa,H. Jerusalem,Maccabi Netanya,M. Bnei Reineh,M. Petah Tikva,Bnei Sakhnin,Hapoel Tel Aviv,H. Petah Tikva,FC Ashdod,Hapoel Hadera,B. Jerusalem
1,1,2,3,4,5,5,5,5,9,9,11,12,13,14
2,1,2,4,3,9,11,7,6,8,5,9,12,13,14
3,1,3,2,6,11,7,9,4,8,5,12,13,14,10
4,1,5,2,6,11,7,4,3,8,10,9,13,14,12
5,1,5,2,6,12,8,4,3,9,7,10,14,11,13
6,1,6,2,3,12,9,4,5,10,7,8,13,11,14
7,1,7,3,2,14,10,4,5,6,9,8,12,11,13
8,1,9,2,4,14,6,3,5,7,10,8,12,11,13
9,1,6,3,2,14,10,4,5,8,7,12,11,9,13
10,1,7,4,2,14,11,3,6,8,5,12,13,9,10
11,1,7,3,2,14,11,4,8,6,5,12,12,10,9
12,1,6,3,2,12,10,4,7,8,5,14,13,9,11
13,1,5,3,2,12,8,4,9,7,6,13,13,11,10
14,1,4,3,2,9,7,5,10,8,6,13,14,12,11
15,1,4,3,2,9,5,6,10,8,7,13,14,12,11
16,1,4,3,2,10,6,5,11,7,8,12,14,13,9
17,1,4,3,2,10,6,5,11,7,8,12,14,13,9
18,1,4,3,2,10,6,5,11,7,9,12,14,13,8
19,1,4,3,2,12,6,5,10,7,9,13,11,14,8
20,1,4,3,2,11,6,5,9,7,8,13,12,14,10
21,2,3,4,1,10,8,5,7,6,9,14,12,13,11
22,1,3,4,2,10,8,5,7,6,9,14,12,13,11
23,1,3,4,2,9,8,6,7,5,10,14,13,12,11
24,1,3,4,2,8,9,6,7,5,10,14,12,13,11
25,1,4,3,2,8,9,5,7,6,10,14,13,11,12
26,1,3,4,2,7,9,5,8,6,11,14,13,10,12
