round,M. Tel Aviv,H. Ashkelon,H. Beer Sheva,Kiryat Shmona,Maccabi Haifa,B. Jerusalem,M. Petah Tikva,Bnei Yehuda,Bnei Sakhnin,Hapoel Haifa,Hapoel Raanana,FC Ashdod,H. Kfar Saba,Hapoel Tel Aviv
1,1,2,3,4,4,6,6,8,8,10,11,12,13,14
2,1,2,5,3,8,9,3,10,5,7,12,12,11,14
3,2,4,1,5,6,9,3,11,8,10,12,12,7,14
4,1,9,3,7,4,5,2,8,11,6,13,12,10,14
5,1,9,3,6,5,8,2,11,10,4,12,13,7,14
6,1,10,2,7,5,6,3,9,12,4,11,13,8,14
7,2,11,1,7,4,5,3,12,9,6,8,13,10,14
8,3,12,1,9,4,5,2,11,6,7,8,13,10,14
9,3,13,1,6,4,5,2,12,8,9,10,11,7,14
10,2,13,1,7,3,5,4,12,9,11,6,10,8,14
11,2,13,1,6,3,5,4,12,7,9,8,10,11,14
12,2,13,1,6,3,5,4,12,7,9,8,11,10,14
13,2,12,1,5,3,6,4,13,7,10,8,11,9,14
14,2,13,1,5,3,6,4,12,8,9,7,11,10,14
15,2,13,1,5,4,7,3,12,6,9,8,11,10,14
16,2,13,1,5,4,6,3,12,7,8,9,10,11,14
17,2,13,1,4,5,6,3,12,7,8,10,9,11,14
18,2,12,1,4,6,5,3,13,7,8,10,9,11,14
19,2,13,1,4,6,5,3,11,7,8,10,9,12,14
20,2,13,1,4,7,5,3,11,6,8,10,9,12,14
21,2,13,1,4,7,5,3,11,6,8,9,10,12,14
22,2,13,1,6,7,4,3,10,5,8,9,11,12,14
23,2,13,1,7,6,4,3,11,5,8,9,10,12,14
24,2,13,1,6,7,4,3,11,5,8,9,10,12,14
25,2,13,1,6,7,4,3,11,5,8,9,10,12,14
26,2,13,1,7,6,4,3,11,5,8,10,9,12,14
