round,Maccabi Haifa,H. Beer Sheva,Hapoel Haifa,M. Tel Aviv,Bnei Yehuda,Hapoel Raanana,Bnei Sakhnin,Hapoel Tel Aviv,FC Ashdod,M. Petah Tikva,Kiryat Shmona,B. Jerusalem,Hapoel Acre,Ramat haSharon
1,1,2,2,2,5,5,7,7,9,9,11,12,12,12
2,6,1,3,2,10,4,5,11,8,12,6,8,13,14
3,10,2,5,1,11,3,3,7,8,13,6,8,12,14
4,10,2,6,1,11,3,4,5,7,13,8,9,12,14
5,10,2,9,1,13,3,4,5,6,11,8,7,12,14
6,9,2,6,1,13,7,3,8,11,12,5,4,10,14
7,9,2,3,1,13,8,4,5,10,12,7,6,11,14
8,10,2,3,1,13,7,6,4,9,12,8,5,11,14
9,10,2,3,1,13,5,7,4,8,12,9,6,11,14
10,8,2,5,1,13,3,4,6,11,12,7,9,10,14
11,4,2,8,1,14,5,3,6,9,12,7,10,11,13
12,4,2,8,1,14,6,3,5,10,13,7,11,9,12
13,4,2,8,1,14,7,3,5,10,13,6,11,9,12
14,5,2,6,1,14,9,3,7,8,12,4,11,10,13
15,5,2,6,1,14,9,3,7,8,12,4,10,11,13
16,5,2,6,1,14,10,3,7,8,13,4,9,11,12
17,5,2,8,1,14,10,3,6,7,12,4,9,11,13
18,6,2,8,1,14,10,3,5,7,13,4,9,11,12
19,5,2,8,1,14,9,4,3,7,13,6,10,11,12
20,4,2,7,1,14,10,5,3,8,12,6,9,11,13
21,3,2,8,1,14,11,5,4,7,12,6,9,10,13
22,4,2,9,1,14,11,6,5,7,12,3,8,10,13
23,4,2,8,1,13,11,6,5,7,12,3,9,10,14
24,4,2,7,1,14,11,6,5,9,12,3,8,10,13
25,4,2,7,1,14,11,6,5,9,12,3,8,10,13
26,4,2,8,1,13,11,5,6,7,12,3,9,10,14
