round,Bnei Yehuda,M. Tel Aviv,Maccabi Haifa,H. Petah Tikva,Hapoel Haifa,H. Beer Sheva,M. Petah Tikva,H. Ramat Gan,Hapoel Tel Aviv,B. Jerusalem,Maccabi Netanya,Hapoel Acre,Hapoel Raanana,M. Ahi Nazareth,Bnei Sakhnin,FC Ashdod
1,1,2,3,3,3,3,7,7,9,9,11,11,11,11,15,16
2,1,2,3,6,5,4,9,8,10,11,12,12,15,16,14,7
3,2,3,1,10,4,9,13,12,6,7,11,14,15,16,8,5
4,2,5,1,13,3,11,7,9,8,4,14,16,15,12,10,6
5,3,6,1,13,2,8,11,9,4,4,16,14,15,10,12,7
6,5,3,1,10,2,9,13,11,6,4,12,15,16,8,14,7
7,3,2,1,10,5,9,13,12,4,6,11,15,16,8,14,7
8,3,4,1,12,6,7,10,9,2,4,13,16,15,11,14,8
9,3,4,1,12,7,6,8,8,2,5,11,14,16,13,15,10
10,3,4,1,15,8,6,9,10,2,5,12,11,14,16,13,7
11,4,3,1,15,8,7,10,11,2,6,9,12,14,16,13,5
12,3,4,1,15,9,7,12,10,2,6,8,11,14,16,13,5
13,3,4,1,15,9,6,12,10,2,5,8,11,13,16,14,7
14,4,3,1,16,8,9,12,11,2,5,6,10,14,15,13,7
15,4,3,1,16,9,6,14,11,2,5,7,10,12,15,13,8
16,4,3,1,14,9,7,12,11,2,5,8,10,13,16,15,6
17,4,3,1,14,9,7,11,12,2,5,8,10,13,16,15,6
18,4,3,1,13,9,8,10,14,2,6,7,11,12,16,15,5
19,4,3,1,15,9,8,10,11,2,6,7,13,14,16,12,5
20,4,3,1,14,9,8,10,12,2,6,7,16,13,15,11,5
21,4,3,1,13,10,8,11,12,2,5,7,16,14,15,9,6
22,4,3,1,13,11,7,10,12,2,6,8,14,15,16,9,5
23,4,3,1,12,11,8,10,13,2,7,6,14,15,16,9,5
24,4,3,1,12,11,8,9,13,2,6,7,14,16,15,10,5
25,4,3,1,13,10,8,7,12,2,6,9,14,16,15,11,5
26,4,3,1,13,10,7,9,12,2,5,8,14,16,15,11,6
27,4,3,1,13,11,8,9,12,2,5,7,14,16,15,10,6
28,5,3,1,13,12,7,10,11,2,4,8,14,16,15,9,6
29,5,3,1,13,12,8,10,11,2,4,9,14,16,15,7,6
30,5,3,1,13,12,8,10,11,2,4,9,14,16,15,7,6
