round,H. Kfar Saba,Maccabi Netanya,B. Jerusalem,FC Ashdod,Hapoel Tel Aviv,Bnei Yehuda,M. Petah Tikva,Hakoah Amidar,Maccabi Herzlya,Maccabi Haifa,M. Tel Aviv,H. Petah Tikva
1,1,2,3,4,5,5,7,7,9,10,11,12
2,1,4,2,6,9,8,3,5,10,7,11,11
3,2,5,1,3,6,8,7,9,10,4,11,12
4,3,5,1,6,7,9,4,8,11,2,10,12
5,7,3,2,4,6,8,1,9,10,5,11,12
6,4,7,1,2,3,8,5,9,11,6,10,12
7,4,2,1,3,5,9,7,10,11,6,8,12
8,8,3,1,5,2,9,4,10,10,6,7,12
9,8,7,2,4,1,9,3,10,11,5,6,12
10,8,5,1,3,4,9,2,10,11,6,7,12
11,7,8,1,3,5,9,2,11,10,6,4,12
12,7,8,1,2,4,9,3,11,10,5,6,12
13,7,8,1,2,4,9,3,11,9,5,6,12
14,7,8,1,2,3,9,4,11,9,5,6,12
15,8,7,1,2,3,9,4,11,10,5,6,12
16,8,7,1,2,3,9,4,10,11,5,6,12
17,8,7,1,3,2,9,4,10,11,5,6,12
18,8,4,1,3,2,9,6,11,10,7,5,12
19,8,6,1,4,2,9,5,11,10,7,3,12
20,8,6,1,4,2,9,5,11,10,7,3,12
21,8,4,1,5,2,9,6,11,10,7,3,12
22,8,4,1,5,2,9,7,11,10,6,3,12
23,8,4,1,5,2,9,6,10,11,7,3,12
24,8,5,1,6,2,9,4,10,11,7,3,12
25,8,4,1,6,2,9,5,10,11,7,3,12
26,8,4,1,7,2,9,5,11,10,6,3,12
27,8,4,1,6,3,9,7,11,10,5,2,12
28,8,4,1,7,3,9,6,11,10,5,2,12
29,8,4,1,7,3,9,6,11,10,5,2,12
30,8,3,1,7,4,9,6,11,10,5,2,12
31,8,3,1,7,4,9,5,11,10,6,2,12
32,8,3,1,7,4,9,6,11,10,5,2,12
33,8,2,1,7,4,9,6,11,10,5,3,12
