round,M. Tel Aviv,Maccabi Netanya,Kiryat Shmona,Hapoel Haifa,FC Ashdod,Maccabi Haifa,Hapoel Hadera,H. Jerusalem,H. Beer Sheva,Bnei Sakhnin,Hapoel Tel Aviv,Ness Ziona,B. Jerusalem,M. Bnei Reineh
1,1,2,3,3,5,6,7,7,9,10,11,11,13,14
2,1,8,4,4,3,2,11,9,6,7,13,12,14,10
3,1,10,7,6,4,2,8,5,9,3,11,14,12,13
4,2,10,8,7,5,1,9,3,6,4,11,14,12,13
5,1,10,8,7,5,2,9,3,4,6,11,13,14,12
6,3,11,8,7,6,1,9,2,4,5,12,13,14,10
7,1,11,10,9,6,2,7,3,4,5,13,12,14,8
8,1,11,9,10,5,2,7,3,4,6,12,14,13,8
9,1,14,10,11,5,2,8,4,3,6,13,12,9,7
10,2,12,13,11,6,1,5,4,3,7,9,14,10,8
11,2,13,12,8,6,1,5,4,3,7,10,14,11,9
12,2,11,14,10,5,1,6,4,3,7,8,12,13,9
13,2,8,14,12,6,1,5,4,3,7,9,13,11,10
14,2,9,14,11,6,1,5,4,3,8,10,13,7,12
15,2,11,14,12,6,1,5,4,3,7,10,9,8,13
16,2,11,14,8,7,1,5,4,3,9,10,12,6,13
17,2,10,12,5,8,1,7,4,3,9,11,13,6,14
18,3,9,12,8,5,1,7,4,2,10,11,13,6,14
19,2,8,13,7,5,1,9,4,3,10,11,12,6,14
20,3,7,12,9,5,1,8,4,2,10,11,13,6,14
21,3,6,12,9,7,1,8,4,2,10,11,13,5,14
22,3,5,13,7,8,1,9,6,2,10,11,14,4,12
23,3,4,13,8,7,1,10,5,2,9,11,14,6,12
24,3,4,12,8,6,1,10,5,2,9,11,14,7,13
25,3,4,12,8,6,1,11,5,2,9,10,14,7,13
26,3,4,13,8,6,1,10,5,2,9,11,14,7,12
