round,B. Jerusalem,Hapoel Haifa,Bnei Yehuda,Bnei Sakhnin,M. Petah Tikva,H. Beer Sheva,Maccabi Netanya,Hapoel Raanana,Kiryat Shmona,FC Ashdod,H. Ashkelon,Maccabi Haifa,M. Tel Aviv,Hapoel Acre
1,1,2,3,4,4,6,6,8,8,10,11,12,13,14
2,1,2,4,3,6,11,8,9,9,13,11,5,7,14
3,1,2,6,3,9,8,5,13,7,14,12,9,3,11
4,1,2,9,5,11,5,8,13,4,14,10,7,3,12
5,1,2,11,9,10,6,4,13,5,14,7,8,3,12
6,3,1,10,7,11,4,2,13,8,14,9,6,5,12
7,2,1,10,7,11,3,5,14,8,13,9,6,4,12
8,2,1,11,7,8,3,4,13,9,12,10,6,5,14
9,2,1,9,7,10,3,5,13,6,12,11,8,4,14
10,3,1,7,9,11,2,5,14,8,13,10,6,4,12
11,3,1,9,8,10,2,5,12,6,14,11,7,4,13
12,3,1,6,9,10,2,5,12,7,13,11,8,4,14
13,3,2,6,10,9,1,5,12,7,13,11,8,4,14
14,3,2,6,8,10,1,5,12,7,13,11,9,4,14
15,3,2,6,8,10,1,5,12,7,13,11,9,4,14
16,3,2,6,8,10,1,5,12,7,13,11,9,4,14
17,2,3,6,7,10,1,5,12,8,13,11,8,4,14
18,3,4,5,8,7,1,6,12,9,13,11,10,2,14
19,3,4,5,9,8,2,6,11,7,13,12,10,1,14
20,3,4,6,9,8,1,5,11,7,13,12,10,2,14
21,3,4,6,9,7,2,5,12,8,11,13,10,1,14
22,3,4,6,10,7,2,5,11,8,12,13,9,1,14
23,2,4,6,9,8,1,5,11,7,12,13,10,3,14
24,3,4,6,9,7,2,5,11,8,12,13,10,1,14
25,2,4,6,8,7,1,5,11,9,12,13,10,3,14
26,2,4,6,9,7,1,5,11,8,12,13,10,3,14
