round,Hapoel Haifa,M. Petah Tikva,M. Tel Aviv,Hapoel Hadera,FC Ashdod,H. Beer Sheva,Kiryat Shmona,Bnei Sakhnin,Hapoel Raanana,Hapoel Tel Aviv,Bnei Yehuda,Maccabi Haifa,B. Jerusalem,Maccabi Netanya
1,1,2,3,4,5,6,6,8,8,10,11,12,13,14
2,5,2,3,1,8,9,11,10,4,6,11,6,14,13
3,5,4,1,2,3,12,6,10,9,6,11,6,13,14
4,8,3,1,2,4,13,5,11,7,5,12,9,10,14
5,8,3,2,1,5,11,4,14,10,7,6,9,13,12
6,12,4,2,1,6,7,5,9,11,8,3,10,14,13
7,11,5,1,2,7,4,6,9,13,8,3,12,14,10
8,13,6,1,2,9,5,4,12,10,11,3,8,14,7
9,8,7,1,2,10,5,4,14,10,12,3,9,13,6
10,11,6,1,3,13,4,5,9,10,12,2,8,14,7
11,10,6,1,2,12,4,5,8,9,13,3,11,14,7
12,10,6,1,3,12,4,5,11,9,13,2,7,14,8
13,6,8,1,3,12,4,7,10,11,14,2,9,13,5
14,5,7,1,4,13,3,9,11,8,14,2,10,12,6
15,6,8,1,4,14,3,10,12,9,13,2,7,11,5
16,7,8,1,4,14,3,10,13,9,12,2,6,11,5
17,7,10,1,3,14,4,8,13,9,12,2,5,11,6
18,6,11,1,3,14,7,8,13,9,12,2,4,10,5
19,5,12,1,4,14,6,8,13,9,11,2,3,10,7
20,4,12,1,6,14,7,8,13,9,11,2,3,10,5
21,5,11,1,3,14,7,8,13,10,12,4,2,9,6
22,6,10,1,5,13,7,8,14,11,12,2,3,9,4
23,7,12,1,6,13,5,8,14,10,11,2,3,9,4
24,7,12,1,6,13,5,9,14,10,11,4,3,8,2
25,7,12,1,6,13,4,8,14,10,11,5,3,9,2
26,7,12,1,6,13,4,9,14,10,8,5,2,11,3
