round,Bnei Yehuda,Kiryat Shmona,H. Beer Sheva,Maccabi Haifa,H. Kfar Saba,M. Petah Tikva,B. Jerusalem,Maccabi Netanya,M. Tel Aviv,Hapoel Tel Aviv,Hapoel Hadera,Hapoel Haifa,FC Ashdod,Bnei Sakhnin
1,1,2,3,4,4,4,7,8,9,9,9,12,13,14
2,4,5,8,2,9,3,1,6,10,12,13,11,7,14
3,7,8,10,1,4,3,2,6,11,13,12,8,5,14
4,5,8,9,1,7,3,2,4,11,13,12,10,6,14
5,8,6,10,2,5,1,3,7,12,13,11,9,4,14
6,6,3,10,1,7,2,5,4,9,13,12,11,8,14
7,8,1,11,2,10,3,6,5,7,13,12,9,4,14
8,5,3,11,1,10,2,8,6,4,14,13,9,7,12
9,7,4,9,1,11,2,8,5,6,14,13,10,3,12
10,8,6,7,1,11,2,9,4,5,14,13,10,3,12
11,9,7,6,1,12,3,11,4,5,14,13,8,2,10
12,10,8,6,1,13,2,9,5,3,14,12,7,4,11
13,12,6,5,1,13,3,11,8,2,14,10,7,4,9
14,11,6,3,1,13,4,10,8,2,14,12,7,5,9
15,11,5,4,1,10,6,9,7,2,14,13,8,3,12
16,11,6,3,1,10,4,7,8,2,14,13,9,5,12
17,12,6,5,1,10,3,8,7,2,14,13,9,4,11
18,13,5,6,1,10,3,8,7,2,14,12,9,4,11
19,13,4,5,1,10,6,8,7,2,14,12,9,3,11
20,11,4,5,1,10,6,7,8,2,12,14,9,3,13
21,12,5,4,1,10,7,8,6,2,13,11,9,3,14
22,13,6,4,1,12,5,8,7,2,11,10,9,3,14
23,14,6,4,1,13,5,8,7,2,11,10,9,3,12
24,14,5,7,2,12,4,8,6,1,11,10,9,3,13
25,14,5,7,2,13,4,8,6,1,11,10,9,3,12
26,14,4,5,1,13,6,8,7,2,12,9,10,3,11
