team,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26
Hapoel Be'er Sheva,7,12,8,6,6,10,5,4,4,3,2,2,1,1,1,1,1,1,2,1,2,2,1,2,1,1
Beitar Jerusalem,1,1,1,1,1,3,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2
Maccabi Tel Aviv,13,7,3,3,3,4,3,5,3,4,4,4,4,4,4,4,4,2,1,2,1,1,3,1,3,3
Hapoel Haifa,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4
Maccabi Netanya,6,8,5,8,4,2,4,3,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5
Bnei Yehuda,3,4,6,9,11,9,10,11,9,7,9,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6
Maccabi Petah Tikva,4,6,10,11,10,11,11,8,10,11,10,10,9,10,10,10,10,7,8,8,7,7,8,7,7,7
Ironi Kiryat Shmona,9,9,7,4,5,7,8,9,6,8,6,7,7,7,7,7,8,9,7,7,8,8,7,8,9,8
Bnei Sakhnin,5,3,4,5,9,6,7,7,7,9,8,9,10,8,8,8,7,8,9,9,9,10,9,9,8,9
Maccabi Haifa,12,5,9,7,8,5,6,6,8,6,7,8,8,9,9,9,9,10,10,10,10,9,10,10,10,10
Hapoel Ra'anana,8,10,13,13,13,13,14,13,13,14,12,12,12,12,12,12,12,12,11,11,12,11,11,11,11,11
F.C. Ashdod,10,13,14,14,14,14,13,12,12,13,14,13,13,13,13,13,13,13,13,13,11,12,12,12,12,12
Hapoel Ashkelon,11,11,12,10,7,8,9,10,11,10,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13
Hapoel Acre,14,14,11,12,12,12,12,14,14,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
