team,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26
Maccabi Tel Aviv,3,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maccabi Haifa,12,6,6,9,9,10,12,8,9,8,11,7,9,10,7,6,5,4,3,3,2,3,3,3,3,2
Maccabi Netanya,14,13,14,14,12,13,10,7,6,7,7,8,5,6,5,5,6,5,7,5,6,4,4,2,2,3
Hapoel Be'er Sheva,6,9,12,13,11,7,4,5,5,4,4,4,4,3,3,3,4,7,6,7,7,7,5,5,4,4
Bnei Yehuda,11,11,11,12,6,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,4,2,2,4,5,5
Hapoel Hadera,4,1,2,2,1,1,2,2,2,3,2,3,3,4,4,4,3,3,4,6,3,5,6,6,6,6
Hapoel Haifa,1,5,5,8,8,12,11,13,8,11,10,10,6,5,6,7,7,6,5,4,5,6,7,7,7,7
Hapoel Tel Aviv,10,7,7,6,7,8,8,11,12,12,13,13,14,14,13,12,12,12,11,11,12,12,11,11,11,8
Ironi Kiryat Shmona,7,12,8,5,4,5,6,4,4,5,5,5,7,9,10,10,8,8,8,8,8,8,8,9,8,9
Hapoel Ra'anana,8,4,9,7,10,11,13,10,10,10,9,9,11,8,9,9,9,9,9,9,10,10,10,10,10,10
Beitar Jerusalem,13,14,13,10,13,14,14,14,13,14,14,14,13,12,11,11,11,10,10,10,9,9,9,8,9,11
Maccabi Petah Tikva,2,2,4,3,3,4,5,6,7,6,6,6,8,7,8,8,10,11,12,12,11,11,12,12,12,12
F.C. Ashdod,5,8,3,4,5,6,7,9,11,13,12,12,12,13,14,14,14,14,14,14,14,13,13,13,13,13
Bnei Sakhnin,9,10,10,11,14,9,9,12,14,9,8,11,10,11,12,13,13,13,13,13,13,14,14,14,14,14
