season,team,stadium,capacity,total_spectators,average_attendance
2010/11,Maccabi Haifa,Unknown,30780,139500,9300
2010/11,Maccabi Tel Aviv,Unknown,29150,25000,12500
2010/11,Hapoel Tel Aviv,Unknown,29150,25000,12500
2010/11,Hapoel Haifa,Unknown,30820,25000,6250
2010/11,Beitar Jerusalem,Unknown,33500,23500,7833
2010/11,FC Ashdod,Unknown,8200,12000,4000
2010/11,Maccabi Netanya,Unknown,13610,11000,3667
2010/11,Hapoel Beer Sheva,Unknown,16126,10000,5000
2010/11,Hapoel Petah Tikva,Unknown,11500,8500,2833
2010/11,Maccabi Petah Tikva,Unknown,11500,7800,2600
2010/11,Bnei Yehuda Tel Aviv,Unknown,6020,6000,3000
2010/11,Ironi Kiryat Shmona,Unknown,13800,5700,1900
2010/11,Hapoel Acre,Unknown,5000,5200,1733
2010/11,Hapoel Ashkelon,Unknown,10000,5000,1667
2010/11,Ihud Bnei Sakhnin,Unknown,8500,4750,1583
2010/11,Hapoel Ramat Gan,Unknown,41583,4500,1500
