season,team,stadium,capacity,total_spectators,average_attendance
2025/26,Maccabi Haifa,Unknown,30780,131037,26207
2025/26,Beitar Jerusalem,Unknown,33500,108953,21791
2025/26,Maccabi Tel Aviv,Unknown,29150,95213,23803
2025/26,Hapoel Tel Aviv,Unknown,29150,72090,18023
2025/26,Hapoel Beer Sheva,Unknown,16126,54348,13587
2025/26,Hapoel Haifa,Unknown,30820,35488,8872
2025/26,Maccabi Netanya,Unknown,13610,29706,7427
2025/26,Hapoel Petah Tikva,Unknown,11500,24407,4881
2025/26,Maccabi Bnei Reineh,Unknown,5200,15075,3015
2025/26,FC Ashdod,Unknown,8200,11731,2346
2025/26,Hapoel Jerusalem,Unknown,33500,11006,2752
2025/26,Ironi Tiberias,Unknown,5200,10844,2711
2025/26,Ihud Bnei Sakhnin,Unknown,8500,9323,2331
2025/26,Ironi Kiryat Shmona,Unknown,13800,9214,1843
