season,team,stadium,capacity,total_spectators,average_attendance
2015/16,Maccabi Haifa,Unknown,30780,269079,20698
2015/16,Hapoel Beer Sheva,Unknown,16126,195000,15000
2015/16,Maccabi Tel Aviv,Unknown,29150,150555,11581
2015/16,Beitar Jerusalem,Unknown,33500,127900,9838
2015/16,Hapoel Tel Aviv,Unknown,29150,126323,9717
2015/16,Hapoel Haifa,Unknown,30820,60240,4634
2015/16,Maccabi Netanya,Unknown,13610,60150,4627
2015/16,Bnei Yehuda Tel Aviv,Unknown,6020,55300,4254
2015/16,Maccabi Petah Tikva,Unknown,11500,52950,4073
2015/16,Ihud Bnei Sakhnin,Unknown,8500,37100,2854
2015/16,Hapoel Kfar Saba,Unknown,5800,35200,2708
2015/16,Hapoel Raanana,Unknown,5800,27650,2127
2015/16,Hapoel Acre,Unknown,5000,26650,2050
2015/16,Ironi Kiryat Shmona,Unknown,13800,23400,1800
