season,team,stadium,capacity,total_spectators,average_attendance
2013/14,Maccabi Tel Aviv,Unknown,29150,165948,12765
2013/14,Hapoel Tel Aviv,Unknown,29150,132393,10184
2013/14,Maccabi Haifa,Unknown,30780,124700,9592
2013/14,Beitar Jerusalem,Unknown,33500,119040,9920
2013/14,Hapoel Beer Sheva,Unknown,16126,99000,7615
2013/14,Bnei Yehuda Tel Aviv,Unknown,6020,62400,4800
2013/14,Ihud Bnei Sakhnin,Unknown,8500,49800,3831
2013/14,Hapoel Haifa,Unknown,30820,49750,4146
2013/14,Maccabi Petah Tikva,Unknown,11500,37500,2885
2013/14,Hapoel Acre,Unknown,5000,33000,3000
2013/14,FC Ashdod,Unknown,8200,32050,2465
2013/14,Ironi Kiryat Shmona,Unknown,13800,26250,2019
2013/14,Hapoel Raanana,Unknown,5800,23250,1788
2013/14,Hapoel Ramat haSharon,Unknown,4300,15700,1208
