season,team,stadium,capacity,total_spectators,average_attendance
2009/10,Hapoel Tel Aviv,Unknown,29150,156000,10400
2009/10,Maccabi Haifa,Unknown,30780,136000,9067
2009/10,Maccabi Tel Aviv,Unknown,29150,131000,8733
2009/10,Beitar Jerusalem,Unknown,33500,95000,6333
2009/10,Hapoel Beer Sheva,Unknown,16126,68000,4533
2009/10,Hapoel Haifa,Unknown,30820,62500,4167
2009/10,Bnei Yehuda Tel Aviv,Unknown,6020,46500,3100
2009/10,Ihud Bnei Sakhnin,Unknown,8500,44300,3164
2009/10,Maccabi Netanya,Unknown,13610,38000,2533
2009/10,Hapoel Petah Tikva,Unknown,11500,36900,2460
2009/10,FC Ashdod,Unknown,8200,28900,1927
2009/10,Maccabi Petah Tikva,Unknown,11500,24600,1640
2009/10,Hapoel Ramat Gan,Unknown,41583,24350,1623
2009/10,Maccabi Ahi Nazareth,Unknown,4932,18550,1237
2009/10,Hapoel Raanana,Unknown,5800,17500,1167
2009/10,Hapoel Acre,Unknown,5000,11055,737
