season,season_start_year,club,squad_size,avg_age,foreigners,avg_value_millions,total_value_millions
2017/18,2017,Maccabi Tel Aviv,35,26.3,9,0.717,25.1
2017/18,2017,Hapoel Beer Sheva,34,27.4,6,0.619,21.05
2017/18,2017,Maccabi Haifa,28,27.6,7,0.58,16.25
2017/18,2017,Beitar Jerusalem,33,26.2,9,0.442,14.6
2017/18,2017,Maccabi Petah Tikva,31,26.8,7,0.29,8.98
2017/18,2017,Hapoel Haifa,26,27.5,6,0.326,8.48
2017/18,2017,Hapoel Ashkelon,36,27.4,8,0.222,7.98
2017/18,2017,Hapoel Raanana,36,25.3,10,0.222,7.98
2017/18,2017,Ihud Bnei Sakhnin,32,26.4,8,0.216,6.9
2017/18,2017,Ironi Kiryat Shmona,28,25.1,6,0.237,6.63
2017/18,2017,Bnei Yehuda Tel Aviv,31,24.3,7,0.191,5.93
2017/18,2017,FC Ashdod,35,24.4,7,0.161,5.65
2017/18,2017,Maccabi Netanya,33,24.3,8,0.148,4.9
2017/18,2017,Hapoel Acre,33,23.4,8,0.089,2.95
