season,season_year,player_name,position,nationality,club,market_value_millions
2006/07,2006,,Unknown,Argentina,Hapoel Tel Aviv,0.0
2006/07,2006,,Unknown,Bosnia-Herzegovina,Hapoel Tel Aviv,0.0
2007/08,2007,,Unknown,Brazil,Hapoel Tel Aviv,0.0
2007/08,2007,,Unknown,Bulgaria,Hapoel Tel Aviv,0.0
2007/08,2007,,Unknown,Türkiye,Hapoel Tel Aviv,0.0
2008/09,2008,,Unknown,Ghana,Hapoel Tel Aviv,0.0
2009/10,2009,,Unknown,Brazil,Hapoel Tel Aviv,0.0
2009/10,2009,,Unknown,Netherlands,Hapoel Tel Aviv,0.0
2010/11,2010,,Unknown,South Africa,Hapoel Tel Aviv,0.0
2010/11,2010,,Unknown,Slovakia,Hapoel Tel Aviv,0.0
2011/12,2011,,Unknown,Armenia,Hapoel Tel Aviv,0.0
2011/12,2011,,Unknown,Slovakia,Hapoel Tel Aviv,0.0
2012/13,2012,,Unknown,Armenia,Hapoel Tel Aviv,0.0
2012/13,2012,,Unknown,Cameroon,Hapoel Tel Aviv,0.0
2013/14,2013,,Unknown,Slovenia,Hapoel Tel Aviv,0.0
2013/14,2013,,Unknown,North Macedonia,Hapoel Tel Aviv,0.0
2014/15,2014,,Unknown,Netherlands,Hapoel Tel Aviv,0.0
2014/15,2014,,Unknown,Guinea-Bissau,Hapoel Tel Aviv,0.0
2014/15,2014,,Unknown,Armenia,Hapoel Tel Aviv,0.0
2015/16,2015,,Unknown,Greece,Hapoel Tel Aviv,0.0
2016/17,2016,,Unknown,Montenegro,Hapoel Tel Aviv,0.0
2016/17,2016,,Unknown,Jamaica,Hapoel Tel Aviv,0.0
2018/19,2018,,Unknown,Azerbaijan,Hapoel Tel Aviv,0.0
2018/19,2018,,Unknown,Belgium,Hapoel Tel Aviv,0.0
2019/20,2019,,Unknown,Belgium,Hapoel Tel Aviv,0.0
2019/20,2019,,Unknown,Uruguay,Hapoel Tel Aviv,0.0
2019/20,2019,,Unknown,North Macedonia,Hapoel Tel Aviv,0.0
2020/21,2020,,Unknown,South Africa,Hapoel Tel Aviv,0.0
2020/21,2020,,Unknown,Georgia,Hapoel Tel Aviv,0.0
2021/22,2021,,Unknown,South Africa,Hapoel Tel Aviv,0.0
2022/23,2022,,Unknown,Slovenia,Hapoel Tel Aviv,0.0
2022/23,2022,,Unknown,Curacao,Hapoel Tel Aviv,0.0
2022/23,2022,,Unknown,Guinea,Hapoel Tel Aviv,0.0
2022/23,2022,,Unknown,New Zealand,Hapoel Tel Aviv,0.0
2023/24,2023,,Unknown,Congo,Hapoel Tel Aviv,0.0
2023/24,2023,,Unknown,Slovenia,Hapoel Tel Aviv,0.0
2023/24,2023,,Unknown,The Gambia,Hapoel Tel Aviv,0.0
2023/24,2023,,Unknown,Lithuania,Hapoel Tel Aviv,0.0
2025/26,2025,,Unknown,Portugal,Hapoel Tel Aviv,0.8
2025/26,2025,,Unknown,Congo,Hapoel Tel Aviv,0.55
2025/26,2025,,Unknown,Bulgaria,Hapoel Tel Aviv,1.5
2025/26,2025,,Unknown,Cyprus,Hapoel Tel Aviv,1.2
