season,team_english,team_hebrew,budget_min_million_nis,budget_max_million_nis,source_note,budget_mid_million_nis,data_source
2006/07,Beitar Jerusalem,"בית""ר ירושלים",120.0,150.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",135.0,Gemini AI Estimate (2006-2024)
2006/07,Maccabi Haifa,מכבי חיפה,40.0,60.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",50.0,Gemini AI Estimate (2006-2024)
2006/07,Maccabi Tel Aviv,מכבי תל אביב,30.0,50.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",40.0,Gemini AI Estimate (2006-2024)
2006/07,Hapoel Tel Aviv,הפועל תל אביב,25.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",32.5,Gemini AI Estimate (2006-2024)
2006/07,Rest of league,שאר הליגה,5.0,20.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",12.5,Gemini AI Estimate (2006-2024)
2007/08,Beitar Jerusalem,"בית""ר ירושלים",120.0,150.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",135.0,Gemini AI Estimate (2006-2024)
2007/08,Maccabi Haifa,מכבי חיפה,40.0,60.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",50.0,Gemini AI Estimate (2006-2024)
2007/08,Maccabi Tel Aviv,מכבי תל אביב,30.0,50.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",40.0,Gemini AI Estimate (2006-2024)
2007/08,Hapoel Tel Aviv,הפועל תל אביב,25.0,40.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",32.5,Gemini AI Estimate (2006-2024)
2007/08,Rest of league,שאר הליגה,5.0,20.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",12.5,Gemini AI Estimate (2006-2024)
2008/09,Beitar Jerusalem,"בית""ר ירושלים",100.0,120.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",110.0,Gemini AI Estimate (2006-2024)
2008/09,Maccabi Haifa,מכבי חיפה,40.0,60.0,"Gemini AI estimated range from media-based table (approximate, in million NIS)",50.0,Gemini AI Estimate (2006-2024)
