season,total_league_budget_million_nis,source_note
2008/09,475.3,Calcalist total league budgets (approx)
2009/10,405.8,Average of 412.4 (Calcalist) and 399.2 (Globes)
2010/11,464.0,Calcalist/Globes total league budgets (approx)
2011/12,422.8,Average of 451.6 (Calcalist) and 394 (Globes)
2012/13,423.0,Globes total league budgets
2013/14,388.0,ONE total league budgets
2015/16,538.0,Calcalist total league budgets
2016/17,580.0,Calcalist total league budgets
2021/22,512.5,Sum of club budgets (Sport5)
2022/23,529.0,Sum of club budgets (Sport5)
2023/24,565.5,Sum of club budgets (Sport5)
2024/25,581.0,Sum of club budgets (Sport5)
2007/08,,
2006/07,,
