rank,team,matches,wins,draws,losses,goals,goal_diff,points
1,H. Beer Sheva,26,20,4,2,48:17,31,64
2,M. Tel Aviv,26,19,4,3,59:20,39,61
3,B. Jerusalem,26,15,6,5,38:19,19,51
4,Maccabi Haifa,26,10,8,8,33:25,8,38
5,Bnei Sakhnin,26,10,6,10,32:25,7,36
6,Hapoel Raanana,26,10,6,10,29:31,-2,36
7,Bnei Yehuda,26,9,6,11,27:35,-8,33
8,M. Petah Tikva,26,8,6,12,23:30,-7,30
9,H. Kfar Saba,26,7,8,11,19:31,-12,29
10,Hapoel Acre,26,8,5,13,18:36,-18,29
11,Kiryat Shmona,26,6,10,10,25:31,-6,28
12,Hapoel Tel Aviv,26,6,9,11,17:31,-14,27
13,Hapoel Haifa,26,5,10,11,27:37,-10,25
14,Maccabi Netanya,26,1,8,17,10:37,-27,11
