season,team,stadium,capacity,total_spectators,average_attendance
2023/24,Maccabi Tel Aviv,Unknown,29150,213565,17797
2023/24,Maccabi Haifa,Unknown,30780,171948,17195
2023/24,Beitar Jerusalem,Unknown,33500,144830,13166
2023/24,Hapoel Beer Sheva,Unknown,16126,122024,10169
2023/24,Hapoel Tel Aviv,Unknown,29150,101049,9186
2023/24,Maccabi Netanya,Unknown,13610,70127,5844
2023/24,Hapoel Petah Tikva,Unknown,11500,60759,5524
2023/24,Hapoel Haifa,Unknown,30820,42559,3869
2023/24,Hapoel Jerusalem,Unknown,33500,40070,3643
2023/24,Maccabi Petah Tikva,Unknown,11500,39337,3576
2023/24,Hapoel Hadera,Unknown,3000,34207,3421
2023/24,Ihud Bnei Sakhnin,Unknown,8500,24984,2271
2023/24,Maccabi Bnei Reineh,Unknown,5200,19400,1940
2023/24,FC Ashdod,Unknown,8200,16713,2089
