season,team,stadium,capacity,total_spectators,average_attendance
2012/13,Maccabi Haifa,Unknown,30780,142500,10962
2012/13,Maccabi Tel Aviv,Unknown,29150,139900,10762
2012/13,Beitar Jerusalem,Unknown,33500,127000,9769
2012/13,Hapoel Tel Aviv,Unknown,29150,119640,9203
2012/13,Maccabi Netanya,Unknown,13610,62500,4808
2012/13,Hapoel Beer Sheva,Unknown,16126,62250,4788
2012/13,Hapoel Haifa,Unknown,30820,52400,4031
2012/13,Bnei Yehuda Tel Aviv,Unknown,6020,49000,3769
2012/13,Ihud Bnei Sakhnin,Unknown,8500,33400,2569
2012/13,FC Ashdod,Unknown,8200,32500,2500
2012/13,Hapoel Acre,Unknown,5000,26650,2050
2012/13,Hapoel Ramat Gan,Unknown,41583,25750,1981
2012/13,Ironi Kiryat Shmona,Unknown,13800,25000,1923
2012/13,Hapoel Ramat haSharon,Unknown,4300,18450,1419
