season,team,stadium,capacity,total_spectators,average_attendance
2006/07,Bnei Yehuda Tel Aviv,Unknown,6020,49000,3063
2006/07,Hapoel Tel Aviv,Unknown,29150,16000,5333
2006/07,Hapoel Petah Tikva,Unknown,11500,10250,2050
2006/07,Beitar Jerusalem,Unknown,33500,10000,10000
2006/07,Maccabi Netanya,Unknown,13610,9250,3083
2006/07,Maccabi Haifa,Unknown,30780,7700,3850
2006/07,Hakoah Amidar Ramat Gan,Unknown,8000,6250,1250
2006/07,Hapoel Kfar Saba,Unknown,5800,4500,2250
2006/07,FC Ashdod,Unknown,8200,2500,2500
2006/07,Maccabi Petah Tikva,Unknown,11500,2000,2000
2006/07,Maccabi Tel Aviv,Unknown,29150,1250,1250
2006/07,Maccabi Herzliya,Unknown,13800,1000,1000
2007/08,Maccabi Haifa,Unknown,30780,137000,8059
2007/08,Bnei Yehuda Tel Aviv,Unknown,6020,62350,3897
2007/08,Hapoel Tel Aviv,Unknown,29150,41500,10375
2007/08,Beitar Jerusalem,Unknown,33500,29000,14500
2007/08,Maccabi Tel Aviv,Unknown,29150,18000,9000
2007/08,Maccabi Netanya,Unknown,13610,18000,4500
2007/08,FC Ashdod,Unknown,8200,14250,4750
2007/08,Ihud Bnei Sakhnin,Unknown,8500,13750,3438
2007/08,Hapoel Kfar Saba,Unknown,5800,9000,3000
2007/08,Maccabi Petah Tikva,Unknown,11500,8750,2917
2007/08,Ironi Kiryat Shmona,Unknown,13800,6500,2167
2007/08,Maccabi Herzliya,Unknown,13800,4500,2250
2008/09,Maccabi Tel Aviv,Unknown,29150,0,0
2008/09,Hapoel Petah Tikva,Unknown,11500,0,0
2008/09,Hapoel Tel Aviv,Unknown,29150,0,0
2008/09,Maccabi Haifa,Unknown,30780,0,0
2008/09,Maccabi Petah Tikva,Unknown,11500,0,0
2008/09,Beitar Jerusalem,Unknown,33500,0,0
2008/09,Ihud Bnei Sakhnin,Unknown,8500,0,0
2008/09,Maccabi Netanya,Unknown,13610,0,0
2008/09,Ironi Kiryat Shmona,Unknown,13800,0,0
2008/09,FC Ashdod,Unknown,8200,0,0
2008/09,Bnei Yehuda Tel Aviv,Unknown,6020,0,0
2008/09,Hakoah Amidar Ramat Gan,Unknown,8000,0,0
2009/10,Hapoel Tel Aviv,Unknown,29150,156000,10400
2009/10,Maccabi Haifa,Unknown,30780,136000,9067
2009/10,Maccabi Tel Aviv,Unknown,29150,131000,8733
2009/10,Beitar Jerusalem,Unknown,33500,95000,6333
2009/10,Hapoel Beer Sheva,Unknown,16126,68000,4533
2009/10,Hapoel Haifa,Unknown,30820,62500,4167
2009/10,Bnei Yehuda Tel Aviv,Unknown,6020,46500,3100
2009/10,Ihud Bnei Sakhnin,Unknown,8500,44300,3164
2009/10,Maccabi Netanya,Unknown,13610,38000,2533
2009/10,Hapoel Petah Tikva,Unknown,11500,36900,2460
2009/10,FC Ashdod,Unknown,8200,28900,1927
2009/10,Maccabi Petah Tikva,Unknown,11500,24600,1640
2009/10,Hapoel Ramat Gan,Unknown,41583,24350,1623
2009/10,Maccabi Ahi Nazareth,Unknown,4932,18550,1237
2009/10,Hapoel Raanana,Unknown,5800,17500,1167
2009/10,Hapoel Acre,Unknown,5000,11055,737
2010/11,Maccabi Haifa,Unknown,30780,139500,9300
2010/11,Maccabi Tel Aviv,Unknown,29150,25000,12500
2010/11,Hapoel Tel Aviv,Unknown,29150,25000,12500
2010/11,Hapoel Haifa,Unknown,30820,25000,6250
2010/11,Beitar Jerusalem,Unknown,33500,23500,7833
2010/11,FC Ashdod,Unknown,8200,12000,4000
2010/11,Maccabi Netanya,Unknown,13610,11000,3667
2010/11,Hapoel Beer Sheva,Unknown,16126,10000,5000
2010/11,Hapoel Petah Tikva,Unknown,11500,8500,2833
2010/11,Maccabi Petah Tikva,Unknown,11500,7800,2600
2010/11,Bnei Yehuda Tel Aviv,Unknown,6020,6000,3000
2010/11,Ironi Kiryat Shmona,Unknown,13800,5700,1900
2010/11,Hapoel Acre,Unknown,5000,5200,1733
2010/11,Hapoel Ashkelon,Unknown,10000,5000,1667
2010/11,Ihud Bnei Sakhnin,Unknown,8500,4750,1583
2010/11,Hapoel Ramat Gan,Unknown,41583,4500,1500
2011/12,Maccabi Tel Aviv,Unknown,29150,130500,8700
2011/12,Hapoel Tel Aviv,Unknown,29150,127200,8480
2011/12,Maccabi Haifa,Unknown,30780,124500,8893
2011/12,Beitar Jerusalem,Unknown,33500,85200,6086
2011/12,Hapoel Beer Sheva,Unknown,16126,49500,3536
2011/12,Hapoel Haifa,Unknown,30820,49200,3280
2011/12,Ihud Bnei Sakhnin,Unknown,8500,48450,3461
2011/12,Ironi Kiryat Shmona,Unknown,13800,42400,2827
