season,team,stadium,capacity,total_spectators,average_attendance
2021/22,Maccabi Haifa,Unknown,30780,321760,24751
2021/22,Maccabi Tel Aviv,Unknown,29150,232941,17919
2021/22,Hapoel Tel Aviv,Unknown,29150,145250,11173
2021/22,Hapoel Beer Sheva,Unknown,16126,142711,10978
2021/22,Beitar Jerusalem,Unknown,33500,108200,9017
2021/22,Maccabi Netanya,Unknown,13610,73680,5668
2021/22,Hapoel Haifa,Unknown,30820,60365,4643
2021/22,Ihud Bnei Sakhnin,Unknown,8500,47592,3661
2021/22,Hapoel Jerusalem,Unknown,33500,45604,3508
2021/22,Hapoel Hadera,Unknown,3000,37369,2875
2021/22,Maccabi Petah Tikva,Unknown,11500,36851,2835
2021/22,Hapoel Nof HaGalil,Unknown,5200,21506,1654
2021/22,FC Ashdod,Unknown,8200,20005,1539
2021/22,Ironi Kiryat Shmona,Unknown,13800,19677,1514
