season,team,stadium,capacity,total_spectators,average_attendance
2022/23,Maccabi Haifa,Unknown,30780,372313,28639
2022/23,Maccabi Tel Aviv,Unknown,29150,292942,22534
2022/23,Beitar Jerusalem,Unknown,33500,175086,13468
2022/23,Hapoel Beer Sheva,Unknown,16126,164039,12618
2022/23,Hapoel Tel Aviv,Unknown,29150,116316,11632
2022/23,Maccabi Netanya,Unknown,13610,84865,7072
2022/23,Hapoel Haifa,Unknown,30820,74540,5734
2022/23,Hapoel Jerusalem,Unknown,33500,53778,4137
2022/23,Sekzia Ness Ziona,Unknown,3500,37616,2894
2022/23,Hapoel Hadera,Unknown,3000,36917,2840
2022/23,FC Ashdod,Unknown,8200,34548,2658
2022/23,Ihud Bnei Sakhnin,Unknown,8500,33196,2554
2022/23,Ironi Kiryat Shmona,Unknown,13800,32030,2464
2022/23,Maccabi Bnei Reineh,Unknown,5200,24820,1909
