season,team,stadium,capacity,total_spectators,average_attendance
2007/08,Maccabi Haifa,Unknown,30780,137000,8059
2007/08,Bnei Yehuda Tel Aviv,Unknown,6020,62350,3897
2007/08,Hapoel Tel Aviv,Unknown,29150,41500,10375
2007/08,Beitar Jerusalem,Unknown,33500,29000,14500
2007/08,Maccabi Tel Aviv,Unknown,29150,18000,9000
2007/08,Maccabi Netanya,Unknown,13610,18000,4500
2007/08,FC Ashdod,Unknown,8200,14250,4750
2007/08,Ihud Bnei Sakhnin,Unknown,8500,13750,3438
2007/08,Hapoel Kfar Saba,Unknown,5800,9000,3000
2007/08,Maccabi Petah Tikva,Unknown,11500,8750,2917
2007/08,Ironi Kiryat Shmona,Unknown,13800,6500,2167
2007/08,Maccabi Herzliya,Unknown,13800,4500,2250
