season,team,stadium,capacity,total_spectators,average_attendance
2014/15,Maccabi Haifa,Unknown,30780,306588,23584
2014/15,Maccabi Tel Aviv,Unknown,29150,168293,12946
2014/15,Hapoel Beer Sheva,Unknown,16126,96000,7385
2014/15,Beitar Jerusalem,Unknown,33500,95200,11900
2014/15,Hapoel Tel Aviv,Unknown,29150,41250,10313
2014/15,Maccabi Netanya,Unknown,13610,37700,7540
2014/15,Hapoel Petah Tikva,Unknown,11500,36650,5236
2014/15,Hapoel Haifa,Unknown,30820,34330,8583
2014/15,Hapoel Acre,Unknown,5000,26800,3350
2014/15,Maccabi Petah Tikva,Unknown,11500,24616,4103
2014/15,FC Ashdod,Unknown,8200,23360,2920
2014/15,Hapoel Raanana,Unknown,5800,18750,2083
2014/15,Ihud Bnei Sakhnin,Unknown,8500,14400,2880
2014/15,Ironi Kiryat Shmona,Unknown,13800,12000,4000
