season,team,stadium,capacity,total_spectators,average_attendance
2019/20,Maccabi Tel Aviv,Unknown,29150,274485,21114
2019/20,Maccabi Haifa,Unknown,30780,268579,20660
2019/20,Hapoel Tel Aviv,Unknown,29150,149456,11497
2019/20,Beitar Jerusalem,Unknown,33500,144566,11120
2019/20,Hapoel Beer Sheva,Unknown,16126,137980,10614
2019/20,Maccabi Netanya,Unknown,13610,72987,5614
2019/20,Hapoel Haifa,Unknown,30820,68392,5261
2019/20,Bnei Yehuda Tel Aviv,Unknown,6020,48568,3736
2019/20,Hapoel Kfar Saba,Unknown,5800,34610,2662
2019/20,Sekzia Ness Ziona,Unknown,3500,33994,2615
2019/20,Hapoel Raanana,Unknown,5800,33453,2573
2019/20,Hapoel Hadera,Unknown,3000,31265,2405
2019/20,FC Ashdod,Unknown,8200,27873,2144
2019/20,Ironi Kiryat Shmona,Unknown,13800,19201,1477
