season,team,stadium,capacity,total_spectators,average_attendance
2018/19,Maccabi Haifa,Unknown,30780,218465,16805
2018/19,Hapoel Beer Sheva,Unknown,16126,177841,13680
2018/19,Beitar Jerusalem,Unknown,33500,153233,11787
2018/19,Maccabi Tel Aviv,Unknown,29150,134446,10342
2018/19,Hapoel Tel Aviv,Unknown,29150,84259,6481
2018/19,Hapoel Haifa,Unknown,30820,80536,6195
2018/19,Maccabi Netanya,Unknown,13610,75870,5836
2018/19,Hapoel Hadera,Unknown,3000,42850,3296
2018/19,Bnei Yehuda Tel Aviv,Unknown,6020,42650,3281
2018/19,Maccabi Petah Tikva,Unknown,11500,38500,2962
2018/19,FC Ashdod,Unknown,8200,25660,1974
2018/19,Hapoel Raanana,Unknown,5800,24101,1854
2018/19,Ihud Bnei Sakhnin,Unknown,8500,22210,2019
2018/19,Ironi Kiryat Shmona,Unknown,13800,21660,1666
