season,season_year,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2017/18,2017,championship,Beitar Jerusalem,BnY,1,1,0,D,1,1
2017/18,2017,championship,Beitar Jerusalem,HBS,1,4,-3,A,0,3
2017/18,2017,championship,Beitar Jerusalem,HHA,1,1,0,D,1,1
2017/18,2017,championship,Beitar Jerusalem,MNE,2,0,2,H,3,0
2017/18,2017,championship,Beitar Jerusalem,MTA,3,2,1,H,3,0
2017/18,2017,championship,Bnei Yehuda,BEI,3,3,0,D,1,1
2017/18,2017,championship,Bnei Yehuda,HBS,1,1,0,D,1,1
2017/18,2017,championship,Bnei Yehuda,HHA,3,0,3,H,3,0
2017/18,2017,championship,Bnei Yehuda,MNE,1,3,-2,A,0,3
2017/18,2017,championship,Bnei Yehuda,MTA,0,2,-2,A,0,3
2017/18,2017,championship,Hapoel Be'er Sheva,BEI,3,1,2,H,3,0
2017/18,2017,championship,Hapoel Be'er Sheva,BnY,1,0,1,H,3,0
2017/18,2017,championship,Hapoel Be'er Sheva,HHA,2,2,0,D,1,1
2017/18,2017,championship,Hapoel Be'er Sheva,MNE,6,1,5,H,3,0
2017/18,2017,championship,Hapoel Be'er Sheva,MTA,0,1,-1,A,0,3
2017/18,2017,championship,Hapoel Haifa,BEI,0,1,-1,A,0,3
2017/18,2017,championship,Hapoel Haifa,BnY,2,1,1,H,3,0
2017/18,2017,championship,Hapoel Haifa,HBS,1,4,-3,A,0,3
2017/18,2017,championship,Hapoel Haifa,MNE,1,1,0,D,1,1
2017/18,2017,championship,Hapoel Haifa,MTA,2,2,0,D,1,1
2017/18,2017,championship,Maccabi Netanya,BEI,4,1,3,H,3,0
2017/18,2017,championship,Maccabi Netanya,BnY,0,5,-5,A,0,3
2017/18,2017,championship,Maccabi Netanya,HBS,1,5,-4,A,0,3
2017/18,2017,championship,Maccabi Netanya,HHA,2,1,1,H,3,0
2017/18,2017,championship,Maccabi Netanya,MTA,4,1,3,H,3,0
2017/18,2017,championship,Maccabi Tel Aviv,BEI,3,1,2,H,3,0
2017/18,2017,championship,Maccabi Tel Aviv,BnY,2,0,2,H,3,0
2017/18,2017,championship,Maccabi Tel Aviv,HBS,0,1,-1,A,0,3
2017/18,2017,championship,Maccabi Tel Aviv,HHA,1,2,-1,A,0,3
2017/18,2017,championship,Maccabi Tel Aviv,MNE,2,0,2,H,3,0
