club_name,seasons,mean_attendance,mean_attendance_per_1000,mean_capacity_utilization_pct,mean_budget_mid_million_nis,mean_market_budget_model_residual,mean_market_budget_model_residual_pct,market_capture_index,budget_efficiency_index
Maccabi Haifa,20,15278.5,51.428388699454366,49.637751786874595,75.39473684210526,4082.6284735875124,31.740823108930876,1.1515436229995215,0.9827394514482293
Hapoel Tel Aviv,18,9105.388888888889,18.39844188500483,31.236325519344387,36.63333333333333,1951.5490449452773,27.640489847246393,0.31972918700578346,1.6140894184370778
Hapoel Beer Sheva,17,9657.764705882353,43.194661164926195,59.88940038374273,67.04545454545455,1643.2225046096535,17.515630254614617,1.092474831355821,0.6452627400553903
Beitar Jerusalem,20,10323.85,9.830824329072676,30.81746268656716,55.39473684210526,102.70833645598476,8.770049643419615,-0.0009949638425166645,0.9164294996612417
Maccabi Netanya,18,4650.388888888889,19.804732675028912,34.16891174789779,28.0,68.85352318899982,1.354679514648728,0.11502208357061681,0.842445428191928
Hapoel Petah Tikva,8,3217.125,11.897519628110635,27.975,22.0,51.573233035705016,0.9424197934824827,-0.11287811150602345,1.1532823113327477
Maccabi Tel Aviv,20,12319.35,24.892604566579106,42.261921097770156,111.92105263157895,-2645.309872140624,-19.74302304416247,0.11400268777681023,-0.6332161010771598
Hapoel Haifa,17,5053.294117647059,17.00970475472194,16.396152231171506,24.0,-1220.9051903810634,-21.032964403464458,-0.5060446516762681,0.1971228486645324
Hapoel Jerusalem,5,3800.4,3.6189081379725394,11.344477611940299,23.75,-2523.1313875185224,-38.51091167407677,-0.9649078848994693,-0.24605429286981803
Hapoel Hadera,7,2503.0,23.181506659010502,83.43333333333332,17.0,-1953.8985558691986,-40.24447322498597,0.6750799530772529,-0.2697208672702087
Maccabi Petah Tikva,16,2655.5625,9.820758275610848,23.091847826086955,26.666666666666668,-2630.553937261055,-44.47734721687741,-0.7190171577090516,-0.8568871582365241
Bnei Sakhnin,18,2426.6666666666665,71.95240071952401,28.549019607843135,19.375,-2449.420317844061,-49.36366524892647,0.14358047375233265,-0.8633296934320913
Maccabi Bnei Reineh,4,2210.5,107.02527355475937,42.50961538461539,14.166666666666666,-2476.709858227256,-55.98539031036511,0.8012295353941381,-0.8752537364365323
FC Ashdod,19,2344.0,10.255423036200243,28.585365853658537,20.0,-2970.063930100623,-56.6977055207636,-0.7366023004734136,-1.1348599316003298
Ironi Kiryat Shmona,17,1818.5294117647059,74.41704840056906,13.177749360613811,22.333333333333332,-3214.103051503252,-61.75022075349693,-0.2557066022186712,-1.472049916868477
Hapoel Acre,8,2117.875,40.04755691702594,42.3575,,,,0.4656271758533376,
Bnei Yehuda Tel Aviv,14,3148.285714285714,6.361458303264729,52.29710488846701,,,,0.09855753868047434,
Hapoel Kfar Saba,6,2203.6666666666665,22.16745464909634,37.99425287356322,,,,-0.01078959037977785,
Hapoel Raanana,8,1876.75,22.62153007967407,32.35775862068965,,,,-0.16658419068392302,
Hapoel Nir Ramat HaSharon,3,1228.0,25.13303315595579,28.55813953488372,,,,-0.22856537250027925,
Hapoel Ashkelon,3,2350.0,14.0832409432775,23.5,,,,-0.5919787291190635,
Hapoel Ramat Gan,3,1701.3333333333333,9.877575349411487,4.091415562449399,,,,-1.2410328857610602,
