club_name,seasons,mean_population,mean_attendance,median_attendance,mean_total_spectators,mean_attendance_per_1000,mean_total_spectators_per_resident,mean_capacity_utilization_pct,mean_budget_mid_million_nis,mean_budget_nis_per_resident,mean_attendance_per_budget_million,mean_population_model_residual,mean_market_budget_model_residual,mean_market_budget_model_residual_pct,z_mean_attendance_per_1000,z_mean_capacity_utilization_pct,z_mean_attendance_per_budget_million,z_mean_market_budget_model_residual_pct,market_capture_index,budget_efficiency_index
Maccabi Haifa,20,297083.0,15278.5,16835.0,183155.8,51.428388699454366,0.6165139035219114,49.637751786874595,75.39473684210526,253.78341016519042,185.08895341640044,9646.177300452026,4082.6284735875124,31.740823108930876,0.8771810906695575,0.9236486142560822,0.31167773882353383,1.6538011640729247,1.1515436229995215,0.9827394514482293
Hapoel Beer Sheva,17,223587.0,9657.764705882353,10614.0,111750.0,43.194661164926195,0.49980544486038997,59.88940038374273,67.04545454545455,299.86293722557457,174.12706364985777,4610.277884548305,1643.2225046096535,17.515630254614617,0.5557957869163114,1.5226027328372254,0.09149950579685372,1.1990259743139269,1.092474831355821,0.6452627400553903
Maccabi Bnei Reineh,4,20654.0,2210.5,1959.0,19769.0,107.02527355475937,0.9571511571608405,42.50961538461539,14.166666666666666,685.9042639036829,139.7133260711692,-1222.1710589308304,-2476.709858227256,-55.98539031036511,3.0472822571250693,0.5071861676944992,-0.5997276542359106,-1.150779818637154,0.8012295353941381,-0.8752537364365323
Hapoel Hadera,7,107974.0,2503.0,2840.0,29661.714285714286,23.181506659010502,0.2747116369284669,83.43333333333332,17.0,157.4453109081816,174.95382395382396,-1624.5098105042507,-1953.8985558691986,-40.24447322498597,-0.22537333884987665,2.898160573559899,0.10810564093784664,-0.6475473754782641,0.6750799530772529,-0.2697208672702087
Hapoel Acre,8,52884.0,2117.875,2050.0,23281.875,40.04755691702594,0.44024421375085093,42.3575,,,,-1571.2625381247303,,,0.4329555483471937,0.49829880335948157,,,0.4656271758533376,
Hapoel Tel Aviv,18,494900.0,9105.388888888889,9950.5,86551.44444444444,18.39844188500483,0.17488673357131632,31.236325519344387,36.63333333333333,74.02168788307402,254.48061098048146,1898.9604023505422,1951.5490449452773,27.640489847246393,-0.4120696703496721,-0.15145749639148068,1.7054641091156522,1.5227147277585031,0.31972918700578346,1.6140894184370778
Bnei Sakhnin,18,33726.0,2426.6666666666665,2561.5,25484.666666666668,71.95240071952401,0.7556385775563857,28.549019607843135,19.375,574.4825950305403,130.36111824276136,-1110.0233130219256,-2449.420317844061,-49.36366524892647,1.6782904071540439,-0.30846375039757773,-0.7875741513647146,-0.9390852354994681,0.14358047375233265,-0.8633296934320913
Maccabi Netanya,18,234812.0,4650.388888888889,5211.0,46218.444444444445,19.804732675028912,0.1968316970361159,34.16891174789779,28.0,119.24433163552118,219.4838108595472,-486.41956536329485,68.85352318899982,1.354679514648728,-0.35717822649001296,0.019879297207063454,1.0025256763890562,0.6823651799948,0.11502208357061681,0.842445428191928
Maccabi Tel Aviv,20,494900.0,12319.35,11171.5,133715.45,24.892604566579106,0.2701868054152354,42.261921097770156,111.92105263157895,226.1488232604141,106.12826957783723,5112.921513461653,-2645.309872140624,-19.74302304416247,-0.15858442478035217,0.49271459155207337,-1.2743100987130291,0.007877896558709543,0.11400268777681023,-0.6332161010771598
Bnei Yehuda Tel Aviv,14,494900.0,3148.285714285714,3296.5,39744.142857142855,6.361458303264729,0.0803074214126952,52.29710488846701,,,,-4058.1427722526328,,,-0.8819066437578602,1.079021721118809,,,0.09855753868047434,
Beitar Jerusalem,20,1050151.0,10323.85,9960.0,101125.5,9.830824329072676,0.09629615169627986,30.81746268656716,55.39473684210526,52.74930637794495,215.04788723946618,-1300.9237871555383,102.70833645598476,8.770049643419615,-0.7464876310009153,-0.17592962069830947,0.9134266391508086,0.9194323601716748,-0.0009949638425166645,0.9164294996612417
Hapoel Kfar Saba,6,99410.0,2203.6666666666665,2482.0,18921.666666666668,22.16745464909634,0.1903396707239379,37.99425287356322,,,,-1855.6961091550968,,,-0.26495461134901926,0.24337543058946357,,,-0.01078959037977785,
Hapoel Petah Tikva,8,270403.0,3217.125,2793.0,27345.75,11.897519628110635,0.10112961024840701,27.975,22.0,81.36004408235115,251.0909090909091,-2202.8947003269614,51.573233035705016,0.9424197934824827,-0.6658187609585958,-0.34200093273613463,1.6373792634888351,0.6691853591766602,-0.11287811150602345,1.1532823113327477
Hapoel Raanana,8,82963.0,1876.75,1821.0,23647.5,22.62153007967407,0.2850367031086147,32.35775862068965,,,,-2051.7376848102194,,,-0.24723078340218244,-0.08593759796566361,,,-0.16658419068392302,
Hapoel Nir Ramat HaSharon,3,48860.0,1228.0,1208.0,16666.666666666668,25.13303315595579,0.3411106562969028,28.55813953488372,,,,-2429.1170257984427,,,-0.14919982771860132,-0.30793091728195715,,,-0.22856537250027925,
Ironi Kiryat Shmona,17,24437.0,1818.5294117647059,1843.0,17772.58823529412,74.41704840056906,0.7272819182098506,13.177749360613811,22.333333333333332,913.9146922017161,89.46425120772948,-1644.2444300016978,-3214.103051503252,-61.75022075349693,1.7744924663423902,-1.2065325376182416,-1.609020098356792,-1.3350797353801622,-0.2557066022186712,-1.472049916868477
Hapoel Haifa,17,297083.0,5053.294117647059,4643.0,52539.705882352944,17.00970475472194,0.17685194333688883,16.396152231171506,24.0,80.78550438766271,190.86065047021944,-579.0285819009157,-1220.9051903810634,-21.032964403464458,-0.4662759460100864,-1.0184968635157556,0.42760684283202705,-0.03336114550296226,-0.5060446516762681,0.1971228486645324
Hapoel Ashkelon,3,166865.0,2350.0,2598.0,24993.333333333332,14.0832409432775,0.1497817597059499,23.5,,,,-2246.128098627365,,,-0.5805039742050769,-0.6034534840330499,,,-0.5919787291190635,
Maccabi Petah Tikva,16,270403.0,2655.5625,2860.0,26429.5625,9.820758275610848,0.09774138045805705,23.091847826086955,26.666666666666668,98.61823525133474,123.22527472527473,-2764.4572003269614,-2630.553937261055,-44.47734721687741,-0.746880537085779,-0.6272998364770606,-0.9309032169087329,-0.7828710995643152,-0.7190171577090516,-0.8568871582365241
FC Ashdod,19,228562.0,2344.0,2462.0,21856.842105263157,10.255423036200243,0.09562762885021639,28.585365853658537,20.0,87.50360952389286,114.99735294117647,-2743.074805634067,-2970.063930100623,-56.6977055207636,-0.7299143616170082,-0.30634021549288465,-1.096167538890312,-1.1735523243103478,-0.7366023004734136,-1.1348599316003298
Hapoel Jerusalem,5,1050151.0,3800.4,3643.0,42993.6,3.6189081379725394,0.04094039809513108,11.344477611940299,23.75,22.61579525230181,174.55113636363637,-7824.373787155538,-2523.1313875185224,-38.51091167407677,-0.9889560104310623,-1.313641716592822,0.10001734193488761,-0.5921259276745237,-0.9649078848994693,-0.24605429286981803
Hapoel Ramat Gan,3,172242.0,1701.3333333333333,1623.0,18200.0,9.877575349411487,0.10566528488986426,4.091415562449399,,,,-2937.581617873168,,,-0.7446628085484652,-1.7374029629736552,,,-1.2410328857610602,
