season,season_year,population_reference_year,population_year,population_year_used,team_raw,club_name,city_he,city_en,settlement_code,population_total,district_he,subdistrict_he,municipal_status_he,team_attendance_raw,stadium,capacity,total_spectators,average_attendance,attendance_per_1000_residents,total_spectators_per_resident,average_attendance_pct_of_population,stadium_capacity_utilization_pct
2010/11,2010,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,5700,1900,77.75095142611615,0.2332528542783484,7.775095142611614,13.768115942028986
2010/11,2010,2024,2024,2024,H. Ramat Gan,Hapoel Ramat Gan,רמת גן,Ramat Gan,8600,172242.0,תל אביב,,עירייה,Hapoel Ramat Gan,Unknown,41583,4500,1500,8.708677326087713,0.02612603197826314,0.8708677326087714,3.607243344636029
2010/11,2010,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,6000,3000,6.061830672863205,0.01212366134572641,0.6061830672863205,49.83388704318937
2010/11,2010,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,25000,12500,25.257627803596687,0.050515255607193374,2.5257627803596687,42.881646655231556
2010/11,2010,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,25000,12500,25.257627803596687,0.050515255607193374,2.5257627803596687,42.881646655231556
2011/12,2011,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,37950,2530,11.069206604772447,0.1660380990715867,1.1069206604772448,30.853658536585364
2011/12,2011,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,49500,3536,15.8148729577301,0.22139033128044117,1.5814872957730102,21.927322336599282
2011/12,2011,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,49200,3280,11.040685599647237,0.16561028399470856,1.1040685599647235,10.64243997404283
2011/12,2011,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,124500,8893,29.934395438311853,0.4190748040110003,2.993439543831185,28.892137751786873
2011/12,2011,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,85200,6086,5.7953570486530035,0.08113118970509955,0.5795357048653004,18.16716417910448
2011/12,2011,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,28950,1930,8.219341430591282,0.12329012145886922,0.8219341430591282,14.180749448934607
2011/12,2011,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,48450,3461,102.62112316906838,1.4365771215086283,10.262112316906839,40.71764705882353
2011/12,2011,2024,2024,2024,Hapoel Acre,Hapoel Acre,עכו,Acre,7600,52884.0,הצפון,עכו,עירייה,Hapoel Acre,Unknown,5000,34500,2300,43.491415172831104,0.6523712275924666,4.34914151728311,46.0
2011/12,2011,2024,2024,2024,H. Petah Tikva,Hapoel Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Hapoel Petah Tikva,Unknown,11500,41300,2753,10.18110006175967,0.15273499184550468,1.0181100061759671,23.93913043478261
2011/12,2011,2024,2024,2024,M. Petah Tikva,Maccabi Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Maccabi Petah Tikva,Unknown,11500,28180,1879,6.948887401397174,0.10421482010184799,0.6948887401397175,16.339130434782607
2011/12,2011,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,42400,2827,115.68523141138436,1.7350738634038547,11.568523141138437,20.485507246376812
2011/12,2011,2024,2024,2024,H Rishon leZion,Hapoel Rishon LeZion,ראשון לציון,Rishon LeZion,8300,259275.0,המרכז,רחובות,עירייה,Hapoel Rishon leZion,Unknown,6000,26300,1753,6.761160929514994,0.10143669848616334,0.6761160929514994,29.21666666666667
2011/12,2011,2024,2024,2024,Ramat haSharon,Hapoel Nir Ramat HaSharon,רמת השרון,Ramat HaSharon,2650,48860.0,תל אביב,תל אביב,עירייה,Hapoel Ramat haSharon,Unknown,4300,15850,1057,21.63323782234957,0.3243962341383545,2.163323782234957,24.58139534883721
2011/12,2011,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,41800,2787,5.631440695089917,0.08446150737522731,0.5631440695089917,46.29568106312292
2011/12,2011,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,127200,8480,17.13477470195999,0.25702162052939986,1.7134774701959992,29.09090909090909
2011/12,2011,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,130500,8700,17.579308951303293,0.2636896342695494,1.7579308951303294,29.845626072041163
2012/13,2012,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,32500,2500,10.937951190486608,0.1421933654763259,1.0937951190486608,30.48780487804878
2012/13,2012,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,62250,4788,21.414482952944493,0.27841511357994875,2.1414482952944494,29.691181942205137
2012/13,2012,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,52400,4031,13.568598674444516,0.17638168457973025,1.3568598674444514,13.079169370538612
2012/13,2012,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,142500,10962,36.89877912906494,0.4796639323017473,3.689877912906494,35.6140350877193
2012/13,2012,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,127000,9769,9.302471739778376,0.12093498934915074,0.9302471739778375,29.161194029850744
2012/13,2012,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,62500,4808,20.475955232270923,0.26617038311500263,2.047595523227092,35.3269654665687
2012/13,2012,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,33400,2569,76.17268576172685,0.9903338670461959,7.617268576172685,30.223529411764705
2012/13,2012,2024,2024,2024,Hapoel Acre,Hapoel Acre,עכו,Acre,7600,52884.0,הצפון,עכו,עירייה,Hapoel Acre,Unknown,5000,26650,2050,38.7640874366538,0.5039331366764995,3.8764087436653805,41.0
2012/13,2012,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,25000,1923,78.69214715390596,1.0230388345541597,7.869214715390596,13.934782608695654
2012/13,2012,2024,2024,2024,H. Ramat Gan,Hapoel Ramat Gan,רמת גן,Ramat Gan,8600,172242.0,תל אביב,,עירייה,Hapoel Ramat Gan,Unknown,41583,25750,1981,11.50125985531984,0.14949896076450575,1.150125985531984,4.763966043815983
2012/13,2012,2024,2024,2024,Ramat haSharon,Hapoel Nir Ramat HaSharon,רמת השרון,Ramat HaSharon,2650,48860.0,תל אביב,תל אביב,עירייה,Hapoel Ramat haSharon,Unknown,4300,18450,1419,29.042161277118296,0.37760949652067133,2.90421612771183,33.0
2012/13,2012,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,49000,3769,7.615679935340473,0.09900990099009901,0.7615679935340472,62.60797342192691
2012/13,2012,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,119640,9203,18.595675894120024,0.2417458072337846,1.8595675894120023,31.571183533447684
2012/13,2012,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,139900,10762,21.745807233784603,0.2826833703778541,2.17458072337846,36.919382504288166
2013/14,2013,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,32050,2465,10.784819873819796,0.14022453426203832,1.0784819873819795,30.060975609756095
2013/14,2013,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,99000,7615,34.05833076162747,0.44278066256088233,3.4058330761627467,47.221877713010045
2013/14,2013,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,49750,4146,13.955695882968733,0.16746161847025914,1.3955695882968733,13.45230369889682
2013/14,2013,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,124700,9592,32.28727325360253,0.41974801654756416,3.2287273253602526,31.163092917478885
2013/14,2013,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,119040,9920,9.446260585382484,0.1133551270245898,0.9446260585382483,29.61194029850746
2013/14,2013,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,49800,3831,113.5918875644903,1.4766055861946272,11.359188756449031,45.07058823529412
2013/14,2013,2024,2024,2024,Hapoel Acre,Hapoel Acre,עכו,Acre,7600,52884.0,הצפון,עכו,עירייה,Hapoel Acre,Unknown,5000,33000,3000,56.72793283412753,0.6240072611754027,5.672793283412752,60.0
2013/14,2013,2024,2024,2024,M. Petah Tikva,Maccabi Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Maccabi Petah Tikva,Unknown,11500,37500,2885,10.669260326253777,0.13868189332218947,1.0669260326253778,25.08695652173913
2013/14,2013,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,26250,2019,82.62061627859393,1.0741907762818677,8.262061627859394,14.630434782608695
2013/14,2013,2024,2024,2024,Ramat haSharon,Hapoel Nir Ramat HaSharon,רמת השרון,Ramat HaSharon,2650,48860.0,תל אביב,תל אביב,עירייה,Hapoel Ramat haSharon,Unknown,4300,15700,1208,24.72370036839951,0.3213262382316824,2.472370036839951,28.093023255813954
2013/14,2013,2024,2024,2024,Hapoel Raanana,Hapoel Raanana,רעננה,Raanana,8700,82963.0,המרכז,פתח תקווה,עירייה,Hapoel Raanana,Unknown,5800,23250,1788,21.551776092957102,0.2802454106047274,2.15517760929571,30.82758620689655
2013/14,2013,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,62400,4800,9.698929076581127,0.12608607799555466,0.9698929076581128,79.734219269103
2013/14,2013,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,132393,10184,20.57789452414629,0.26751464942412606,2.057789452414629,34.93653516295026
2013/14,2013,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,165948,12765,25.79308951303294,0.33531622550010104,2.5793089513032936,43.79073756432247
2014/15,2014,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,23360,2920,12.775526990488357,0.10220421592390685,1.2775526990488357,35.609756097560975
2014/15,2014,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,96000,7385,33.0296484142638,0.42936306672570407,3.30296484142638,45.79560957460003
2014/15,2014,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,34330,8583,28.890916006637877,0.11555693190118586,2.8890916006637877,27.848799480856584
2014/15,2014,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,306588,23584,79.38522231160988,1.0319944258001972,7.938522231160988,76.62118258609487
2014/15,2014,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,95200,11900,11.331703726416487,0.09065362981133189,1.1331703726416487,35.52238805970149
2014/15,2014,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,37700,7540,32.11079501899391,0.1605539750949696,3.2110795018993916,55.40044085231447
2014/15,2014,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,14400,2880,85.39405799679773,0.4269702899839886,8.539405799679772,33.88235294117647
2014/15,2014,2024,2024,2024,Hapoel Acre,Hapoel Acre,עכו,Acre,7600,52884.0,הצפון,עכו,עירייה,Hapoel Acre,Unknown,5000,26800,3350,63.34619166477573,0.5067695333182058,6.334619166477573,67.0
2014/15,2014,2024,2024,2024,H. Petah Tikva,Hapoel Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Hapoel Petah Tikva,Unknown,11500,36650,5236,19.363690491599577,0.13553843707355318,1.9363690491599577,45.530434782608694
2014/15,2014,2024,2024,2024,M. Petah Tikva,Maccabi Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Maccabi Petah Tikva,Unknown,11500,24616,4103,15.17364822135849,0.0910344929605071,1.5173648221358491,35.678260869565214
2014/15,2014,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,12000,4000,163.68621352866555,0.49105864058599663,16.368621352866555,28.985507246376812
2014/15,2014,2024,2024,2024,Hapoel Raanana,Hapoel Raanana,רעננה,Raanana,8700,82963.0,המרכז,פתח תקווה,עירייה,Hapoel Raanana,Unknown,5800,18750,2083,25.10757807697407,0.2260043633909092,2.510757807697407,35.91379310344828
2014/15,2014,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,41250,10313,20.83855324307941,0.08335017175186907,2.083855324307941,35.37907375643224
2014/15,2014,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,168293,12946,26.158819963629018,0.34005455647605576,2.615881996362902,44.41166380789022
2015/16,2015,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,195000,15000,67.08797917589126,0.8721437292865865,6.708797917589127,93.01748728761007
2015/16,2015,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,60240,4634,15.598334472184542,0.2027716160130334,1.559833447218454,15.035691109669047
2015/16,2015,2024,2024,2024,Maccabi Haifa,Maccabi Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Maccabi Haifa,Unknown,30780,269079,20698,69.67076540899345,0.9057367806303289,6.9670765408993445,67.24496426250812
2015/16,2015,2024,2024,2024,B. Jerusalem,Beitar Jerusalem,ירושלים,Jerusalem,3000,1050151.0,ירושלים,ירושלים,עירייה,Beitar Jerusalem,Unknown,33500,127900,9838,9.368176576511377,0.12179200895871165,0.9368176576511378,29.367164179104478
2015/16,2015,2024,2024,2024,H. Kfar Saba,Hapoel Kfar Saba,כפר סבא,Kfar Saba,6900,99410.0,המרכז,פתח תקווה,עירייה,Hapoel Kfar Saba,Unknown,5800,35200,2708,27.240720249471885,0.3540891258424706,2.7240720249471884,46.689655172413794
2015/16,2015,2024,2024,2024,Maccabi Netanya,Maccabi Netanya,נתניה,Netanya,7400,234812.0,המרכז,השרון,עירייה,Maccabi Netanya,Unknown,13610,60150,4627,19.705125802769874,0.2561623767098785,1.9705125802769876,33.99706098457017
2015/16,2015,2024,2024,2024,Bnei Sakhnin,Bnei Sakhnin,סח'נין,Sakhnin,7500,33726.0,הצפון,עכו,עירייה,Ihud Bnei Sakhnin,Unknown,8500,37100,2854,84.62313941765996,1.1000415110004151,8.462313941765997,33.576470588235296
2015/16,2015,2024,2024,2024,Hapoel Acre,Hapoel Acre,עכו,Acre,7600,52884.0,הצפון,עכו,עירייה,Hapoel Acre,Unknown,5000,26650,2050,38.7640874366538,0.5039331366764995,3.8764087436653805,41.0
2015/16,2015,2024,2024,2024,M. Petah Tikva,Maccabi Petah Tikva,פתח תקווה,Petah Tikva,7900,270403.0,המרכז,פתח תקווה,עירייה,Maccabi Petah Tikva,Unknown,11500,52950,4073,15.062702706700739,0.19581883337093153,1.506270270670074,35.41739130434783
2015/16,2015,2024,2024,2024,Kiryat Shmona,Ironi Kiryat Shmona,קריית שמונה,Kiryat Shmona,2800,24437.0,הצפון,צפת,עירייה,Ironi Kiryat Shmona,Unknown,13800,23400,1800,73.65879608789949,0.9575643491426935,7.36587960878995,13.043478260869565
2015/16,2015,2024,2024,2024,Hapoel Raanana,Hapoel Raanana,רעננה,Raanana,8700,82963.0,המרכז,פתח תקווה,עירייה,Hapoel Raanana,Unknown,5800,27650,2127,25.63793498306474,0.3332811012137941,2.563793498306474,36.672413793103445
2015/16,2015,2024,2024,2024,Bnei Yehuda,Bnei Yehuda Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Bnei Yehuda Tel Aviv,Unknown,6020,55300,4254,8.595675894120024,0.11173974540311174,0.8595675894120025,70.66445182724253
2015/16,2015,2024,2024,2024,Hapoel Tel Aviv,Hapoel Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Hapoel Tel Aviv,Unknown,29150,126323,9717,19.63426954940392,0.25524954536269956,1.9634269549403922,33.33447684391081
2015/16,2015,2024,2024,2024,M. Tel Aviv,Maccabi Tel Aviv,תל אביב -יפו,Tel Aviv-Yafo,5000,494900.0,תל אביב,תל אביב,עירייה,Maccabi Tel Aviv,Unknown,29150,150555,11581,23.400687007476257,0.30421297231763994,2.3400687007476257,39.72898799313894
2016/17,2016,2024,2024,2024,FC Ashdod,FC Ashdod,אשדוד,Ashdod,70,228562.0,הדרום,אשקלון,עירייה,FC Ashdod,Unknown,8200,32000,2462,10.771694332391212,0.14000577523822857,1.0771694332391213,30.024390243902438
2016/17,2016,2024,2024,2024,H. Ashkelon,Hapoel Ashkelon,אשקלון,Ashkelon,7100,166865.0,הדרום,אשקלון,עירייה,Hapoel Ashkelon,Unknown,10000,36210,2785,16.690138734905464,0.2170017678962035,1.6690138734905462,27.85
2016/17,2016,2024,2024,2024,H. Beer Sheva,Hapoel Beer Sheva,באר שבע,Beer Sheva,9000,223587.0,הדרום,באר שבע,עירייה,Hapoel Beer Sheva,Unknown,16126,188072,14467,64.70411964917459,0.8411580279712148,6.470411964917459,89.71226590599034
2016/17,2016,2024,2024,2024,Hapoel Haifa,Hapoel Haifa,חיפה,Haifa,4000,297083.0,חיפה,חיפה,עירייה,Hapoel Haifa,Unknown,30820,63700,4900,16.49370714581447,0.2144181928955881,1.6493707145814467,15.898767034393252
