team,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36
Hapoel Be'er Sheva,3,6,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
Maccabi Tel Aviv,1,1,2,1,1,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0
Beitar Jerusalem,6,9,9,5,8,6,5,5,5,5,5,5,6,6,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3.0,3.0,3.0
Maccabi Petah Tikva,7,4,3,2,2,3,3,2,2,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4.0,4.0,4.0
Bnei Sakhnin,8,5,8,11,11,13,10,6,8,9,7,7,7,8,6,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0
Maccabi Haifa,5,8,6,4,5,5,4,4,4,3,3,3,3,3,4,4,5,6,6,7,7,7,6,7,7,6,6,6,6,6,6,6,6,6.0,6.0,6.0
Ironi Kiryat Shmona,4,3,5,7,6,7,7,10,6,7,6,6,5,5,5,5,4,4,4,4,4,6,7,6,6,7,7,7,7,7,7,7,7,,,
Hapoel Haifa,10,7,10,6,4,4,6,7,9,11,9,10,11,9,9,8,8,8,8,8,8,8,8,8,8,8,9,8,8,9,8,8,8,,,
F.C. Ashdod,12,14,13,13,14,14,14,14,12,10,10,12,12,12,12,10,9,9,9,9,10,11,10,10,10,9,8,10,10,10,9,9,9,,,
Hapoel Ra'anana,11,13,12,14,12,11,8,8,10,6,8,8,8,7,8,9,9,10,10,10,9,9,9,9,9,10,11,9,11,8,10,10,10,,,
Bnei Yehuda,9,10,11,8,10,9,13,12,13,13,13,13,14,13,13,12,12,13,11,11,11,10,11,11,11,11,10,11,9,11,11,11,11,,,
Hapoel Ashkelon,2,2,4,9,9,10,12,13,14,14,14,14,13,14,14,13,13,12,13,13,13,13,13,13,13,13,13,14,12,12,12,12,12,,,
Hapoel Kfar Saba,14,12,7,10,7,8,11,11,7,8,12,11,10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,14,14,14,14,13,,,
Hapoel Tel Aviv,13,11,14,12,13,12,9,9,11,12,11,9,9,10,10,14,14,14,14,14,14,14,14,14,14,14,14,12,13,13,13,13,14,,,
