season,season_year,round,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2019/20,2019,33,relegation,Netanya,Hapoel Kfar Saba,0,1,-1,A,0,3
2019/20,2019,33,relegation,SC Ashdod,Hapoel Hadera,3,1,2,H,3,0
2019/20,2019,33,relegation,Ironi Kiryat Shmona,Nes Tziona,1,0,1,H,3,0
2019/20,2019,33,relegation,H. Raanana,Bnei Yehuda,0,4,-4,A,0,3
2019/20,2019,32,relegation,Hapoel Kfar Saba,Nes Tziona,0,1,-1,A,0,3
2019/20,2019,32,relegation,Netanya,SC Ashdod,2,5,-3,A,0,3
2019/20,2019,32,relegation,Bnei Yehuda,Ironi Kiryat Shmona,2,0,2,H,3,0
2019/20,2019,32,relegation,Hapoel Hadera,H. Raanana,2,2,0,D,1,1
2019/20,2019,31,relegation,Nes Tziona,Bnei Yehuda,0,0,0,D,1,1
2019/20,2019,31,relegation,SC Ashdod,Hapoel Kfar Saba,2,3,-1,A,0,3
2019/20,2019,31,relegation,Ironi Kiryat Shmona,Hapoel Hadera,0,3,-3,A,0,3
2019/20,2019,31,relegation,H. Raanana,Netanya,2,4,-2,A,0,3
2019/20,2019,30,relegation,Bnei Yehuda,SC Ashdod,3,3,0,D,1,1
2019/20,2019,30,relegation,Hapoel Kfar Saba,Ironi Kiryat Shmona,0,0,0,D,1,1
2019/20,2019,30,relegation,Hapoel Hadera,Netanya,1,2,-1,A,0,3
2019/20,2019,30,relegation,Nes Tziona,H. Raanana,2,1,1,H,3,0
2019/20,2019,29,relegation,Netanya,Bnei Yehuda,1,3,-2,A,0,3
2019/20,2019,29,relegation,Hapoel Hadera,Hapoel Kfar Saba,0,0,0,D,1,1
2019/20,2019,29,relegation,H. Raanana,Ironi Kiryat Shmona,0,1,-1,A,0,3
2019/20,2019,29,relegation,SC Ashdod,Nes Tziona,2,0,2,H,3,0
2019/20,2019,28,relegation,Nes Tziona,Netanya,1,0,1,H,3,0
2019/20,2019,28,relegation,Hapoel Kfar Saba,H. Raanana,2,0,2,H,3,0
2019/20,2019,28,relegation,Ironi Kiryat Shmona,SC Ashdod,3,0,3,H,3,0
2019/20,2019,28,relegation,Bnei Yehuda,Hapoel Hadera,5,0,5,H,3,0
2019/20,2019,27,relegation,Hapoel Hadera,Nes Tziona,2,2,0,D,1,1
2019/20,2019,27,relegation,Netanya,Ironi Kiryat Shmona,3,1,2,H,3,0
2019/20,2019,27,relegation,SC Ashdod,H. Raanana,3,2,1,H,3,0
2019/20,2019,27,relegation,Bnei Yehuda,Hapoel Kfar Saba,0,0,0,D,1,1
