season,season_year,round,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2013/14,2013,33,relegation,H. Akko,Ironi Ramat HaSharon,1,2,-1,A,0,3
2013/14,2013,33,relegation,H. Raanana,Beitar Jerusalem,0,2,-2,A,0,3
2013/14,2013,33,relegation,Maccabi Petah Tikva,Hapoel Haifa,2,1,1,H,3,0
2013/14,2013,33,relegation,Bnei Yehuda,SC Ashdod,1,1,0,D,1,1
2013/14,2013,32,relegation,Beitar Jerusalem,H. Akko,0,2,-2,A,0,3
2013/14,2013,32,relegation,Hapoel Haifa,H. Raanana,0,2,-2,A,0,3
2013/14,2013,32,relegation,Ironi Ramat HaSharon,Bnei Yehuda,0,1,-1,A,0,3
2013/14,2013,32,relegation,SC Ashdod,Maccabi Petah Tikva,0,5,-5,A,0,3
2013/14,2013,31,relegation,Beitar Jerusalem,Ironi Ramat HaSharon,4,0,4,H,3,0
2013/14,2013,31,relegation,H. Akko,Hapoel Haifa,1,0,1,H,3,0
2013/14,2013,31,relegation,H. Raanana,SC Ashdod,1,1,0,D,1,1
2013/14,2013,31,relegation,Maccabi Petah Tikva,Bnei Yehuda,1,0,1,H,3,0
2013/14,2013,30,relegation,Hapoel Haifa,Beitar Jerusalem,1,0,1,H,3,0
2013/14,2013,30,relegation,Ironi Ramat HaSharon,Maccabi Petah Tikva,4,1,3,H,3,0
2013/14,2013,30,relegation,SC Ashdod,H. Akko,1,0,1,H,3,0
2013/14,2013,30,relegation,Bnei Yehuda,H. Raanana,1,3,-2,A,0,3
2013/14,2013,29,relegation,Beitar Jerusalem,SC Ashdod,1,0,1,H,3,0
2013/14,2013,29,relegation,H. Akko,Bnei Yehuda,1,1,0,D,1,1
2013/14,2013,29,relegation,Hapoel Haifa,Ironi Ramat HaSharon,0,1,-1,A,0,3
2013/14,2013,29,relegation,H. Raanana,Maccabi Petah Tikva,4,2,2,H,3,0
2013/14,2013,28,relegation,Bnei Yehuda,Beitar Jerusalem,1,0,1,H,3,0
2013/14,2013,28,relegation,Maccabi Petah Tikva,H. Akko,0,0,0,D,1,1
2013/14,2013,28,relegation,Ironi Ramat HaSharon,H. Raanana,0,0,0,D,1,1
2013/14,2013,28,relegation,SC Ashdod,Hapoel Haifa,4,1,3,H,3,0
2013/14,2013,27,relegation,Beitar Jerusalem,Maccabi Petah Tikva,3,0,3,H,3,0
2013/14,2013,27,relegation,H. Akko,H. Raanana,1,1,0,D,1,1
2013/14,2013,27,relegation,Hapoel Haifa,Bnei Yehuda,0,1,-1,A,0,3
2013/14,2013,27,relegation,SC Ashdod,Ironi Ramat HaSharon,0,1,-1,A,0,3
