season,season_year,round,playoff_type,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2009/10,2009,5,championship,Beitar Jerusalem,Hapoel Tel Aviv,1,2,-1,A,0,3
2009/10,2009,5,championship,Maccabi Tel Aviv,SC Ashdod,2,0,2,H,3,0
2009/10,2009,5,championship,Bnei Yehuda,Maccabi Haifa,1,1,0,D,1,1
2009/10,2009,4,championship,Hapoel Tel Aviv,Maccabi Tel Aviv,0,0,0,D,1,1
2009/10,2009,4,championship,Maccabi Haifa,Beitar Jerusalem,2,1,1,H,3,0
2009/10,2009,4,championship,SC Ashdod,Bnei Yehuda,2,3,-1,A,0,3
2009/10,2009,3,championship,Maccabi Tel Aviv,Maccabi Haifa,0,2,-2,A,0,3
2009/10,2009,3,championship,Beitar Jerusalem,Bnei Yehuda,0,2,-2,A,0,3
2009/10,2009,3,championship,Hapoel Tel Aviv,SC Ashdod,4,0,4,H,3,0
2009/10,2009,2,championship,Maccabi Haifa,Hapoel Tel Aviv,0,1,-1,A,0,3
2009/10,2009,2,championship,SC Ashdod,Beitar Jerusalem,1,2,-1,A,0,3
2009/10,2009,2,championship,Bnei Yehuda,Maccabi Tel Aviv,0,0,0,D,1,1
2009/10,2009,1,championship,Hapoel Tel Aviv,Bnei Yehuda,1,0,1,H,3,0
2009/10,2009,1,championship,Maccabi Haifa,SC Ashdod,3,1,2,H,3,0
2009/10,2009,1,championship,Maccabi Tel Aviv,Beitar Jerusalem,3,0,3,H,3,0
2010/11,2010,35,championship,Maccabi Tel Aviv,Netanya,4,1,3,H,3,0
2010/11,2010,35,championship,Ironi Kiryat Shmona,Hapoel Tel Aviv,2,1,1,H,3,0
2010/11,2010,35,championship,Bnei Yehuda,Maccabi Haifa,1,1,0,D,1,1
2010/11,2010,34,championship,Maccabi Haifa,Ironi Kiryat Shmona,2,0,2,H,3,0
2010/11,2010,34,championship,Hapoel Tel Aviv,Maccabi Tel Aviv,2,2,0,D,1,1
2010/11,2010,34,championship,Netanya,Bnei Yehuda,0,4,-4,A,0,3
2010/11,2010,33,championship,Hapoel Tel Aviv,Netanya,2,2,0,D,1,1
2010/11,2010,33,championship,Maccabi Tel Aviv,Maccabi Haifa,0,2,-2,A,0,3
2010/11,2010,33,championship,Ironi Kiryat Shmona,Bnei Yehuda,1,2,-1,A,0,3
2010/11,2010,32,championship,Maccabi Haifa,Hapoel Tel Aviv,2,0,2,H,3,0
2010/11,2010,32,championship,Netanya,Ironi Kiryat Shmona,3,3,0,D,1,1
2010/11,2010,32,championship,Bnei Yehuda,Maccabi Tel Aviv,1,3,-2,A,0,3
2010/11,2010,31,championship,Hapoel Tel Aviv,Bnei Yehuda,2,1,1,H,3,0
2010/11,2010,31,championship,Maccabi Haifa,Netanya,1,2,-1,A,0,3
2010/11,2010,31,championship,Maccabi Tel Aviv,Ironi Kiryat Shmona,3,1,2,H,3,0
2011/12,2011,37,championship,Maccabi Haifa,Hapoel Tel Aviv,1,1,0,D,1,1
2011/12,2011,37,championship,Maccabi Tel Aviv,Ironi Kiryat Shmona,3,2,1,H,3,0
2011/12,2011,37,championship,Netanya,Sakhnin,3,2,1,H,3,0
2011/12,2011,37,championship,SC Ashdod,Bnei Yehuda,2,1,1,H,3,0
2011/12,2011,36,championship,Ironi Kiryat Shmona,Maccabi Haifa,0,1,-1,A,0,3
2011/12,2011,36,championship,Bnei Yehuda,Maccabi Tel Aviv,4,3,1,H,3,0
2011/12,2011,36,championship,Hapoel Tel Aviv,Netanya,1,3,-2,A,0,3
2011/12,2011,36,championship,Sakhnin,SC Ashdod,1,2,-1,A,0,3
2011/12,2011,35,championship,Maccabi Haifa,Maccabi Tel Aviv,2,1,1,H,3,0
2011/12,2011,35,championship,Netanya,Ironi Kiryat Shmona,1,3,-2,A,0,3
2011/12,2011,35,championship,Sakhnin,Bnei Yehuda,0,3,-3,A,0,3
2011/12,2011,35,championship,SC Ashdod,Hapoel Tel Aviv,0,2,-2,A,0,3
2011/12,2011,34,championship,Maccabi Tel Aviv,Netanya,1,0,1,H,3,0
2011/12,2011,34,championship,Hapoel Tel Aviv,Sakhnin,3,1,2,H,3,0
2011/12,2011,34,championship,Ironi Kiryat Shmona,SC Ashdod,1,0,1,H,3,0
2011/12,2011,34,championship,Bnei Yehuda,Maccabi Haifa,2,1,1,H,3,0
2011/12,2011,33,championship,Hapoel Tel Aviv,Bnei Yehuda,3,3,0,D,1,1
