season,season_year,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2011/12,2011,Beitar Jerusalem,BnY,2,1,1,H,3,0
2011/12,2011,Beitar Jerusalem,BnS,0,3,-3,A,0,3
2011/12,2011,Beitar Jerusalem,ASH,1,0,1,H,3,0
2011/12,2011,Beitar Jerusalem,HAC,3,1,2,H,3,0
2011/12,2011,Beitar Jerusalem,HBS,0,1,-1,A,0,3
2011/12,2011,Beitar Jerusalem,HHA,1,0,1,H,3,0
2011/12,2011,Beitar Jerusalem,HPT,1,2,-1,A,0,3
2011/12,2011,Beitar Jerusalem,HRL,1,1,0,D,1,1
2011/12,2011,Beitar Jerusalem,HTA,1,1,0,D,1,1
2011/12,2011,Beitar Jerusalem,IKS,1,0,1,H,3,0
2011/12,2011,Beitar Jerusalem,IRH,0,1,-1,A,0,3
2011/12,2011,Beitar Jerusalem,MHA,1,4,-3,A,0,3
2011/12,2011,Beitar Jerusalem,MNE,2,1,1,H,3,0
2011/12,2011,Beitar Jerusalem,MPT,0,0,0,D,1,1
2011/12,2011,Beitar Jerusalem,MTA,0,0,0,D,1,1
2011/12,2011,Bnei Yehuda,BEI,3,0,3,H,3,0
2011/12,2011,Bnei Yehuda,BnS,1,1,0,D,1,1
2011/12,2011,Bnei Yehuda,ASH,1,0,1,H,3,0
2011/12,2011,Bnei Yehuda,HAC,4,1,3,H,3,0
2011/12,2011,Bnei Yehuda,HBS,5,1,4,H,3,0
2011/12,2011,Bnei Yehuda,HHA,1,0,1,H,3,0
2011/12,2011,Bnei Yehuda,HPT,5,1,4,H,3,0
2011/12,2011,Bnei Yehuda,HRL,1,0,1,H,3,0
2011/12,2011,Bnei Yehuda,HTA,1,1,0,D,1,1
2011/12,2011,Bnei Yehuda,IKS,0,1,-1,A,0,3
2011/12,2011,Bnei Yehuda,IRH,1,1,0,D,1,1
2011/12,2011,Bnei Yehuda,MHA,0,0,0,D,1,1
2011/12,2011,Bnei Yehuda,MNE,1,2,-1,A,0,3
2011/12,2011,Bnei Yehuda,MPT,2,2,0,D,1,1
2011/12,2011,Bnei Yehuda,MTA,0,0,0,D,1,1
2011/12,2011,Bnei Sakhnin,BEI,3,0,3,H,3,0
2011/12,2011,Bnei Sakhnin,BnY,2,2,0,D,1,1
2011/12,2011,Bnei Sakhnin,ASH,1,2,-1,A,0,3
2011/12,2011,Bnei Sakhnin,HAC,2,1,1,H,3,0
2011/12,2011,Bnei Sakhnin,HBS,4,3,1,H,3,0
2011/12,2011,Bnei Sakhnin,HHA,0,1,-1,A,0,3
2011/12,2011,Bnei Sakhnin,HPT,3,0,3,H,3,0
2011/12,2011,Bnei Sakhnin,HRL,1,0,1,H,3,0
2011/12,2011,Bnei Sakhnin,HTA,0,1,-1,A,0,3
2011/12,2011,Bnei Sakhnin,IKS,2,3,-1,A,0,3
2011/12,2011,Bnei Sakhnin,IRH,3,0,3,H,3,0
2011/12,2011,Bnei Sakhnin,MHA,2,0,2,H,3,0
2011/12,2011,Bnei Sakhnin,MNE,1,1,0,D,1,1
2011/12,2011,Bnei Sakhnin,MPT,3,0,3,H,3,0
2011/12,2011,Bnei Sakhnin,MTA,1,3,-2,A,0,3
2011/12,2011,F.C. Ironi Ashdod,BEI,3,0,3,H,3,0
2011/12,2011,F.C. Ironi Ashdod,BnY,0,0,0,D,1,1
2011/12,2011,F.C. Ironi Ashdod,BnS,3,3,0,D,1,1
2011/12,2011,F.C. Ironi Ashdod,HAC,1,1,0,D,1,1
2011/12,2011,F.C. Ironi Ashdod,HBS,2,0,2,H,3,0
2011/12,2011,F.C. Ironi Ashdod,HHA,3,2,1,H,3,0
2011/12,2011,F.C. Ironi Ashdod,HPT,1,1,0,D,1,1
2011/12,2011,F.C. Ironi Ashdod,HRL,2,1,1,H,3,0
2011/12,2011,F.C. Ironi Ashdod,HTA,2,0,2,H,3,0
2011/12,2011,F.C. Ironi Ashdod,IKS,0,0,0,D,1,1
2011/12,2011,F.C. Ironi Ashdod,IRH,2,0,2,H,3,0
2011/12,2011,F.C. Ironi Ashdod,MHA,1,0,1,H,3,0
2011/12,2011,F.C. Ironi Ashdod,MNE,2,1,1,H,3,0
2011/12,2011,F.C. Ironi Ashdod,MPT,1,3,-2,A,0,3
2011/12,2011,F.C. Ironi Ashdod,MTA,2,1,1,H,3,0
2011/12,2011,Hapoel Acre,BEI,1,1,0,D,1,1
2011/12,2011,Hapoel Acre,BnY,2,0,2,H,3,0
2011/12,2011,Hapoel Acre,BnS,2,1,1,H,3,0
2011/12,2011,Hapoel Acre,ASH,2,2,0,D,1,1
2011/12,2011,Hapoel Acre,HBS,2,0,2,H,3,0
2011/12,2011,Hapoel Acre,HHA,1,0,1,H,3,0
2011/12,2011,Hapoel Acre,HPT,3,1,2,H,3,0
2011/12,2011,Hapoel Acre,HRL,2,2,0,D,1,1
2011/12,2011,Hapoel Acre,HTA,0,2,-2,A,0,3
2011/12,2011,Hapoel Acre,IKS,1,2,-1,A,0,3
2011/12,2011,Hapoel Acre,IRH,2,0,2,H,3,0
2011/12,2011,Hapoel Acre,MHA,0,1,-1,A,0,3
2011/12,2011,Hapoel Acre,MNE,1,2,-1,A,0,3
2011/12,2011,Hapoel Acre,MPT,0,0,0,D,1,1
2011/12,2011,Hapoel Acre,MTA,3,0,3,H,3,0
2011/12,2011,Hapoel Be'er Sheva,BEI,0,1,-1,A,0,3
2011/12,2011,Hapoel Be'er Sheva,BnY,3,1,2,H,3,0
2011/12,2011,Hapoel Be'er Sheva,BnS,0,2,-2,A,0,3
2011/12,2011,Hapoel Be'er Sheva,ASH,2,1,1,H,3,0
2011/12,2011,Hapoel Be'er Sheva,HAC,2,1,1,H,3,0
2011/12,2011,Hapoel Be'er Sheva,HHA,2,0,2,H,3,0
2011/12,2011,Hapoel Be'er Sheva,HPT,1,2,-1,A,0,3
2011/12,2011,Hapoel Be'er Sheva,HRL,2,1,1,H,3,0
2011/12,2011,Hapoel Be'er Sheva,HTA,1,1,0,D,1,1
2011/12,2011,Hapoel Be'er Sheva,IKS,0,3,-3,A,0,3
2011/12,2011,Hapoel Be'er Sheva,IRH,1,3,-2,A,0,3
2011/12,2011,Hapoel Be'er Sheva,MHA,1,1,0,D,1,1
2011/12,2011,Hapoel Be'er Sheva,MNE,1,2,-1,A,0,3
2011/12,2011,Hapoel Be'er Sheva,MPT,0,0,0,D,1,1
2011/12,2011,Hapoel Be'er Sheva,MTA,1,4,-3,A,0,3
2011/12,2011,Hapoel Haifa,BEI,3,0,3,H,3,0
2011/12,2011,Hapoel Haifa,BnY,0,2,-2,A,0,3
2011/12,2011,Hapoel Haifa,BnS,1,2,-1,A,0,3
2011/12,2011,Hapoel Haifa,ASH,2,2,0,D,1,1
2011/12,2011,Hapoel Haifa,HAC,2,4,-2,A,0,3
2011/12,2011,Hapoel Haifa,HBS,0,2,-2,A,0,3
2011/12,2011,Hapoel Haifa,HPT,2,2,0,D,1,1
2011/12,2011,Hapoel Haifa,HRL,3,2,1,H,3,0
2011/12,2011,Hapoel Haifa,HTA,0,0,0,D,1,1
2011/12,2011,Hapoel Haifa,IKS,0,1,-1,A,0,3
2011/12,2011,Hapoel Haifa,IRH,2,0,2,H,3,0
2011/12,2011,Hapoel Haifa,MHA,1,1,0,D,1,1
2011/12,2011,Hapoel Haifa,MNE,1,1,0,D,1,1
2011/12,2011,Hapoel Haifa,MPT,1,1,0,D,1,1
2011/12,2011,Hapoel Haifa,MTA,2,0,2,H,3,0
2011/12,2011,Hapoel Petah Tikva,BEI,0,1,-1,A,0,3
2011/12,2011,Hapoel Petah Tikva,BnY,0,1,-1,A,0,3
2011/12,2011,Hapoel Petah Tikva,BnS,1,2,-1,A,0,3
2011/12,2011,Hapoel Petah Tikva,ASH,0,1,-1,A,0,3
2011/12,2011,Hapoel Petah Tikva,HAC,0,0,0,D,1,1
2011/12,2011,Hapoel Petah Tikva,HBS,2,0,2,H,3,0
2011/12,2011,Hapoel Petah Tikva,HHA,0,1,-1,A,0,3
2011/12,2011,Hapoel Petah Tikva,HRL,0,1,-1,A,0,3
2011/12,2011,Hapoel Petah Tikva,HTA,2,3,-1,A,0,3
2011/12,2011,Hapoel Petah Tikva,IKS,1,1,0,D,1,1
2011/12,2011,Hapoel Petah Tikva,IRH,1,1,0,D,1,1
2011/12,2011,Hapoel Petah Tikva,MHA,3,1,2,H,3,0
2011/12,2011,Hapoel Petah Tikva,MNE,3,1,2,H,3,0
2011/12,2011,Hapoel Petah Tikva,MPT,1,0,1,H,3,0
2011/12,2011,Hapoel Petah Tikva,MTA,1,3,-2,A,0,3
2011/12,2011,Hapoel Rishon LeZion,BEI,2,0,2,H,3,0
2011/12,2011,Hapoel Rishon LeZion,BnY,0,1,-1,A,0,3
2011/12,2011,Hapoel Rishon LeZion,BnS,4,2,2,H,3,0
2011/12,2011,Hapoel Rishon LeZion,ASH,2,1,1,H,3,0
2011/12,2011,Hapoel Rishon LeZion,HAC,0,3,-3,A,0,3
2011/12,2011,Hapoel Rishon LeZion,HBS,0,1,-1,A,0,3
2011/12,2011,Hapoel Rishon LeZion,HHA,1,1,0,D,1,1
2011/12,2011,Hapoel Rishon LeZion,HPT,0,0,0,D,1,1
2011/12,2011,Hapoel Rishon LeZion,HTA,1,2,-1,A,0,3
2011/12,2011,Hapoel Rishon LeZion,IKS,1,1,0,D,1,1
2011/12,2011,Hapoel Rishon LeZion,IRH,1,1,0,D,1,1
2011/12,2011,Hapoel Rishon LeZion,MHA,4,2,2,H,3,0
2011/12,2011,Hapoel Rishon LeZion,MNE,0,0,0,D,1,1
2011/12,2011,Hapoel Rishon LeZion,MPT,2,2,0,D,1,1
2011/12,2011,Hapoel Rishon LeZion,MTA,0,2,-2,A,0,3
2011/12,2011,Hapoel Tel Aviv,BEI,1,0,1,H,3,0
2011/12,2011,Hapoel Tel Aviv,BnY,1,1,0,D,1,1
2011/12,2011,Hapoel Tel Aviv,BnS,0,0,0,D,1,1
2011/12,2011,Hapoel Tel Aviv,ASH,0,0,0,D,1,1
2011/12,2011,Hapoel Tel Aviv,HAC,2,1,1,H,3,0
2011/12,2011,Hapoel Tel Aviv,HBS,2,0,2,H,3,0
2011/12,2011,Hapoel Tel Aviv,HHA,0,0,0,D,1,1
2011/12,2011,Hapoel Tel Aviv,HPT,5,0,5,H,3,0
2011/12,2011,Hapoel Tel Aviv,HRL,6,0,6,H,3,0
2011/12,2011,Hapoel Tel Aviv,IKS,2,2,0,D,1,1
2011/12,2011,Hapoel Tel Aviv,IRH,0,0,0,D,1,1
2011/12,2011,Hapoel Tel Aviv,MHA,3,0,3,H,3,0
2011/12,2011,Hapoel Tel Aviv,MNE,7,3,4,H,3,0
2011/12,2011,Hapoel Tel Aviv,MPT,4,1,3,H,3,0
2011/12,2011,Hapoel Tel Aviv,MTA,0,1,-1,A,0,3
2011/12,2011,Ironi Kiryat Shmona,BEI,1,0,1,H,3,0
2011/12,2011,Ironi Kiryat Shmona,BnY,1,0,1,H,3,0
2011/12,2011,Ironi Kiryat Shmona,BnS,0,0,0,D,1,1
2011/12,2011,Ironi Kiryat Shmona,ASH,0,0,0,D,1,1
2011/12,2011,Ironi Kiryat Shmona,HAC,2,0,2,H,3,0
2011/12,2011,Ironi Kiryat Shmona,HBS,1,1,0,D,1,1
2011/12,2011,Ironi Kiryat Shmona,HHA,1,0,1,H,3,0
2011/12,2011,Ironi Kiryat Shmona,HPT,2,0,2,H,3,0
2011/12,2011,Ironi Kiryat Shmona,HRL,2,0,2,H,3,0
2011/12,2011,Ironi Kiryat Shmona,HTA,1,0,1,H,3,0
2011/12,2011,Ironi Kiryat Shmona,IRH,4,0,4,H,3,0
2011/12,2011,Ironi Kiryat Shmona,MHA,1,0,1,H,3,0
2011/12,2011,Ironi Kiryat Shmona,MNE,1,3,-2,A,0,3
2011/12,2011,Ironi Kiryat Shmona,MPT,1,1,0,D,1,1
2011/12,2011,Ironi Kiryat Shmona,MTA,2,1,1,H,3,0
2011/12,2011,Ironi Nir Ramat HaSharon,BEI,2,0,2,H,3,0
2011/12,2011,Ironi Nir Ramat HaSharon,BnY,2,1,1,H,3,0
2011/12,2011,Ironi Nir Ramat HaSharon,BnS,0,1,-1,A,0,3
2011/12,2011,Ironi Nir Ramat HaSharon,ASH,1,1,0,D,1,1
2011/12,2011,Ironi Nir Ramat HaSharon,HAC,1,1,0,D,1,1
2011/12,2011,Ironi Nir Ramat HaSharon,HBS,3,3,0,D,1,1
2011/12,2011,Ironi Nir Ramat HaSharon,HHA,2,0,2,H,3,0
2011/12,2011,Ironi Nir Ramat HaSharon,HPT,0,0,0,D,1,1
2011/12,2011,Ironi Nir Ramat HaSharon,HRL,1,2,-1,A,0,3
2011/12,2011,Ironi Nir Ramat HaSharon,HTA,1,1,0,D,1,1
2011/12,2011,Ironi Nir Ramat HaSharon,IKS,0,1,-1,A,0,3
2011/12,2011,Ironi Nir Ramat HaSharon,MHA,0,0,0,D,1,1
2011/12,2011,Ironi Nir Ramat HaSharon,MNE,0,1,-1,A,0,3
2011/12,2011,Ironi Nir Ramat HaSharon,MPT,0,1,-1,A,0,3
2011/12,2011,Ironi Nir Ramat HaSharon,MTA,3,1,2,H,3,0
2011/12,2011,Maccabi Haifa,BEI,1,0,1,H,3,0
2011/12,2011,Maccabi Haifa,BnY,1,1,0,D,1,1
2011/12,2011,Maccabi Haifa,BnS,0,0,0,D,1,1
2011/12,2011,Maccabi Haifa,ASH,1,1,0,D,1,1
2011/12,2011,Maccabi Haifa,HAC,1,0,1,H,3,0
2011/12,2011,Maccabi Haifa,HBS,3,1,2,H,3,0
2011/12,2011,Maccabi Haifa,HHA,1,3,-2,A,0,3
2011/12,2011,Maccabi Haifa,HPT,2,2,0,D,1,1
2011/12,2011,Maccabi Haifa,HRL,3,1,2,H,3,0
