season,team,elimination_round,total_rounds,rounds_before_end,note
2006/07,H. Petah Tikva,29.0,33.0,4.0,Legacy single-table season: relegation playoff N/A (33 rounds ISR1 TM regular)
2006/07,Hakoah Amidar,32.0,33.0,1.0,Legacy single-table season: relegation playoff N/A (33 rounds ISR1 TM regular)
2007/08,H. Kfar Saba,33.0,33.0,0.0,Legacy single-table season: relegation playoff N/A (33 rounds ISR1 TM regular); Final round: relegation on tie-breaker (e.g. goal difference); equal (or non-strict) points vs survival line so no earlier points-only date
2007/08,Maccabi Herzlya,32.0,33.0,1.0,Legacy single-table season: relegation playoff N/A (33 rounds ISR1 TM regular)
2008/09,Hakoah Amidar,32.0,33.0,1.0,Legacy single-table season: relegation playoff N/A (33 rounds ISR1 TM regular)
2008/09,Kiryat Shmona,33.0,33.0,0.0,Legacy single-table season: relegation playoff N/A (33 rounds ISR1 TM regular)
2009/10,Hapoel Raanana,35.0,35.0,0.0,
2009/10,M. Ahi Nazareth,35.0,35.0,0.0,
2010/11,H. Ashkelon,35.0,35.0,0.0,
2010/11,H. Ramat Gan,32.0,35.0,3.0,
2011/12,H Rishon leZion,35.0,37.0,2.0,
2011/12,H. Petah Tikva,34.0,37.0,3.0,
2012/13,H. Ramat Gan,32.0,33.0,1.0,
2012/13,Maccabi Netanya,33.0,33.0,0.0,
2013/14,Bnei Yehuda,33.0,33.0,0.0,
2013/14,Ramat haSharon,33.0,33.0,0.0,Final round: relegation on tie-breaker (e.g. goal difference); equal (or non-strict) points vs survival line so no earlier points-only date
2014/15,FC Ashdod,33.0,33.0,0.0,
2014/15,H. Petah Tikva,32.0,33.0,1.0,
2015/16,Hapoel Acre,33.0,33.0,0.0,Final round: relegation on tie-breaker (e.g. goal difference); equal (or non-strict) points vs survival line so no earlier points-only date
2015/16,Maccabi Netanya,28.0,33.0,5.0,
2016/17,H. Kfar Saba,33.0,33.0,0.0,
2016/17,Hapoel Tel Aviv,33.0,33.0,0.0,
2017/18,H. Ashkelon,31.0,33.0,2.0,
2017/18,Hapoel Acre,31.0,33.0,2.0,
2018/19,Bnei Sakhnin,32.0,33.0,1.0,
2018/19,M. Petah Tikva,33.0,33.0,0.0,
2019/20,Hapoel Raanana,30.0,33.0,3.0,
2019/20,Ness Ziona,33.0,33.0,0.0,Final round: relegation on tie-breaker (e.g. goal difference); equal (or non-strict) points vs survival line so no earlier points-only date
2020/21,Bnei Yehuda,31.0,33.0,2.0,
2020/21,H. Kfar Saba,30.0,33.0,3.0,
2021/22,H. Nof HaGalil,32.0,33.0,1.0,
2021/22,M. Petah Tikva,32.0,33.0,1.0,
2022/23,Kiryat Shmona,32.0,33.0,1.0,
2022/23,Ness Ziona,31.0,33.0,2.0,
2023/24,H. Petah Tikva,31.0,33.0,2.0,
2023/24,Hapoel Tel Aviv,32.0,33.0,1.0,
