Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2018/19,25/08/18,1,FC Ashdod,Bnei Yehuda Tel Aviv,1150
2018/19,25/08/18,1,Hapoel Hadera,Hapoel Tel Aviv,5250
2018/19,25/08/18,1,Hapoel Haifa,Maccabi Netanya,5000
2018/19,25/08/18,1,Ironi Kiryat Shmona,Hapoel Beer Sheva,2100
2018/19,26/08/18,1,Ihud Bnei Sakhnin,Hapoel Raanana,1510
2018/19,26/08/18,1,Maccabi Tel Aviv,Maccabi Haifa,12359
2018/19,27/08/18,1,Maccabi Petah Tikva,Beitar Jerusalem,9500
2018/19,01/09/18,2,Hapoel Raanana,Ironi Kiryat Shmona,400
2018/19,01/09/18,2,Hapoel Tel Aviv,Hapoel Haifa,6500
2018/19,01/09/18,2,Maccabi Haifa,FC Ashdod,13174
2018/19,01/09/18,2,Maccabi Netanya,Ihud Bnei Sakhnin,3900
2018/19,02/09/18,2,Bnei Yehuda Tel Aviv,Maccabi Petah Tikva,1200
2018/19,02/09/18,2,Hapoel Beer Sheva,Maccabi Tel Aviv,15231
2018/19,03/09/18,2,Beitar Jerusalem,Hapoel Hadera,10000
2018/19,15/09/18,3,FC Ashdod,Hapoel Beer Sheva,4300
2018/19,15/09/18,3,Ihud Bnei Sakhnin,Hapoel Tel Aviv,4000
2018/19,15/09/18,3,Maccabi Petah Tikva,Hapoel Hadera,1700
2018/19,15/09/18,3,Maccabi Tel Aviv,Hapoel Raanana,10724
2018/19,16/09/18,3,Bnei Yehuda Tel Aviv,Maccabi Haifa,6070
2018/19,16/09/18,3,Ironi Kiryat Shmona,Maccabi Netanya,700
2018/19,17/09/18,3,Hapoel Haifa,Beitar Jerusalem,8730
2018/19,22/09/18,4,Hapoel Raanana,FC Ashdod,331
2018/19,22/09/18,4,Hapoel Tel Aviv,Ironi Kiryat Shmona,6059
2018/19,22/09/18,4,Maccabi Haifa,Maccabi Petah Tikva,14330
2018/19,22/09/18,4,Maccabi Netanya,Maccabi Tel Aviv,7700
2018/19,24/09/18,4,Beitar Jerusalem,Ihud Bnei Sakhnin,20000
2018/19,24/09/18,4,Hapoel Beer Sheva,Bnei Yehuda Tel Aviv,14969
2018/19,24/09/18,4,Hapoel Hadera,Hapoel Haifa,3000
2018/19,01/10/18,5,Bnei Yehuda Tel Aviv,Hapoel Raanana,980
2018/19,01/10/18,5,Maccabi Haifa,Hapoel Beer Sheva,19431
2018/19,01/10/18,5,Maccabi Tel Aviv,Hapoel Tel Aviv,12234
2018/19,29/09/18,5,FC Ashdod,Maccabi Netanya,1900
2018/19,29/09/18,5,Ihud Bnei Sakhnin,Hapoel Hadera,2400
2018/19,29/09/18,5,Ironi Kiryat Shmona,Beitar Jerusalem,4400
2018/19,29/09/18,5,Maccabi Petah Tikva,Hapoel Haifa,1800
2018/19,06/10/18,6,Hapoel Beer Sheva,Maccabi Petah Tikva,12673
2018/19,06/10/18,6,Hapoel Haifa,Ihud Bnei Sakhnin,3700
2018/19,06/10/18,6,Hapoel Raanana,Maccabi Haifa,4000
2018/19,06/10/18,6,Maccabi Netanya,Bnei Yehuda Tel Aviv,5400
2018/19,07/10/18,6,Beitar Jerusalem,Maccabi Tel Aviv,18500
2018/19,07/10/18,6,Hapoel Hadera,Ironi Kiryat Shmona,2200
2018/19,08/10/18,6,Hapoel Tel Aviv,FC Ashdod,5700
2018/19,20/10/18,7,Bnei Yehuda Tel Aviv,Hapoel Tel Aviv,5000
2018/19,20/10/18,7,Hapoel Beer Sheva,Hapoel Raanana,12769
2018/19,20/10/18,7,Ironi Kiryat Shmona,Hapoel Haifa,1000
2018/19,20/10/18,7,Maccabi Tel Aviv,Hapoel Hadera,12123
2018/19,21/10/18,7,FC Ashdod,Beitar Jerusalem,5060
2018/19,21/10/18,7,Maccabi Petah Tikva,Ihud Bnei Sakhnin,1000
2018/19,22/10/18,7,Maccabi Haifa,Maccabi Netanya,13916
2018/19,27/10/18,8,Beitar Jerusalem,Bnei Yehuda Tel Aviv,9500
2018/19,27/10/18,8,Hapoel Raanana,Maccabi Petah Tikva,450
