Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2016/17,18/03/17,1,Championship Round,Maccabi Tel Aviv,Ihud Bnei Sakhnin,3:0,3,0,10500,https://www.transfermarkt.com/maccabi-tel-aviv_ihud-bnei-sakhnin/index/spielbericht/2839954
2016/17,18/03/17,1,Championship Round,Maccabi Petah Tikva,Beitar Jerusalem,0:1,0,1,4200,https://www.transfermarkt.com/maccabi-petah-tikva_beitar-jerusalem/index/spielbericht/2839955
2016/17,19/03/17,1,Championship Round,Hapoel Beer Sheva,Maccabi Haifa,4:0,4,0,14775,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/2839956
2016/17,01/04/17,2,Championship Round,Maccabi Haifa,Beitar Jerusalem,3:2,3,2,20000,https://www.transfermarkt.com/maccabi-haifa_beitar-jerusalem/index/spielbericht/2839957
2016/17,01/04/17,2,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,1:0,1,0,15500,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/2839959
2016/17,02/04/17,2,Championship Round,Ihud Bnei Sakhnin,Maccabi Petah Tikva,1:0,1,0,300,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-petah-tikva/index/spielbericht/2839958
2016/17,08/04/17,3,Championship Round,Beitar Jerusalem,Ihud Bnei Sakhnin,3:0,3,0,5000,https://www.transfermarkt.com/beitar-jerusalem_ihud-bnei-sakhnin/index/spielbericht/2839960
2016/17,09/04/17,3,Championship Round,Maccabi Petah Tikva,Hapoel Beer Sheva,1:2,1,2,9500,https://www.transfermarkt.com/maccabi-petah-tikva_hapoel-beer-sheva/index/spielbericht/2839962
2016/17,09/04/17,3,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,3:0,3,0,11769,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/2839961
2016/17,15/04/17,4,Championship Round,Maccabi Haifa,Ihud Bnei Sakhnin,0:1,0,1,14973,https://www.transfermarkt.com/maccabi-haifa_ihud-bnei-sakhnin/index/spielbericht/2839963
2016/17,15/04/17,4,Championship Round,Maccabi Tel Aviv,Maccabi Petah Tikva,2:0,2,0,10275,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-petah-tikva/index/spielbericht/2839965
2016/17,17/04/17,4,Championship Round,Hapoel Beer Sheva,Beitar Jerusalem,2:0,2,0,14750,https://www.transfermarkt.com/hapoel-beer-sheva_beitar-jerusalem/index/spielbericht/2839964
2016/17,22/04/17,5,Championship Round,Maccabi Petah Tikva,Maccabi Haifa,0:1,0,1,3000,https://www.transfermarkt.com/maccabi-petah-tikva_maccabi-haifa/index/spielbericht/2839966
2016/17,22/04/17,5,Championship Round,Ihud Bnei Sakhnin,Hapoel Beer Sheva,1:3,1,3,4000,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-beer-sheva/index/spielbericht/2839968
2016/17,22/04/17,5,Championship Round,Beitar Jerusalem,Maccabi Tel Aviv,1:1,1,1,7000,https://www.transfermarkt.com/beitar-jerusalem_maccabi-tel-aviv/index/spielbericht/2839967
2016/17,25/04/17,6,Championship Round,Ihud Bnei Sakhnin,Maccabi Tel Aviv,1:3,1,3,1700,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-tel-aviv/index/spielbericht/2839970
2016/17,25/04/17,6,Championship Round,Maccabi Haifa,Hapoel Beer Sheva,0:1,0,1,19723,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/2839969
2016/17,26/04/17,6,Championship Round,Beitar Jerusalem,Maccabi Petah Tikva,2:1,2,1,6500,https://www.transfermarkt.com/beitar-jerusalem_maccabi-petah-tikva/index/spielbericht/2839971
2016/17,29/04/17,7,Championship Round,Maccabi Petah Tikva,Ihud Bnei Sakhnin,1:0,1,0,2000,https://www.transfermarkt.com/maccabi-petah-tikva_ihud-bnei-sakhnin/index/spielbericht/2839972
2016/17,29/04/17,7,Championship Round,Beitar Jerusalem,Maccabi Haifa,2:0,2,0,6500,https://www.transfermarkt.com/beitar-jerusalem_maccabi-haifa/index/spielbericht/2839974
2016/17,29/04/17,7,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,1:2,1,2,12206,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/2839973
2016/17,06/05/17,8,Championship Round,Ihud Bnei Sakhnin,Beitar Jerusalem,1:5,1,5,700,https://www.transfermarkt.com/ihud-bnei-sakhnin_beitar-jerusalem/index/spielbericht/2839976
2016/17,07/05/17,8,Championship Round,Maccabi Haifa,Maccabi Tel Aviv,0:2,0,2,12000,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/2839975
2016/17,08/05/17,8,Championship Round,Hapoel Beer Sheva,Maccabi Petah Tikva,1:1,1,1,15125,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-petah-tikva/index/spielbericht/2839977
