Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2015/16,12/03/16,1,Championship Round,Maccabi Tel Aviv,Ihud Bnei Sakhnin,1:0,1,0,11760,https://www.transfermarkt.com/maccabi-tel-aviv_ihud-bnei-sakhnin/index/spielbericht/2671627
2015/16,12/03/16,1,Championship Round,Hapoel Beer Sheva,Hapoel Raanana,0:0,0,0,15000,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-raanana/index/spielbericht/2671626
2015/16,14/03/16,1,Championship Round,Beitar Jerusalem,Maccabi Haifa,3:2,3,2,18000,https://www.transfermarkt.com/beitar-jerusalem_maccabi-haifa/index/spielbericht/2671628
2015/16,19/03/16,2,Championship Round,Ihud Bnei Sakhnin,Beitar Jerusalem,2:0,2,0,7500,https://www.transfermarkt.com/ihud-bnei-sakhnin_beitar-jerusalem/index/spielbericht/2671630
2015/16,20/03/16,2,Championship Round,Hapoel Raanana,Maccabi Haifa,3:0,3,0,2500,https://www.transfermarkt.com/hapoel-raanana_maccabi-haifa/index/spielbericht/2671629
2015/16,20/03/16,2,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,1:1,1,1,15500,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/2671631
2015/16,02/04/16,3,Championship Round,Maccabi Haifa,Ihud Bnei Sakhnin,3:3,3,3,17900,https://www.transfermarkt.com/maccabi-haifa_ihud-bnei-sakhnin/index/spielbericht/2671634
2015/16,03/04/16,3,Championship Round,Maccabi Tel Aviv,Hapoel Raanana,3:0,3,0,11982,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-raanana/index/spielbericht/2671632
2015/16,04/04/16,3,Championship Round,Beitar Jerusalem,Hapoel Beer Sheva,0:2,0,2,14000,https://www.transfermarkt.com/beitar-jerusalem_hapoel-beer-sheva/index/spielbericht/2671633
2015/16,09/04/16,4,Championship Round,Hapoel Raanana,Ihud Bnei Sakhnin,2:3,2,3,2900,https://www.transfermarkt.com/hapoel-raanana_ihud-bnei-sakhnin/index/spielbericht/2671635
2015/16,09/04/16,4,Championship Round,Hapoel Beer Sheva,Maccabi Haifa,1:1,1,1,16126,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/2671636
2015/16,11/04/16,4,Championship Round,Maccabi Tel Aviv,Beitar Jerusalem,3:2,3,2,13854,https://www.transfermarkt.com/maccabi-tel-aviv_beitar-jerusalem/index/spielbericht/2671637
2015/16,16/04/16,5,Championship Round,Ihud Bnei Sakhnin,Hapoel Beer Sheva,1:4,1,4,4400,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-beer-sheva/index/spielbericht/2671640
2015/16,17/04/16,5,Championship Round,Maccabi Haifa,Maccabi Tel Aviv,0:0,0,0,21870,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/2671639
2015/16,18/04/16,5,Championship Round,Beitar Jerusalem,Hapoel Raanana,1:0,1,0,13200,https://www.transfermarkt.com/beitar-jerusalem_hapoel-raanana/index/spielbericht/2671638
2015/16,24/04/16,6,Championship Round,Maccabi Haifa,Beitar Jerusalem,1:0,1,0,16900,https://www.transfermarkt.com/maccabi-haifa_beitar-jerusalem/index/spielbericht/2671643
2015/16,25/04/16,6,Championship Round,Hapoel Raanana,Hapoel Beer Sheva,1:4,1,4,5500,https://www.transfermarkt.com/hapoel-raanana_hapoel-beer-sheva/index/spielbericht/2671641
2015/16,25/04/16,6,Championship Round,Ihud Bnei Sakhnin,Maccabi Tel Aviv,0:0,0,0,7200,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-tel-aviv/index/spielbericht/2671642
2015/16,30/04/16,7,Championship Round,Maccabi Haifa,Hapoel Raanana,2:0,2,0,13600,https://www.transfermarkt.com/maccabi-haifa_hapoel-raanana/index/spielbericht/2671644
2015/16,01/05/16,7,Championship Round,Beitar Jerusalem,Ihud Bnei Sakhnin,0:3,0,3,11200,https://www.transfermarkt.com/beitar-jerusalem_ihud-bnei-sakhnin/index/spielbericht/2671645
2015/16,02/05/16,7,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,0:0,0,0,11124,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/2671646
2015/16,07/05/16,8,Championship Round,Ihud Bnei Sakhnin,Maccabi Haifa,0:1,0,1,4100,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-haifa/index/spielbericht/2671649
2015/16,09/05/16,8,Championship Round,Hapoel Raanana,Maccabi Tel Aviv,1:1,1,1,4600,https://www.transfermarkt.com/hapoel-raanana_maccabi-tel-aviv/index/spielbericht/2671647
2015/16,09/05/16,8,Championship Round,Hapoel Beer Sheva,Beitar Jerusalem,2:0,2,0,15000,https://www.transfermarkt.com/hapoel-beer-sheva_beitar-jerusalem/index/spielbericht/2671648
2015/16,14/05/16,9,Championship Round,Ihud Bnei Sakhnin,Hapoel Raanana,1:1,1,1,1900,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-raanana/index/spielbericht/2671650
2015/16,14/05/16,9,Championship Round,Maccabi Haifa,Hapoel Beer Sheva,2:1,2,1,22700,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/2671651
2015/16,14/05/16,9,Championship Round,Beitar Jerusalem,Maccabi Tel Aviv,0:2,0,2,18400,https://www.transfermarkt.com/beitar-jerusalem_maccabi-tel-aviv/index/spielbericht/2671652
2015/16,21/05/16,10,Championship Round,Hapoel Raanana,Beitar Jerusalem,1:2,1,2,4400,https://www.transfermarkt.com/hapoel-raanana_beitar-jerusalem/index/spielbericht/2671653
2015/16,21/05/16,10,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,6:0,6,0,13181,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/2671654
2015/16,21/05/16,10,Championship Round,Hapoel Beer Sheva,Ihud Bnei Sakhnin,3:1,3,1,16126,https://www.transfermarkt.com/hapoel-beer-sheva_ihud-bnei-sakhnin/index/spielbericht/2671655
2015/16,19/03/16,1,Relegation Round,Maccabi Petah Tikva,Hapoel Haifa,2:1,2,1,3200,https://www.transfermarkt.com/maccabi-petah-tikva_hapoel-haifa/index/spielbericht/2671594
2015/16,19/03/16,1,Relegation Round,Bnei Yehuda Tel Aviv,Ironi Kiryat Shmona,1:0,1,0,2000,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_ironi-kiryat-shmona/index/spielbericht/2671593
2015/16,19/03/16,1,Relegation Round,Hapoel Kfar Saba,Hapoel Tel Aviv,0:3,0,3,3800,https://www.transfermarkt.com/hapoel-kfar-saba_hapoel-tel-aviv/index/spielbericht/2671595
2015/16,20/03/16,1,Relegation Round,Hapoel Acre,Maccabi Netanya,4:1,4,1,1000,https://www.transfermarkt.com/hapoel-acre_maccabi-netanya/index/spielbericht/2671596
2015/16,02/04/16,2,Relegation Round,Bnei Yehuda Tel Aviv,Maccabi Petah Tikva,1:2,1,2,1900,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-petah-tikva/index/spielbericht/2671600
2015/16,02/04/16,2,Relegation Round,Ironi Kiryat Shmona,Maccabi Netanya,2:0,2,0,2200,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-netanya/index/spielbericht/2671597
2015/16,02/04/16,2,Relegation Round,Hapoel Tel Aviv,Hapoel Acre,1:0,1,0,5900,https://www.transfermarkt.com/hapoel-tel-aviv_hapoel-acre/index/spielbericht/2671598
2015/16,03/04/16,2,Relegation Round,Hapoel Haifa,Hapoel Kfar Saba,0:0,0,0,5100,https://www.transfermarkt.com/hapoel-haifa_hapoel-kfar-saba/index/spielbericht/2671599
