Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2011/12,24/03/12,1,Championship Round,FC Ashdod,Maccabi Netanya,0:2,0,2,2000,https://www.transfermarkt.com/fc-ashdod_maccabi-netanya/index/spielbericht/2193290
2011/12,24/03/12,1,Championship Round,Ihud Bnei Sakhnin,Maccabi Haifa,0:2,0,2,3000,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-haifa/index/spielbericht/2193289
2011/12,24/03/12,1,Championship Round,Hapoel Tel Aviv,Maccabi Tel Aviv,0:0,0,0,0,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-tel-aviv/index/spielbericht/2193291
2011/12,26/03/12,1,Championship Round,Ironi Kiryat Shmona,Bnei Yehuda Tel Aviv,0:1,0,1,5000,https://www.transfermarkt.com/ironi-kiryat-shmona_bnei-yehuda-tel-aviv/index/spielbericht/2193292
2011/12,31/03/12,2,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Netanya,1:0,1,0,3000,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-netanya/index/spielbericht/2193296
2011/12,31/03/12,2,Championship Round,Maccabi Tel Aviv,Ihud Bnei Sakhnin,5:2,5,2,5000,https://www.transfermarkt.com/maccabi-tel-aviv_ihud-bnei-sakhnin/index/spielbericht/2193294
2011/12,02/04/12,2,Championship Round,Maccabi Haifa,FC Ashdod,3:0,3,0,6500,https://www.transfermarkt.com/maccabi-haifa_fc-ashdod/index/spielbericht/2193295
2011/12,02/04/12,2,Championship Round,Ironi Kiryat Shmona,Hapoel Tel Aviv,0:0,0,0,5000,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-tel-aviv/index/spielbericht/2193293
2011/12,14/04/12,3,Championship Round,FC Ashdod,Maccabi Tel Aviv,1:1,1,1,2000,https://www.transfermarkt.com/fc-ashdod_maccabi-tel-aviv/index/spielbericht/2193299
2011/12,14/04/12,3,Championship Round,Ihud Bnei Sakhnin,Ironi Kiryat Shmona,5:0,5,0,1500,https://www.transfermarkt.com/ihud-bnei-sakhnin_ironi-kiryat-shmona/index/spielbericht/2193298
2011/12,14/04/12,3,Championship Round,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv,3:3,3,3,0,https://www.transfermarkt.com/hapoel-tel-aviv_bnei-yehuda-tel-aviv/index/spielbericht/2193297
2011/12,14/04/12,3,Championship Round,Maccabi Netanya,Maccabi Haifa,1:0,1,0,3000,https://www.transfermarkt.com/maccabi-netanya_maccabi-haifa/index/spielbericht/2193300
2011/12,28/04/12,4,Championship Round,Hapoel Tel Aviv,Ihud Bnei Sakhnin,3:1,3,1,7500,https://www.transfermarkt.com/hapoel-tel-aviv_ihud-bnei-sakhnin/index/spielbericht/2207724
2011/12,28/04/12,4,Championship Round,Ironi Kiryat Shmona,FC Ashdod,1:0,1,0,500,https://www.transfermarkt.com/ironi-kiryat-shmona_fc-ashdod/index/spielbericht/2207725
2011/12,28/04/12,4,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Haifa,2:1,2,1,2500,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-haifa/index/spielbericht/2207723
2011/12,30/04/12,4,Championship Round,Maccabi Tel Aviv,Maccabi Netanya,1:0,1,0,5500,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-netanya/index/spielbericht/2207726
2011/12,05/05/12,5,Championship Round,Maccabi Netanya,Ironi Kiryat Shmona,1:3,1,3,1000,https://www.transfermarkt.com/maccabi-netanya_ironi-kiryat-shmona/index/spielbericht/2193307
2011/12,05/05/12,5,Championship Round,FC Ashdod,Hapoel Tel Aviv,0:2,0,2,2000,https://www.transfermarkt.com/fc-ashdod_hapoel-tel-aviv/index/spielbericht/2193306
2011/12,05/05/12,5,Championship Round,Ihud Bnei Sakhnin,Bnei Yehuda Tel Aviv,0:3,0,3,1000,https://www.transfermarkt.com/ihud-bnei-sakhnin_bnei-yehuda-tel-aviv/index/spielbericht/2193305
2011/12,06/05/12,5,Championship Round,Maccabi Haifa,Maccabi Tel Aviv,2:1,2,1,10000,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/2193308
2011/12,08/05/12,6,Championship Round,Ihud Bnei Sakhnin,FC Ashdod,1:2,1,2,1000,https://www.transfermarkt.com/ihud-bnei-sakhnin_fc-ashdod/index/spielbericht/2193309
2011/12,08/05/12,6,Championship Round,Hapoel Tel Aviv,Maccabi Netanya,1:3,1,3,4000,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-netanya/index/spielbericht/2193310
2011/12,09/05/12,6,Championship Round,Ironi Kiryat Shmona,Maccabi Haifa,0:1,0,1,1500,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-haifa/index/spielbericht/2193311
2011/12,09/05/12,6,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Tel Aviv,4:3,4,3,4000,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-tel-aviv/index/spielbericht/2193312
2011/12,12/05/12,7,Championship Round,FC Ashdod,Bnei Yehuda Tel Aviv,2:1,2,1,2500,https://www.transfermarkt.com/fc-ashdod_bnei-yehuda-tel-aviv/index/spielbericht/2193313
2011/12,12/05/12,7,Championship Round,Maccabi Netanya,Ihud Bnei Sakhnin,3:2,3,2,6500,https://www.transfermarkt.com/maccabi-netanya_ihud-bnei-sakhnin/index/spielbericht/2193314
2011/12,12/05/12,7,Championship Round,Maccabi Haifa,Hapoel Tel Aviv,1:1,1,1,10000,https://www.transfermarkt.com/maccabi-haifa_hapoel-tel-aviv/index/spielbericht/2193315
2011/12,12/05/12,7,Championship Round,Maccabi Tel Aviv,Ironi Kiryat Shmona,3:2,3,2,3500,https://www.transfermarkt.com/maccabi-tel-aviv_ironi-kiryat-shmona/index/spielbericht/2193316
2011/12,24/03/12,1,Relegation Round,Hapoel Haifa,Hapoel Beer Sheva,2:1,2,1,3500,https://www.transfermarkt.com/hapoel-haifa_hapoel-beer-sheva/index/spielbericht/2193319
