Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2019/20,30/05/20,1,Championship Round,Maccabi Tel Aviv,Hapoel Haifa,2:0,2,0,0,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-haifa/index/spielbericht/3328982
2019/20,30/05/20,1,Championship Round,Beitar Jerusalem,Hapoel Beer Sheva,1:1,1,1,0,https://www.transfermarkt.com/beitar-jerusalem_hapoel-beer-sheva/index/spielbericht/3328984
2019/20,30/05/20,1,Championship Round,Maccabi Haifa,Hapoel Tel Aviv,1:2,1,2,0,https://www.transfermarkt.com/maccabi-haifa_hapoel-tel-aviv/index/spielbericht/3328983
2019/20,02/06/20,2,Championship Round,Hapoel Tel Aviv,Beitar Jerusalem,3:0,3,0,0,https://www.transfermarkt.com/hapoel-tel-aviv_beitar-jerusalem/index/spielbericht/3328986
2019/20,03/06/20,2,Championship Round,Hapoel Haifa,Hapoel Beer Sheva,1:1,1,1,0,https://www.transfermarkt.com/hapoel-haifa_hapoel-beer-sheva/index/spielbericht/3328985
2019/20,03/06/20,2,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,2:0,2,0,0,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/3328987
2019/20,06/06/20,3,Championship Round,Hapoel Beer Sheva,Hapoel Tel Aviv,0:0,0,0,0,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-tel-aviv/index/spielbericht/3328990
2019/20,07/06/20,3,Championship Round,Maccabi Haifa,Hapoel Haifa,2:2,2,2,0,https://www.transfermarkt.com/maccabi-haifa_hapoel-haifa/index/spielbericht/3328988
2019/20,08/06/20,3,Championship Round,Beitar Jerusalem,Maccabi Tel Aviv,0:0,0,0,0,https://www.transfermarkt.com/beitar-jerusalem_maccabi-tel-aviv/index/spielbericht/3328989
2019/20,13/06/20,4,Championship Round,Maccabi Haifa,Beitar Jerusalem,0:0,0,0,0,https://www.transfermarkt.com/maccabi-haifa_beitar-jerusalem/index/spielbericht/3328993
2019/20,14/06/20,4,Championship Round,Hapoel Haifa,Hapoel Tel Aviv,4:0,4,0,0,https://www.transfermarkt.com/hapoel-haifa_hapoel-tel-aviv/index/spielbericht/3328991
2019/20,15/06/20,4,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,1:1,1,1,0,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/3328992
2019/20,17/06/20,5,Championship Round,Beitar Jerusalem,Hapoel Haifa,1:1,1,1,0,https://www.transfermarkt.com/beitar-jerusalem_hapoel-haifa/index/spielbericht/3328994
2019/20,20/06/20,5,Championship Round,Hapoel Beer Sheva,Maccabi Haifa,0:1,0,1,0,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/3328995
2019/20,20/06/20,5,Championship Round,Hapoel Tel Aviv,Maccabi Tel Aviv,0:2,0,2,0,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-tel-aviv/index/spielbericht/3328996
2019/20,23/06/20,6,Championship Round,Hapoel Beer Sheva,Beitar Jerusalem,2:2,2,2,0,https://www.transfermarkt.com/hapoel-beer-sheva_beitar-jerusalem/index/spielbericht/3328999
2019/20,23/06/20,6,Championship Round,Hapoel Haifa,Maccabi Tel Aviv,0:3,0,3,0,https://www.transfermarkt.com/hapoel-haifa_maccabi-tel-aviv/index/spielbericht/3328997
2019/20,23/06/20,6,Championship Round,Hapoel Tel Aviv,Maccabi Haifa,1:3,1,3,0,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-haifa/index/spielbericht/3328998
2019/20,27/06/20,7,Championship Round,Maccabi Haifa,Hapoel Beer Sheva,2:1,2,1,0,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/3329001
2019/20,27/06/20,7,Championship Round,Maccabi Tel Aviv,Hapoel Tel Aviv,3:0,3,0,0,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-tel-aviv/index/spielbericht/3329002
2019/20,28/06/20,7,Championship Round,Hapoel Haifa,Beitar Jerusalem,0:0,0,0,0,https://www.transfermarkt.com/hapoel-haifa_beitar-jerusalem/index/spielbericht/3329000
2019/20,30/06/20,8,Championship Round,Hapoel Tel Aviv,Hapoel Beer Sheva,1:0,1,0,0,https://www.transfermarkt.com/hapoel-tel-aviv_hapoel-beer-sheva/index/spielbericht/3329005
2019/20,01/07/20,8,Championship Round,Hapoel Haifa,Maccabi Haifa,1:4,1,4,0,https://www.transfermarkt.com/hapoel-haifa_maccabi-haifa/index/spielbericht/3329003
2019/20,01/07/20,8,Championship Round,Maccabi Tel Aviv,Beitar Jerusalem,1:0,1,0,0,https://www.transfermarkt.com/maccabi-tel-aviv_beitar-jerusalem/index/spielbericht/3329004
