Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2016/17,20/08/16,1,Bnei Yehuda Tel Aviv,Ihud Bnei Sakhnin,2500
2016/17,20/08/16,1,Hapoel Ashkelon,Hapoel Haifa,2500
2016/17,20/08/16,1,Hapoel Beer Sheva,Hapoel Raanana,12600
2016/17,20/08/16,1,Ironi Kiryat Shmona,FC Ashdod,500
2016/17,21/08/16,1,Maccabi Petah Tikva,Beitar Jerusalem,7000
2016/17,21/08/16,1,Maccabi Tel Aviv,Hapoel Kfar Saba,6400
2016/17,22/08/16,1,Maccabi Haifa,Hapoel Tel Aviv,27800
2016/17,27/08/16,2,Hapoel Haifa,Bnei Yehuda Tel Aviv,2300
2016/17,27/08/16,2,Hapoel Raanana,Maccabi Petah Tikva,700
2016/17,27/08/16,2,Hapoel Tel Aviv,Hapoel Beer Sheva,10500
2016/17,27/08/16,2,Ihud Bnei Sakhnin,Maccabi Haifa,5000
2016/17,28/08/16,2,Beitar Jerusalem,Ironi Kiryat Shmona,6000
2016/17,28/08/16,2,FC Ashdod,Maccabi Tel Aviv,3500
2016/17,29/08/16,2,Hapoel Kfar Saba,Hapoel Ashkelon,1700
2016/17,10/09/16,3,Bnei Yehuda Tel Aviv,Maccabi Haifa,7000
2016/17,10/09/16,3,Hapoel Beer Sheva,Ihud Bnei Sakhnin,13000
2016/17,10/09/16,3,Hapoel Haifa,Hapoel Kfar Saba,2500
2016/17,10/09/16,3,Ironi Kiryat Shmona,Hapoel Raanana,600
2016/17,11/09/16,3,Hapoel Ashkelon,FC Ashdod,2500
2016/17,11/09/16,3,Maccabi Tel Aviv,Beitar Jerusalem,12650
2016/17,12/09/16,3,Maccabi Petah Tikva,Hapoel Tel Aviv,3000
2016/17,17/09/16,4,Beitar Jerusalem,Hapoel Ashkelon,6000
2016/17,17/09/16,4,FC Ashdod,Hapoel Haifa,1200
2016/17,17/09/16,4,Hapoel Kfar Saba,Bnei Yehuda Tel Aviv,1700
2016/17,17/09/16,4,Hapoel Tel Aviv,Ironi Kiryat Shmona,7000
2016/17,18/09/16,4,Hapoel Raanana,Maccabi Tel Aviv,3000
2016/17,18/09/16,4,Ihud Bnei Sakhnin,Maccabi Petah Tikva,2000
2016/17,19/09/16,4,Maccabi Haifa,Hapoel Beer Sheva,25630
2016/17,24/09/16,5,Hapoel Ashkelon,Hapoel Raanana,1600
2016/17,24/09/16,5,Hapoel Haifa,Beitar Jerusalem,6000
2016/17,24/09/16,5,Hapoel Kfar Saba,FC Ashdod,1520
2016/17,24/09/16,5,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,1190
2016/17,25/09/16,5,Bnei Yehuda Tel Aviv,Hapoel Beer Sheva,3700
2016/17,25/09/16,5,Maccabi Tel Aviv,Hapoel Tel Aviv,12225
2016/17,26/09/16,5,Maccabi Petah Tikva,Maccabi Haifa,8000
2016/17,01/10/16,6,Beitar Jerusalem,Hapoel Kfar Saba,6000
2016/17,01/10/16,6,FC Ashdod,Bnei Yehuda Tel Aviv,1500
2016/17,01/10/16,6,Hapoel Raanana,Hapoel Haifa,1500
2016/17,01/10/16,6,Hapoel Tel Aviv,Hapoel Ashkelon,7000
2016/17,01/10/16,6,Maccabi Haifa,Ironi Kiryat Shmona,25500
2016/17,15/10/16,6,Hapoel Beer Sheva,Maccabi Petah Tikva,15530
2016/17,21/09/16,6,Ihud Bnei Sakhnin,Maccabi Tel Aviv,2800
2016/17,22/10/16,7,Bnei Yehuda Tel Aviv,Maccabi Petah Tikva,1200
2016/17,22/10/16,7,FC Ashdod,Beitar Jerusalem,4500
2016/17,22/10/16,7,Hapoel Ashkelon,Ihud Bnei Sakhnin,1600
2016/17,22/10/16,7,Hapoel Haifa,Hapoel Tel Aviv,5000
2016/17,22/10/16,7,Hapoel Kfar Saba,Hapoel Raanana,2000
2016/17,24/10/16,7,Ironi Kiryat Shmona,Hapoel Beer Sheva,2500
2016/17,24/10/16,7,Maccabi Tel Aviv,Maccabi Haifa,12000
2016/17,29/10/16,8,Hapoel Raanana,FC Ashdod,600
2016/17,29/10/16,8,Hapoel Tel Aviv,Hapoel Kfar Saba,8000
2016/17,29/10/16,8,Ihud Bnei Sakhnin,Hapoel Haifa,2500
2016/17,29/10/16,8,Maccabi Haifa,Hapoel Ashkelon,21000
2016/17,30/10/16,8,Hapoel Beer Sheva,Maccabi Tel Aviv,15320
2016/17,30/10/16,8,Maccabi Petah Tikva,Ironi Kiryat Shmona,2000
2016/17,31/10/16,8,Beitar Jerusalem,Bnei Yehuda Tel Aviv,7000
2016/17,05/11/16,9,Beitar Jerusalem,Hapoel Raanana,5500
2016/17,05/11/16,9,Bnei Yehuda Tel Aviv,Ironi Kiryat Shmona,3000
2016/17,05/11/16,9,FC Ashdod,Hapoel Tel Aviv,3000
2016/17,05/11/16,9,Hapoel Haifa,Maccabi Haifa,25300
2016/17,06/11/16,9,Hapoel Ashkelon,Hapoel Beer Sheva,4500
2016/17,06/11/16,9,Maccabi Tel Aviv,Maccabi Petah Tikva,9000
2016/17,07/11/16,9,Hapoel Kfar Saba,Ihud Bnei Sakhnin,1700
2016/17,19/11/16,10,Hapoel Beer Sheva,Hapoel Haifa,15700
2016/17,19/11/16,10,Ihud Bnei Sakhnin,FC Ashdod,1200
2016/17,19/11/16,10,Maccabi Haifa,Hapoel Kfar Saba,23850
2016/17,19/11/16,10,Maccabi Petah Tikva,Hapoel Ashkelon,1200
2016/17,20/11/16,10,Hapoel Raanana,Bnei Yehuda Tel Aviv,500
2016/17,20/11/16,10,Ironi Kiryat Shmona,Maccabi Tel Aviv,3100
2016/17,21/11/16,10,Beitar Jerusalem,Hapoel Tel Aviv,24000
2016/17,26/11/16,11,FC Ashdod,Maccabi Haifa,5700
2016/17,26/11/16,11,Hapoel Haifa,Maccabi Petah Tikva,2100
2016/17,26/11/16,11,Hapoel Raanana,Hapoel Tel Aviv,2000
2016/17,26/11/16,11,Ironi Kiryat Shmona,Hapoel Ashkelon,1100
2016/17,27/11/16,11,Bnei Yehuda Tel Aviv,Maccabi Tel Aviv,4000
2016/17,27/11/16,11,Hapoel Kfar Saba,Hapoel Beer Sheva,4000
2016/17,28/11/16,11,Beitar Jerusalem,Ihud Bnei Sakhnin,8000
2016/17,03/12/16,12,Hapoel Beer Sheva,FC Ashdod,15100
2016/17,03/12/16,12,Ironi Kiryat Shmona,Hapoel Haifa,500
2016/17,03/12/16,12,Maccabi Petah Tikva,Hapoel Kfar Saba,900
2016/17,03/12/16,12,Maccabi Tel Aviv,Hapoel Ashkelon,6250
2016/17,04/12/16,12,Bnei Yehuda Tel Aviv,Hapoel Tel Aviv,3500
2016/17,04/12/16,12,Ihud Bnei Sakhnin,Hapoel Raanana,2000
2016/17,05/12/16,12,Maccabi Haifa,Beitar Jerusalem,0
2016/17,10/12/16,13,Hapoel Ashkelon,Bnei Yehuda Tel Aviv,1500
2016/17,10/12/16,13,Hapoel Kfar Saba,Ironi Kiryat Shmona,1700
2016/17,10/12/16,13,Hapoel Raanana,Maccabi Haifa,4500
2016/17,10/12/16,13,Hapoel Tel Aviv,Ihud Bnei Sakhnin,10000
2016/17,11/12/16,13,FC Ashdod,Maccabi Petah Tikva,1400
2016/17,11/12/16,13,Hapoel Haifa,Maccabi Tel Aviv,3600
2016/17,12/12/16,13,Beitar Jerusalem,Hapoel Beer Sheva,10000
2016/17,17/12/16,14,Beitar Jerusalem,Maccabi Petah Tikva,5000
2016/17,17/12/16,14,FC Ashdod,Ironi Kiryat Shmona,1100
