Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2007/08,18/08/07,1,Ironi Kiryat Shmona,Maccabi Herzliya,0
2007/08,18/08/07,1,Maccabi Haifa,Ihud Bnei Sakhnin,9000
2007/08,18/08/07,1,Maccabi Petah Tikva,Hapoel Kfar Saba,0
2007/08,19/08/07,1,Beitar Jerusalem,Bnei Yehuda Tel Aviv,13000
2007/08,20/08/07,1,Maccabi Netanya,Hapoel Tel Aviv,0
2007/08,20/08/07,1,Maccabi Tel Aviv,FC Ashdod,0
2007/08,25/08/07,2,FC Ashdod,Maccabi Haifa,5000
2007/08,25/08/07,2,Hapoel Kfar Saba,Bnei Yehuda Tel Aviv,2000
2007/08,25/08/07,2,Ihud Bnei Sakhnin,Ironi Kiryat Shmona,0
2007/08,25/08/07,2,Maccabi Herzliya,Maccabi Netanya,0
2007/08,25/08/07,2,Maccabi Petah Tikva,Maccabi Tel Aviv,0
2007/08,26/08/07,2,Hapoel Tel Aviv,Beitar Jerusalem,0
2007/08,15/09/07,3,Beitar Jerusalem,Maccabi Herzliya,0
2007/08,15/09/07,3,Bnei Yehuda Tel Aviv,Hapoel Tel Aviv,7000
2007/08,15/09/07,3,Ironi Kiryat Shmona,FC Ashdod,0
2007/08,15/09/07,3,Maccabi Netanya,Ihud Bnei Sakhnin,0
2007/08,16/09/07,3,Maccabi Haifa,Maccabi Petah Tikva,6000
2007/08,17/09/07,3,Maccabi Tel Aviv,Hapoel Kfar Saba,0
2007/08,29/09/07,4,FC Ashdod,Maccabi Netanya,0
2007/08,29/09/07,4,Hapoel Kfar Saba,Hapoel Tel Aviv,0
2007/08,29/09/07,4,Maccabi Herzliya,Bnei Yehuda Tel Aviv,1500
2007/08,29/09/07,4,Maccabi Petah Tikva,Ironi Kiryat Shmona,0
2007/08,29/09/07,4,Maccabi Tel Aviv,Maccabi Haifa,10000
2007/08,30/09/07,4,Ihud Bnei Sakhnin,Beitar Jerusalem,0
2007/08,06/10/07,5,Bnei Yehuda Tel Aviv,Ihud Bnei Sakhnin,3350
2007/08,06/10/07,5,Ironi Kiryat Shmona,Maccabi Tel Aviv,0
2007/08,06/10/07,5,Maccabi Haifa,Hapoel Kfar Saba,9000
2007/08,06/10/07,5,Maccabi Netanya,Maccabi Petah Tikva,0
2007/08,07/10/07,5,Beitar Jerusalem,FC Ashdod,0
2007/08,08/10/07,5,Hapoel Tel Aviv,Maccabi Herzliya,0
2007/08,20/10/07,6,FC Ashdod,Bnei Yehuda Tel Aviv,2250
2007/08,20/10/07,6,Hapoel Kfar Saba,Maccabi Herzliya,0
2007/08,20/10/07,6,Ihud Bnei Sakhnin,Hapoel Tel Aviv,0
2007/08,20/10/07,6,Maccabi Haifa,Ironi Kiryat Shmona,8000
2007/08,20/10/07,6,Maccabi Petah Tikva,Beitar Jerusalem,0
2007/08,21/10/07,6,Maccabi Tel Aviv,Maccabi Netanya,0
2007/08,27/10/07,7,Bnei Yehuda Tel Aviv,Maccabi Petah Tikva,2250
2007/08,27/10/07,7,Ironi Kiryat Shmona,Hapoel Kfar Saba,0
2007/08,27/10/07,7,Maccabi Herzliya,Ihud Bnei Sakhnin,0
2007/08,27/10/07,7,Maccabi Netanya,Maccabi Haifa,6500
2007/08,28/10/07,7,Beitar Jerusalem,Maccabi Tel Aviv,0
2007/08,29/10/07,7,Hapoel Tel Aviv,FC Ashdod,0
2007/08,03/11/07,8,FC Ashdod,Maccabi Herzliya,0
2007/08,03/11/07,8,Hapoel Kfar Saba,Ihud Bnei Sakhnin,0
2007/08,03/11/07,8,Ironi Kiryat Shmona,Maccabi Netanya,0
2007/08,03/11/07,8,Maccabi Petah Tikva,Hapoel Tel Aviv,0
2007/08,03/11/07,8,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,8000
2007/08,04/11/07,8,Maccabi Haifa,Beitar Jerusalem,14500
2007/08,10/11/07,9,Beitar Jerusalem,Ironi Kiryat Shmona,0
2007/08,10/11/07,9,Bnei Yehuda Tel Aviv,Maccabi Haifa,3000
2007/08,10/11/07,9,Ihud Bnei Sakhnin,FC Ashdod,0
2007/08,10/11/07,9,Maccabi Herzliya,Maccabi Petah Tikva,0
2007/08,10/11/07,9,Maccabi Netanya,Hapoel Kfar Saba,0
2007/08,11/11/07,9,Hapoel Tel Aviv,Maccabi Tel Aviv,15000
2007/08,24/11/07,10,Hapoel Kfar Saba,FC Ashdod,0
2007/08,24/11/07,10,Ironi Kiryat Shmona,Bnei Yehuda Tel Aviv,2000
2007/08,24/11/07,10,Maccabi Haifa,Hapoel Tel Aviv,13000
2007/08,24/11/07,10,Maccabi Petah Tikva,Ihud Bnei Sakhnin,0
2007/08,24/11/07,10,Maccabi Tel Aviv,Maccabi Herzliya,0
2007/08,25/11/07,10,Maccabi Netanya,Beitar Jerusalem,0
