Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2004/05,21/08/04,1,FC Ashdod,Hapoel Nazareth Illit,1000
2004/05,21/08/04,1,Ihud Bnei Sakhnin,Hapoel Beer Sheva,0
2004/05,21/08/04,1,Maccabi Haifa,Beitar Jerusalem,13000
2004/05,21/08/04,1,Maccabi Petah Tikva,Maccabi Tel Aviv,2500
2004/05,22/08/04,1,Hapoel Tel Aviv,Hapoel Petah Tikva,7500
2004/05,23/08/04,1,Bnei Yehuda Tel Aviv,Hapoel Haifa,3000
2004/05,28/08/04,2,FC Ashdod,Maccabi Haifa,3000
2004/05,28/08/04,2,Hapoel Nazareth Illit,Hapoel Beer Sheva,1000
2004/05,28/08/04,2,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,5500
2004/05,29/08/04,2,Beitar Jerusalem,Hapoel Tel Aviv,12000
2004/05,30/08/04,2,Hapoel Haifa,Ihud Bnei Sakhnin,5000
2004/05,30/08/04,2,Hapoel Petah Tikva,Maccabi Petah Tikva,4000
2004/05,11/09/04,3,Bnei Yehuda Tel Aviv,Hapoel Petah Tikva,2200
2004/05,11/09/04,3,Hapoel Beer Sheva,Hapoel Haifa,1000
2004/05,11/09/04,3,Hapoel Tel Aviv,FC Ashdod,6000
2004/05,11/09/04,3,Ihud Bnei Sakhnin,Maccabi Tel Aviv,3000
2004/05,12/09/04,3,Maccabi Haifa,Hapoel Nazareth Illit,5000
2004/05,13/09/04,3,Maccabi Petah Tikva,Beitar Jerusalem,4000
2004/05,18/09/04,4,Beitar Jerusalem,Bnei Yehuda Tel Aviv,5000
2004/05,18/09/04,4,FC Ashdod,Maccabi Petah Tikva,2500
2004/05,18/09/04,4,Hapoel Nazareth Illit,Hapoel Haifa,1000
2004/05,18/09/04,4,Maccabi Tel Aviv,Hapoel Beer Sheva,6700
2004/05,19/09/04,4,Maccabi Haifa,Hapoel Tel Aviv,7500
2004/05,20/09/04,4,Hapoel Petah Tikva,Ihud Bnei Sakhnin,3000
2004/05,02/10/04,5,Bnei Yehuda Tel Aviv,FC Ashdod,2000
2004/05,02/10/04,5,Hapoel Beer Sheva,Hapoel Petah Tikva,1400
