Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2020/21,03/04/21,1,Championship Round,FC Ashdod,Ironi Kiryat Shmona,1:1,1,1,200,https://www.transfermarkt.com/fc-ashdod_ironi-kiryat-shmona/index/spielbericht/3541251
2020/21,03/04/21,1,Championship Round,Maccabi Haifa,Maccabi Petah Tikva,1:1,1,1,5000,https://www.transfermarkt.com/maccabi-haifa_maccabi-petah-tikva/index/spielbericht/3541252
2020/21,03/04/21,1,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,2:1,2,1,5000,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/3541253
2020/21,06/04/21,2,Championship Round,Maccabi Petah Tikva,Ironi Kiryat Shmona,2:0,2,0,300,https://www.transfermarkt.com/maccabi-petah-tikva_ironi-kiryat-shmona/index/spielbericht/3541268
2020/21,06/04/21,2,Championship Round,Hapoel Beer Sheva,FC Ashdod,1:2,1,2,3244,https://www.transfermarkt.com/hapoel-beer-sheva_fc-ashdod/index/spielbericht/3541269
2020/21,06/04/21,2,Championship Round,Maccabi Haifa,Maccabi Tel Aviv,1:1,1,1,5000,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/3541270
2020/21,10/04/21,3,Championship Round,Ironi Kiryat Shmona,Hapoel Beer Sheva,1:1,1,1,150,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-beer-sheva/index/spielbericht/3541669
2020/21,11/04/21,3,Championship Round,Maccabi Tel Aviv,Maccabi Petah Tikva,3:1,3,1,7916,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-petah-tikva/index/spielbericht/3541670
2020/21,12/04/21,3,Championship Round,FC Ashdod,Maccabi Haifa,0:3,0,3,2434,https://www.transfermarkt.com/fc-ashdod_maccabi-haifa/index/spielbericht/3541671
2020/21,17/04/21,4,Championship Round,Maccabi Petah Tikva,Hapoel Beer Sheva,0:0,0,0,800,https://www.transfermarkt.com/maccabi-petah-tikva_hapoel-beer-sheva/index/spielbericht/3541672
2020/21,17/04/21,4,Championship Round,Maccabi Haifa,Ironi Kiryat Shmona,4:0,4,0,10000,https://www.transfermarkt.com/maccabi-haifa_ironi-kiryat-shmona/index/spielbericht/3541673
2020/21,18/04/21,4,Championship Round,Maccabi Tel Aviv,FC Ashdod,1:1,1,1,8822,https://www.transfermarkt.com/maccabi-tel-aviv_fc-ashdod/index/spielbericht/3541674
2020/21,25/04/21,5,Championship Round,FC Ashdod,Maccabi Petah Tikva,0:0,0,0,478,https://www.transfermarkt.com/fc-ashdod_maccabi-petah-tikva/index/spielbericht/3541675
2020/21,25/04/21,5,Championship Round,Ironi Kiryat Shmona,Maccabi Tel Aviv,2:0,2,0,1956,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-tel-aviv/index/spielbericht/3541676
2020/21,26/04/21,5,Championship Round,Hapoel Beer Sheva,Maccabi Haifa,1:1,1,1,5157,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/3541677
2020/21,01/05/21,6,Championship Round,Ironi Kiryat Shmona,FC Ashdod,1:1,1,1,350,https://www.transfermarkt.com/ironi-kiryat-shmona_fc-ashdod/index/spielbericht/3541680
2020/21,01/05/21,6,Championship Round,Maccabi Petah Tikva,Maccabi Haifa,1:2,1,2,4950,https://www.transfermarkt.com/maccabi-petah-tikva_maccabi-haifa/index/spielbericht/3541678
2020/21,03/05/21,6,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,1:1,1,1,4939,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/3541679
2020/21,08/05/21,7,Championship Round,Ironi Kiryat Shmona,Maccabi Petah Tikva,1:2,1,2,250,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-petah-tikva/index/spielbericht/3541681
2020/21,09/05/21,7,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,2:2,2,2,22913,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/3541683
2020/21,20/05/21,7,Championship Round,FC Ashdod,Hapoel Beer Sheva,2:2,2,2,0,https://www.transfermarkt.com/fc-ashdod_hapoel-beer-sheva/index/spielbericht/3541682
2020/21,23/05/21,8,Championship Round,Maccabi Petah Tikva,Maccabi Tel Aviv,0:3,0,3,3800,https://www.transfermarkt.com/maccabi-petah-tikva_maccabi-tel-aviv/index/spielbericht/3541684
2020/21,23/05/21,8,Championship Round,Maccabi Haifa,FC Ashdod,2:0,2,0,26875,https://www.transfermarkt.com/maccabi-haifa_fc-ashdod/index/spielbericht/3541685
2020/21,23/05/21,8,Championship Round,Hapoel Beer Sheva,Ironi Kiryat Shmona,3:2,3,2,2278,https://www.transfermarkt.com/hapoel-beer-sheva_ironi-kiryat-shmona/index/spielbericht/3541686
2020/21,26/05/21,9,Championship Round,Hapoel Beer Sheva,Maccabi Petah Tikva,2:0,2,0,3687,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-petah-tikva/index/spielbericht/3541687
2020/21,26/05/21,9,Championship Round,Ironi Kiryat Shmona,Maccabi Haifa,1:1,1,1,5000,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-haifa/index/spielbericht/3541688
2020/21,26/05/21,9,Championship Round,FC Ashdod,Maccabi Tel Aviv,1:2,1,2,1620,https://www.transfermarkt.com/fc-ashdod_maccabi-tel-aviv/index/spielbericht/3541689
