Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2025/26,18/04/26,1,Championship Round,Hapoel Beer Sheva,Hapoel Petah Tikva,3:0,3,0,12870,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-petah-tikva/index/spielbericht/4865111
2025/26,19/04/26,1,Championship Round,Beitar Jerusalem,Maccabi Haifa,3:0,3,0,26670,https://www.transfermarkt.com/beitar-jerusalem_maccabi-haifa/index/spielbericht/4865112
2025/26,19/04/26,1,Championship Round,Maccabi Tel Aviv,Hapoel Tel Aviv,1:0,1,0,25605,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-tel-aviv/index/spielbericht/4865113
2025/26,25/04/26,2,Championship Round,Hapoel Petah Tikva,Hapoel Tel Aviv,0:1,0,1,7262,https://www.transfermarkt.com/hapoel-petah-tikva_hapoel-tel-aviv/index/spielbericht/4865108
2025/26,25/04/26,2,Championship Round,Maccabi Haifa,Maccabi Tel Aviv,1:3,1,3,24131,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/4865109
2025/26,25/04/26,2,Championship Round,Hapoel Beer Sheva,Beitar Jerusalem,2:2,2,2,16098,https://www.transfermarkt.com/hapoel-beer-sheva_beitar-jerusalem/index/spielbericht/4865110
2025/26,28/04/26,3,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,1:0,1,0,24069,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/4865105
2025/26,28/04/26,3,Championship Round,Beitar Jerusalem,Hapoel Petah Tikva,3:1,3,1,21881,https://www.transfermarkt.com/beitar-jerusalem_hapoel-petah-tikva/index/spielbericht/4865106
2025/26,29/04/26,3,Championship Round,Hapoel Tel Aviv,Maccabi Haifa,4:0,4,0,22199,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-haifa/index/spielbericht/4865107
2025/26,02/05/26,4,Championship Round,Hapoel Petah Tikva,Maccabi Haifa,1:2,1,2,6108,https://www.transfermarkt.com/hapoel-petah-tikva_maccabi-haifa/index/spielbericht/4865114
2025/26,02/05/26,4,Championship Round,Beitar Jerusalem,Maccabi Tel Aviv,4:2,4,2,29199,https://www.transfermarkt.com/beitar-jerusalem_maccabi-tel-aviv/index/spielbericht/4865116
2025/26,02/05/26,4,Championship Round,Hapoel Beer Sheva,Hapoel Tel Aviv,2:0,2,0,13417,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-tel-aviv/index/spielbericht/4865115
2025/26,05/05/26,5,Championship Round,Maccabi Tel Aviv,Hapoel Petah Tikva,4:0,4,0,15580,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-petah-tikva/index/spielbericht/4865102
2025/26,06/05/26,5,Championship Round,Hapoel Tel Aviv,Beitar Jerusalem,0:1,0,1,22885,https://www.transfermarkt.com/hapoel-tel-aviv_beitar-jerusalem/index/spielbericht/4865103
2025/26,06/05/26,5,Championship Round,Maccabi Haifa,Hapoel Beer Sheva,0:1,0,1,17423,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/4865104
2025/26,09/05/26,6,Championship Round,Hapoel Tel Aviv,Maccabi Tel Aviv,1:1,1,1,25126,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-tel-aviv/index/spielbericht/4865098
2025/26,09/05/26,6,Championship Round,Maccabi Haifa,Beitar Jerusalem,3:0,3,0,18129,https://www.transfermarkt.com/maccabi-haifa_beitar-jerusalem/index/spielbericht/4865097
2025/26,09/05/26,6,Championship Round,Hapoel Petah Tikva,Hapoel Beer Sheva,2:4,2,4,7597,https://www.transfermarkt.com/hapoel-petah-tikva_hapoel-beer-sheva/index/spielbericht/4865096
2025/26,12/05/26,7,Championship Round,Hapoel Tel Aviv,Hapoel Petah Tikva,1:0,1,0,14023,https://www.transfermarkt.com/hapoel-tel-aviv_hapoel-petah-tikva/index/spielbericht/4865093
2025/26,12/05/26,7,Championship Round,Beitar Jerusalem,Hapoel Beer Sheva,1:1,1,1,28702,https://www.transfermarkt.com/beitar-jerusalem_hapoel-beer-sheva/index/spielbericht/4865094
2025/26,13/05/26,7,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,3:0,3,0,21354,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/4865095
2025/26,15/05/26,8,Championship Round,Hapoel Tel Aviv,Hapoel Beer Sheva,0:2,0,2,22720,https://www.transfermarkt.com/hapoel-tel-aviv_hapoel-beer-sheva/index/spielbericht/4865100
2025/26,16/05/26,8,Championship Round,Maccabi Haifa,Hapoel Petah Tikva,1:1,1,1,15238,https://www.transfermarkt.com/maccabi-haifa_hapoel-petah-tikva/index/spielbericht/4865099
2025/26,16/05/26,8,Championship Round,Maccabi Tel Aviv,Beitar Jerusalem,1:2,1,2,22534,https://www.transfermarkt.com/maccabi-tel-aviv_beitar-jerusalem/index/spielbericht/4865101
2025/26,19/05/26,9,Championship Round,Hapoel Petah Tikva,Beitar Jerusalem,0:0,0,0,7947,https://www.transfermarkt.com/hapoel-petah-tikva_beitar-jerusalem/index/spielbericht/4865117
2025/26,19/05/26,9,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,4:2,4,2,15630,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/4865118
2025/26,19/05/26,9,Championship Round,Maccabi Haifa,Hapoel Tel Aviv,4:1,4,1,15640,https://www.transfermarkt.com/maccabi-haifa_hapoel-tel-aviv/index/spielbericht/4865119
2025/26,23/05/26,10,Championship Round,Hapoel Petah Tikva,Maccabi Tel Aviv,2:2,2,2,7400,https://www.transfermarkt.com/hapoel-petah-tikva_maccabi-tel-aviv/index/spielbericht/4865120
2025/26,23/05/26,10,Championship Round,Beitar Jerusalem,Hapoel Tel Aviv,1:1,1,1,24089,https://www.transfermarkt.com/beitar-jerusalem_hapoel-tel-aviv/index/spielbericht/4865121
2025/26,23/05/26,10,Championship Round,Hapoel Beer Sheva,Maccabi Haifa,2:5,2,5,14674,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/4865122
2025/26,18/04/26,1,Relegation Round,Maccabi Netanya,FC Ashdod,2:1,2,1,1798,https://www.transfermarkt.com/maccabi-netanya_fc-ashdod/index/spielbericht/4865138
