Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2009/10,17/04/10,1,Championship Round,Maccabi Tel Aviv,Beitar Jerusalem,3:0,3,0,13000,https://www.transfermarkt.com/maccabi-tel-aviv_beitar-jerusalem/index/spielbericht/1010587
2009/10,17/04/10,1,Championship Round,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv,1:0,1,0,12000,https://www.transfermarkt.com/hapoel-tel-aviv_bnei-yehuda-tel-aviv/index/spielbericht/1010588
2009/10,17/04/10,1,Championship Round,Maccabi Haifa,FC Ashdod,3:1,3,1,10000,https://www.transfermarkt.com/maccabi-haifa_fc-ashdod/index/spielbericht/1010589
2009/10,24/04/10,2,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Tel Aviv,0:0,0,0,5500,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-tel-aviv/index/spielbericht/1010590
2009/10,24/04/10,2,Championship Round,FC Ashdod,Beitar Jerusalem,1:2,1,2,3000,https://www.transfermarkt.com/fc-ashdod_beitar-jerusalem/index/spielbericht/1010591
2009/10,26/04/10,2,Championship Round,Maccabi Haifa,Hapoel Tel Aviv,0:1,0,1,14030,https://www.transfermarkt.com/maccabi-haifa_hapoel-tel-aviv/index/spielbericht/1010592
2009/10,01/05/10,3,Championship Round,Hapoel Tel Aviv,FC Ashdod,4:0,4,0,13000,https://www.transfermarkt.com/hapoel-tel-aviv_fc-ashdod/index/spielbericht/1010593
2009/10,01/05/10,3,Championship Round,Beitar Jerusalem,Bnei Yehuda Tel Aviv,0:2,0,2,3000,https://www.transfermarkt.com/beitar-jerusalem_bnei-yehuda-tel-aviv/index/spielbericht/1010595
2009/10,03/05/10,3,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,0:2,0,2,15000,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/1010594
2009/10,08/05/10,4,Championship Round,Hapoel Tel Aviv,Maccabi Tel Aviv,0:0,0,0,15300,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-tel-aviv/index/spielbericht/1010596
2009/10,08/05/10,4,Championship Round,Maccabi Haifa,Beitar Jerusalem,2:1,2,1,13000,https://www.transfermarkt.com/maccabi-haifa_beitar-jerusalem/index/spielbericht/1010597
2009/10,08/05/10,4,Championship Round,FC Ashdod,Bnei Yehuda Tel Aviv,2:3,2,3,300,https://www.transfermarkt.com/fc-ashdod_bnei-yehuda-tel-aviv/index/spielbericht/1010598
2009/10,15/05/10,5,Championship Round,Maccabi Tel Aviv,FC Ashdod,2:0,2,0,6500,https://www.transfermarkt.com/maccabi-tel-aviv_fc-ashdod/index/spielbericht/1010599
2009/10,15/05/10,5,Championship Round,Beitar Jerusalem,Hapoel Tel Aviv,1:2,1,2,8000,https://www.transfermarkt.com/beitar-jerusalem_hapoel-tel-aviv/index/spielbericht/1010600
2009/10,15/05/10,5,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Haifa,1:1,1,1,15000,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-haifa/index/spielbericht/1010601
2009/10,17/04/10,1,Relegation Round,Hapoel Haifa,Maccabi Ahi Nazareth,2:2,2,2,0,https://www.transfermarkt.com/hapoel-haifa_maccabi-ahi-nazareth/index/spielbericht/1010548
2009/10,17/04/10,1,Relegation Round,Hapoel Ramat Gan,Hapoel Raanana,0:0,0,0,0,https://www.transfermarkt.com/hapoel-ramat-gan_hapoel-raanana/index/spielbericht/1010549
2009/10,17/04/10,1,Relegation Round,Hapoel Petah Tikva,Hapoel Acre,1:2,1,2,3000,https://www.transfermarkt.com/hapoel-petah-tikva_hapoel-acre/index/spielbericht/1010550
2009/10,24/04/10,2,Relegation Round,Maccabi Ahi Nazareth,Hapoel Petah Tikva,3:0,3,0,1500,https://www.transfermarkt.com/maccabi-ahi-nazareth_hapoel-petah-tikva/index/spielbericht/1010551
2009/10,24/04/10,2,Relegation Round,Hapoel Raanana,Hapoel Acre,4:0,4,0,0,https://www.transfermarkt.com/hapoel-raanana_hapoel-acre/index/spielbericht/1010552
2009/10,25/04/10,2,Relegation Round,Hapoel Ramat Gan,Hapoel Haifa,0:1,0,1,0,https://www.transfermarkt.com/hapoel-ramat-gan_hapoel-haifa/index/spielbericht/1010553
2009/10,01/05/10,3,Relegation Round,Hapoel Haifa,Hapoel Raanana,1:0,1,0,0,https://www.transfermarkt.com/hapoel-haifa_hapoel-raanana/index/spielbericht/1010554
2009/10,01/05/10,3,Relegation Round,Hapoel Petah Tikva,Hapoel Ramat Gan,2:1,2,1,2500,https://www.transfermarkt.com/hapoel-petah-tikva_hapoel-ramat-gan/index/spielbericht/1010555
2009/10,01/05/10,3,Relegation Round,Hapoel Acre,Maccabi Ahi Nazareth,3:1,3,1,0,https://www.transfermarkt.com/hapoel-acre_maccabi-ahi-nazareth/index/spielbericht/1010556
2009/10,08/05/10,4,Relegation Round,Hapoel Haifa,Hapoel Petah Tikva,1:2,1,2,0,https://www.transfermarkt.com/hapoel-haifa_hapoel-petah-tikva/index/spielbericht/1010557
2009/10,08/05/10,4,Relegation Round,Hapoel Ramat Gan,Hapoel Acre,0:0,0,0,0,https://www.transfermarkt.com/hapoel-ramat-gan_hapoel-acre/index/spielbericht/1010558
2009/10,08/05/10,4,Relegation Round,Hapoel Raanana,Maccabi Ahi Nazareth,2:0,2,0,0,https://www.transfermarkt.com/hapoel-raanana_maccabi-ahi-nazareth/index/spielbericht/1010559
2009/10,15/05/10,5,Relegation Round,Hapoel Petah Tikva,Hapoel Raanana,0:0,0,0,0,https://www.transfermarkt.com/hapoel-petah-tikva_hapoel-raanana/index/spielbericht/1010560
2009/10,15/05/10,5,Relegation Round,Hapoel Acre,Hapoel Haifa,1:0,1,0,0,https://www.transfermarkt.com/hapoel-acre_hapoel-haifa/index/spielbericht/1010561
2009/10,15/05/10,5,Relegation Round,Maccabi Ahi Nazareth,Hapoel Ramat Gan,0:7,0,7,0,https://www.transfermarkt.com/maccabi-ahi-nazareth_hapoel-ramat-gan/index/spielbericht/1010562
