Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2023/24,30/03/24,1,Championship Round,Hapoel Beer Sheva,Hapoel Haifa,2:1,2,1,10565,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-haifa/index/spielbericht/4318977
2023/24,30/03/24,1,Championship Round,Maccabi Tel Aviv,Ihud Bnei Sakhnin,2:0,2,0,20267,https://www.transfermarkt.com/maccabi-tel-aviv_ihud-bnei-sakhnin/index/spielbericht/4318978
2023/24,31/03/24,1,Championship Round,Maccabi Haifa,Maccabi Bnei Reineh,1:2,1,2,24560,https://www.transfermarkt.com/maccabi-haifa_maccabi-bnei-reineh/index/spielbericht/4318979
2023/24,06/04/24,2,Championship Round,Ihud Bnei Sakhnin,Hapoel Haifa,2:1,2,1,933,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-haifa/index/spielbericht/4320946
2023/24,07/04/24,2,Championship Round,Maccabi Bnei Reineh,Hapoel Beer Sheva,1:0,1,0,1577,https://www.transfermarkt.com/maccabi-bnei-reineh_hapoel-beer-sheva/index/spielbericht/4320947
2023/24,08/04/24,2,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,1:1,1,1,26275,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/4320948
2023/24,13/04/24,3,Championship Round,Maccabi Haifa,Ihud Bnei Sakhnin,1:0,1,0,26231,https://www.transfermarkt.com/maccabi-haifa_ihud-bnei-sakhnin/index/spielbericht/4320949
2023/24,14/04/24,3,Championship Round,Hapoel Haifa,Maccabi Bnei Reineh,2:0,2,0,0,https://www.transfermarkt.com/hapoel-haifa_maccabi-bnei-reineh/index/spielbericht/4320950
2023/24,15/04/24,3,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,1:0,1,0,12103,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/4320951
2023/24,20/04/24,4,Championship Round,Ihud Bnei Sakhnin,Maccabi Bnei Reineh,0:2,0,2,1167,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-bnei-reineh/index/spielbericht/4320952
2023/24,20/04/24,4,Championship Round,Maccabi Haifa,Hapoel Beer Sheva,4:1,4,1,27457,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/4320954
2023/24,20/04/24,4,Championship Round,Maccabi Tel Aviv,Hapoel Haifa,4:0,4,0,23221,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-haifa/index/spielbericht/4320953
2023/24,27/04/24,5,Championship Round,Maccabi Bnei Reineh,Maccabi Tel Aviv,2:3,2,3,4459,https://www.transfermarkt.com/maccabi-bnei-reineh_maccabi-tel-aviv/index/spielbericht/4320967
2023/24,29/04/24,5,Championship Round,Hapoel Beer Sheva,Ihud Bnei Sakhnin,2:1,2,1,6155,https://www.transfermarkt.com/hapoel-beer-sheva_ihud-bnei-sakhnin/index/spielbericht/4320965
2023/24,29/04/24,5,Championship Round,Hapoel Haifa,Maccabi Haifa,0:2,0,2,21284,https://www.transfermarkt.com/hapoel-haifa_maccabi-haifa/index/spielbericht/4320966
2023/24,04/05/24,6,Championship Round,Hapoel Haifa,Hapoel Beer Sheva,2:0,2,0,2650,https://www.transfermarkt.com/hapoel-haifa_hapoel-beer-sheva/index/spielbericht/4320970
2023/24,04/05/24,6,Championship Round,Maccabi Bnei Reineh,Maccabi Haifa,1:5,1,5,4596,https://www.transfermarkt.com/maccabi-bnei-reineh_maccabi-haifa/index/spielbericht/4320969
2023/24,06/05/24,6,Championship Round,Ihud Bnei Sakhnin,Maccabi Tel Aviv,1:1,1,1,3510,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-tel-aviv/index/spielbericht/4320968
2023/24,09/05/24,7,Championship Round,Hapoel Haifa,Ihud Bnei Sakhnin,1:2,1,2,1940,https://www.transfermarkt.com/hapoel-haifa_ihud-bnei-sakhnin/index/spielbericht/4320971
2023/24,09/05/24,7,Championship Round,Hapoel Beer Sheva,Maccabi Bnei Reineh,2:1,2,1,7308,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-bnei-reineh/index/spielbericht/4320972
