Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2017/18,17/03/18,1,Championship Round,Beitar Jerusalem,Maccabi Netanya,2:0,2,0,10000,https://www.transfermarkt.com/beitar-jerusalem_maccabi-netanya/index/spielbericht/3023149
2017/18,18/03/18,1,Championship Round,Hapoel Beer Sheva,Bnei Yehuda Tel Aviv,1:0,1,0,14362,https://www.transfermarkt.com/hapoel-beer-sheva_bnei-yehuda-tel-aviv/index/spielbericht/3023150
2017/18,18/03/18,1,Championship Round,Maccabi Tel Aviv,Hapoel Haifa,1:2,1,2,11234,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-haifa/index/spielbericht/3023151
2017/18,03/04/18,2,Championship Round,Maccabi Netanya,Maccabi Tel Aviv,4:1,4,1,10500,https://www.transfermarkt.com/maccabi-netanya_maccabi-tel-aviv/index/spielbericht/3023152
2017/18,04/04/18,2,Championship Round,Bnei Yehuda Tel Aviv,Hapoel Haifa,3:0,3,0,2200,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_hapoel-haifa/index/spielbericht/3023153
2017/18,04/04/18,2,Championship Round,Hapoel Beer Sheva,Beitar Jerusalem,3:1,3,1,15728,https://www.transfermarkt.com/hapoel-beer-sheva_beitar-jerusalem/index/spielbericht/3023154
2017/18,08/04/18,3,Championship Round,Hapoel Haifa,Maccabi Netanya,1:1,1,1,4100,https://www.transfermarkt.com/hapoel-haifa_maccabi-netanya/index/spielbericht/3031913
2017/18,08/04/18,3,Championship Round,Beitar Jerusalem,Bnei Yehuda Tel Aviv,1:1,1,1,8000,https://www.transfermarkt.com/beitar-jerusalem_bnei-yehuda-tel-aviv/index/spielbericht/3031911
2017/18,08/04/18,3,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,0:1,0,1,11475,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/3031912
2017/18,14/04/18,4,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Netanya,1:3,1,3,2700,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-netanya/index/spielbericht/3031914
2017/18,15/04/18,4,Championship Round,Hapoel Beer Sheva,Hapoel Haifa,2:2,2,2,15166,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-haifa/index/spielbericht/3031915
2017/18,16/04/18,4,Championship Round,Beitar Jerusalem,Maccabi Tel Aviv,3:2,3,2,10000,https://www.transfermarkt.com/beitar-jerusalem_maccabi-tel-aviv/index/spielbericht/3031916
2017/18,21/04/18,5,Championship Round,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,2:0,2,0,5036,https://www.transfermarkt.com/maccabi-tel-aviv_bnei-yehuda-tel-aviv/index/spielbericht/3031917
2017/18,22/04/18,5,Championship Round,Maccabi Netanya,Hapoel Beer Sheva,1:5,1,5,11500,https://www.transfermarkt.com/maccabi-netanya_hapoel-beer-sheva/index/spielbericht/3031918
2017/18,23/04/18,5,Championship Round,Hapoel Haifa,Beitar Jerusalem,0:1,0,1,7500,https://www.transfermarkt.com/hapoel-haifa_beitar-jerusalem/index/spielbericht/3031919
2017/18,28/04/18,6,Championship Round,Bnei Yehuda Tel Aviv,Hapoel Beer Sheva,1:1,1,1,7500,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_hapoel-beer-sheva/index/spielbericht/3031920
2017/18,29/04/18,6,Championship Round,Hapoel Haifa,Maccabi Tel Aviv,2:2,2,2,4000,https://www.transfermarkt.com/hapoel-haifa_maccabi-tel-aviv/index/spielbericht/3031921
2017/18,30/04/18,6,Championship Round,Maccabi Netanya,Beitar Jerusalem,4:1,4,1,10500,https://www.transfermarkt.com/maccabi-netanya_beitar-jerusalem/index/spielbericht/3031922
2017/18,05/05/18,7,Championship Round,Hapoel Haifa,Bnei Yehuda Tel Aviv,2:1,2,1,4000,https://www.transfermarkt.com/hapoel-haifa_bnei-yehuda-tel-aviv/index/spielbericht/3031923
2017/18,05/05/18,7,Championship Round,Beitar Jerusalem,Hapoel Beer Sheva,1:4,1,4,25500,https://www.transfermarkt.com/beitar-jerusalem_hapoel-beer-sheva/index/spielbericht/3031925
2017/18,07/05/18,7,Championship Round,Maccabi Tel Aviv,Maccabi Netanya,2:0,2,0,6346,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-netanya/index/spielbericht/3031924
2017/18,12/05/18,8,Championship Round,Maccabi Netanya,Hapoel Haifa,2:1,2,1,4980,https://www.transfermarkt.com/maccabi-netanya_hapoel-haifa/index/spielbericht/3046285
2017/18,12/05/18,8,Championship Round,Bnei Yehuda Tel Aviv,Beitar Jerusalem,3:3,3,3,0,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_beitar-jerusalem/index/spielbericht/3046286
