Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2017/18,19/08/17,1,FC Ashdod,Maccabi Petah Tikva,900
2017/18,19/08/17,1,Hapoel Beer Sheva,Maccabi Netanya,14786
2017/18,19/08/17,1,Hapoel Haifa,Hapoel Ashkelon,2500
2017/18,19/08/17,1,Hapoel Raanana,Ironi Kiryat Shmona,600
2017/18,20/08/17,1,Hapoel Acre,Ihud Bnei Sakhnin,800
2017/18,20/08/17,1,Maccabi Tel Aviv,Beitar Jerusalem,11325
2017/18,21/08/17,1,Bnei Yehuda Tel Aviv,Maccabi Haifa,7500
2017/18,26/08/17,2,Hapoel Ashkelon,Bnei Yehuda Tel Aviv,2200
2017/18,26/08/17,2,Ihud Bnei Sakhnin,Hapoel Raanana,650
2017/18,26/08/17,2,Maccabi Netanya,Hapoel Acre,4373
2017/18,26/08/17,2,Maccabi Petah Tikva,Hapoel Haifa,2670
2017/18,27/08/17,2,Ironi Kiryat Shmona,Maccabi Tel Aviv,2100
2017/18,27/08/17,2,Maccabi Haifa,Hapoel Beer Sheva,27180
2017/18,28/08/17,2,Beitar Jerusalem,FC Ashdod,9000
2017/18,09/09/17,3,FC Ashdod,Ironi Kiryat Shmona,700
2017/18,09/09/17,3,Hapoel Beer Sheva,Hapoel Ashkelon,14725
2017/18,09/09/17,3,Hapoel Haifa,Bnei Yehuda Tel Aviv,4000
2017/18,09/09/17,3,Maccabi Tel Aviv,Ihud Bnei Sakhnin,10127
2017/18,10/09/17,3,Hapoel Acre,Maccabi Haifa,5000
2017/18,10/09/17,3,Hapoel Raanana,Maccabi Netanya,2200
2017/18,11/09/17,3,Maccabi Petah Tikva,Beitar Jerusalem,8000
2017/18,16/09/17,4,Beitar Jerusalem,Hapoel Haifa,15000
2017/18,16/09/17,4,Hapoel Ashkelon,Hapoel Acre,2000
2017/18,16/09/17,4,Ironi Kiryat Shmona,Maccabi Petah Tikva,200
2017/18,16/09/17,4,Maccabi Haifa,Hapoel Raanana,16437
2017/18,17/09/17,4,Bnei Yehuda Tel Aviv,Hapoel Beer Sheva,4300
2017/18,17/09/17,4,Ihud Bnei Sakhnin,FC Ashdod,1000
2017/18,18/09/17,4,Maccabi Netanya,Maccabi Tel Aviv,9000
2017/18,23/09/17,5,FC Ashdod,Maccabi Netanya,1750
2017/18,23/09/17,5,Hapoel Acre,Bnei Yehuda Tel Aviv,500
2017/18,23/09/17,5,Hapoel Haifa,Hapoel Beer Sheva,7000
2017/18,23/09/17,5,Hapoel Raanana,Hapoel Ashkelon,700
2017/18,24/09/17,5,Maccabi Petah Tikva,Ihud Bnei Sakhnin,1100
2017/18,24/09/17,5,Maccabi Tel Aviv,Maccabi Haifa,12400
2017/18,25/09/17,5,Beitar Jerusalem,Ironi Kiryat Shmona,10500
2017/18,01/10/17,6,Bnei Yehuda Tel Aviv,Hapoel Raanana,1500
2017/18,01/10/17,6,Hapoel Ashkelon,Maccabi Tel Aviv,5120
2017/18,01/10/17,6,Ironi Kiryat Shmona,Hapoel Haifa,2100
2017/18,01/10/17,6,Maccabi Haifa,FC Ashdod,15932
2017/18,02/10/17,6,Ihud Bnei Sakhnin,Beitar Jerusalem,2000
2017/18,02/10/17,6,Maccabi Netanya,Maccabi Petah Tikva,4000
2017/18,18/11/17,6,Hapoel Beer Sheva,Hapoel Acre,15183
2017/18,14/10/17,7,FC Ashdod,Hapoel Ashkelon,1700
2017/18,14/10/17,7,Hapoel Haifa,Hapoel Acre,4440
2017/18,14/10/17,7,Hapoel Raanana,Hapoel Beer Sheva,2876
2017/18,14/10/17,7,Maccabi Petah Tikva,Maccabi Haifa,7000
2017/18,15/10/17,7,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,1120
2017/18,15/10/17,7,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,8836
2017/18,16/10/17,7,Beitar Jerusalem,Maccabi Netanya,12995
2017/18,21/10/17,8,Bnei Yehuda Tel Aviv,FC Ashdod,1600
2017/18,21/10/17,8,Hapoel Acre,Hapoel Raanana,650
2017/18,21/10/17,8,Maccabi Haifa,Beitar Jerusalem,0
2017/18,21/10/17,8,Maccabi Netanya,Ironi Kiryat Shmona,4800
2017/18,22/10/17,8,Hapoel Ashkelon,Maccabi Petah Tikva,2000
2017/18,22/10/17,8,Ihud Bnei Sakhnin,Hapoel Haifa,4000
2017/18,23/10/17,8,Hapoel Beer Sheva,Maccabi Tel Aviv,15500
2017/18,28/10/17,9,Beitar Jerusalem,Hapoel Ashkelon,9000
2017/18,28/10/17,9,Hapoel Haifa,Hapoel Raanana,5300
2017/18,28/10/17,9,Ihud Bnei Sakhnin,Maccabi Netanya,1500
2017/18,28/10/17,9,Ironi Kiryat Shmona,Maccabi Haifa,3000
2017/18,29/10/17,9,FC Ashdod,Hapoel Beer Sheva,4650
2017/18,29/10/17,9,Maccabi Tel Aviv,Hapoel Acre,6132
2017/18,30/10/17,9,Maccabi Petah Tikva,Bnei Yehuda Tel Aviv,1000
2017/18,04/11/17,10,Bnei Yehuda Tel Aviv,Beitar Jerusalem,9000
2017/18,04/11/17,10,Hapoel Acre,FC Ashdod,800
2017/18,04/11/17,10,Maccabi Netanya,Hapoel Haifa,11500
2017/18,05/11/17,10,Hapoel Raanana,Maccabi Tel Aviv,2500
2017/18,05/11/17,10,Maccabi Haifa,Ihud Bnei Sakhnin,16239
2017/18,05/11/17,10,Maccabi Petah Tikva,Hapoel Beer Sheva,3300
2017/18,06/11/17,10,Hapoel Ashkelon,Ironi Kiryat Shmona,1600
2017/18,25/11/17,11,Hapoel Acre,Maccabi Petah Tikva,1000
2017/18,25/11/17,11,Ihud Bnei Sakhnin,Hapoel Ashkelon,800
2017/18,25/11/17,11,Ironi Kiryat Shmona,Bnei Yehuda Tel Aviv,800
2017/18,25/11/17,11,Maccabi Netanya,Maccabi Haifa,12500
2017/18,26/11/17,11,FC Ashdod,Hapoel Raanana,1400
2017/18,26/11/17,11,Hapoel Haifa,Maccabi Tel Aviv,7500
2017/18,27/11/17,11,Beitar Jerusalem,Hapoel Beer Sheva,26000
2017/18,02/12/17,12,Bnei Yehuda Tel Aviv,Ihud Bnei Sakhnin,1700
2017/18,02/12/17,12,Hapoel Acre,Beitar Jerusalem,5000
2017/18,02/12/17,12,Hapoel Ashkelon,Maccabi Netanya,3000
2017/18,02/12/17,12,Maccabi Tel Aviv,FC Ashdod,10117
2017/18,03/12/17,12,Hapoel Beer Sheva,Ironi Kiryat Shmona,13872
2017/18,03/12/17,12,Hapoel Raanana,Maccabi Petah Tikva,500
2017/18,04/12/17,12,Hapoel Haifa,Maccabi Haifa,23185
2017/18,09/12/17,13,Beitar Jerusalem,Hapoel Raanana,7000
2017/18,09/12/17,13,FC Ashdod,Hapoel Haifa,1900
2017/18,09/12/17,13,Maccabi Haifa,Hapoel Ashkelon,14576
2017/18,09/12/17,13,Maccabi Netanya,Bnei Yehuda Tel Aviv,6000
2017/18,10/12/17,13,Ihud Bnei Sakhnin,Hapoel Beer Sheva,1200
2017/18,10/12/17,13,Ironi Kiryat Shmona,Hapoel Acre,700
2017/18,11/12/17,13,Maccabi Petah Tikva,Maccabi Tel Aviv,3500
2017/18,16/12/17,14,Hapoel Ashkelon,Hapoel Haifa,2200
2017/18,16/12/17,14,Ihud Bnei Sakhnin,Hapoel Acre,700
2017/18,16/12/17,14,Maccabi Haifa,Bnei Yehuda Tel Aviv,17000
2017/18,16/12/17,14,Maccabi Petah Tikva,FC Ashdod,1200
2017/18,17/12/17,14,Ironi Kiryat Shmona,Hapoel Raanana,500
2017/18,17/12/17,14,Maccabi Netanya,Hapoel Beer Sheva,7850
2017/18,18/12/17,14,Beitar Jerusalem,Maccabi Tel Aviv,24000
2017/18,23/12/17,15,Bnei Yehuda Tel Aviv,Hapoel Ashkelon,3000
2017/18,23/12/17,15,Hapoel Acre,Maccabi Netanya,800
2017/18,23/12/17,15,Hapoel Haifa,Maccabi Petah Tikva,4900
2017/18,23/12/17,15,Maccabi Tel Aviv,Ironi Kiryat Shmona,10882
2017/18,24/12/17,15,FC Ashdod,Beitar Jerusalem,3000
2017/18,24/12/17,15,Hapoel Raanana,Ihud Bnei Sakhnin,700
2017/18,25/12/17,15,Hapoel Beer Sheva,Maccabi Haifa,15417
2017/18,01/01/18,16,Ihud Bnei Sakhnin,Maccabi Tel Aviv,1500
2017/18,30/12/17,16,Beitar Jerusalem,Maccabi Petah Tikva,8000
2017/18,30/12/17,16,Bnei Yehuda Tel Aviv,Hapoel Haifa,4500
2017/18,30/12/17,16,Maccabi Haifa,Hapoel Acre,12500
2017/18,30/12/17,16,Maccabi Netanya,Hapoel Raanana,5600
2017/18,31/12/17,16,Hapoel Ashkelon,Hapoel Beer Sheva,3800
2017/18,31/12/17,16,Ironi Kiryat Shmona,FC Ashdod,400
2017/18,08/01/18,17,FC Ashdod,Ihud Bnei Sakhnin,800
2017/18,08/01/18,17,Hapoel Acre,Hapoel Ashkelon,400
2017/18,08/01/18,17,Hapoel Haifa,Beitar Jerusalem,11650
2017/18,09/01/18,17,Hapoel Beer Sheva,Bnei Yehuda Tel Aviv,14672
2017/18,09/01/18,17,Maccabi Petah Tikva,Ironi Kiryat Shmona,900
2017/18,09/01/18,17,Maccabi Tel Aviv,Maccabi Netanya,10767
2017/18,10/01/18,17,Hapoel Raanana,Maccabi Haifa,2300
2017/18,13/01/18,18,Bnei Yehuda Tel Aviv,Hapoel Acre,2250
2017/18,13/01/18,18,Ihud Bnei Sakhnin,Maccabi Petah Tikva,700
2017/18,13/01/18,18,Ironi Kiryat Shmona,Beitar Jerusalem,3750
2017/18,13/01/18,18,Maccabi Netanya,FC Ashdod,4275
2017/18,14/01/18,18,Hapoel Ashkelon,Hapoel Raanana,1300
2017/18,14/01/18,18,Hapoel Beer Sheva,Hapoel Haifa,15097
2017/18,15/01/18,18,Maccabi Haifa,Maccabi Tel Aviv,22472
2017/18,20/01/18,19,FC Ashdod,Maccabi Haifa,3000
2017/18,20/01/18,19,Hapoel Acre,Hapoel Beer Sheva,2500
2017/18,20/01/18,19,Hapoel Haifa,Ironi Kiryat Shmona,4700
2017/18,20/01/18,19,Hapoel Raanana,Bnei Yehuda Tel Aviv,1000
2017/18,21/01/18,19,Maccabi Petah Tikva,Maccabi Netanya,1700
2017/18,21/01/18,19,Maccabi Tel Aviv,Hapoel Ashkelon,8467
2017/18,22/01/18,19,Beitar Jerusalem,Ihud Bnei Sakhnin,13000
2017/18,27/01/18,20,Hapoel Acre,Hapoel Haifa,1200
2017/18,27/01/18,20,Hapoel Ashkelon,FC Ashdod,750
2017/18,27/01/18,20,Hapoel Beer Sheva,Hapoel Raanana,12311
2017/18,27/01/18,20,Maccabi Haifa,Maccabi Petah Tikva,12127
2017/18,28/01/18,20,Bnei Yehuda Tel Aviv,Maccabi Tel Aviv,6300
2017/18,28/01/18,20,Ihud Bnei Sakhnin,Ironi Kiryat Shmona,400
2017/18,29/01/18,20,Maccabi Netanya,Beitar Jerusalem,10500
2017/18,03/02/18,21,Beitar Jerusalem,Maccabi Haifa,0
2017/18,03/02/18,21,Hapoel Haifa,Ihud Bnei Sakhnin,4700
2017/18,03/02/18,21,Hapoel Raanana,Hapoel Acre,650
2017/18,03/02/18,21,Ironi Kiryat Shmona,Maccabi Netanya,810
2017/18,04/02/18,21,FC Ashdod,Bnei Yehuda Tel Aviv,1250
2017/18,04/02/18,21,Maccabi Tel Aviv,Hapoel Beer Sheva,12397
2017/18,05/02/18,21,Maccabi Petah Tikva,Hapoel Ashkelon,1400
2017/18,10/02/18,22,Bnei Yehuda Tel Aviv,Maccabi Petah Tikva,2200
2017/18,10/02/18,22,Hapoel Ashkelon,Beitar Jerusalem,5200
2017/18,10/02/18,22,Hapoel Raanana,Hapoel Haifa,1600
2017/18,10/02/18,22,Maccabi Haifa,Ironi Kiryat Shmona,12063
2017/18,11/02/18,22,Hapoel Acre,Maccabi Tel Aviv,3500
2017/18,11/02/18,22,Maccabi Netanya,Ihud Bnei Sakhnin,4800
2017/18,12/02/18,22,Hapoel Beer Sheva,FC Ashdod,11745
2017/18,17/02/18,23,FC Ashdod,Hapoel Acre,350
2017/18,17/02/18,23,Hapoel Beer Sheva,Maccabi Petah Tikva,14173
2017/18,17/02/18,23,Ihud Bnei Sakhnin,Maccabi Haifa,2300
2017/18,17/02/18,23,Maccabi Tel Aviv,Hapoel Raanana,9656
2017/18,18/02/18,23,Hapoel Haifa,Maccabi Netanya,5430
2017/18,18/02/18,23,Ironi Kiryat Shmona,Hapoel Ashkelon,250
2017/18,19/02/18,23,Beitar Jerusalem,Bnei Yehuda Tel Aviv,0
2017/18,24/02/18,24,Hapoel Ashkelon,Ihud Bnei Sakhnin,1400
2017/18,24/02/18,24,Hapoel Raanana,FC Ashdod,800
2017/18,24/02/18,24,Maccabi Haifa,Maccabi Netanya,14467
2017/18,24/02/18,24,Maccabi Tel Aviv,Hapoel Haifa,11538
2017/18,25/02/18,24,Bnei Yehuda Tel Aviv,Ironi Kiryat Shmona,1200
2017/18,25/02/18,24,Hapoel Beer Sheva,Beitar Jerusalem,15712
2017/18,26/02/18,24,Maccabi Petah Tikva,Hapoel Acre,1000
2017/18,03/03/18,25,FC Ashdod,Maccabi Tel Aviv,5100
2017/18,03/03/18,25,Ihud Bnei Sakhnin,Bnei Yehuda Tel Aviv,1200
2017/18,03/03/18,25,Maccabi Netanya,Hapoel Ashkelon,4500
2017/18,03/03/18,25,Maccabi Petah Tikva,Hapoel Raanana,1200
2017/18,04/03/18,25,Beitar Jerusalem,Hapoel Acre,6000
2017/18,04/03/18,25,Ironi Kiryat Shmona,Hapoel Beer Sheva,1500
2017/18,05/03/18,25,Maccabi Haifa,Hapoel Haifa,10132
2017/18,10/03/18,26,Bnei Yehuda Tel Aviv,Maccabi Netanya,3400
2017/18,10/03/18,26,Hapoel Ashkelon,Maccabi Haifa,3200
2017/18,10/03/18,26,Hapoel Beer Sheva,Ihud Bnei Sakhnin,14464
2017/18,10/03/18,26,Hapoel Haifa,FC Ashdod,4200
2017/18,11/03/18,26,Hapoel Acre,Ironi Kiryat Shmona,250
2017/18,11/03/18,26,Hapoel Raanana,Beitar Jerusalem,5500
2017/18,12/03/18,26,Maccabi Tel Aviv,Maccabi Petah Tikva,8045
