Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2013/14,24/08/13,1,Beitar Jerusalem,Hapoel Beer Sheva,10800
2013/14,24/08/13,1,Bnei Yehuda Tel Aviv,FC Ashdod,2600
2013/14,24/08/13,1,Hapoel Acre,Maccabi Tel Aviv,4400
2013/14,24/08/13,1,Hapoel Raanana,Maccabi Petah Tikva,700
2013/14,24/08/13,1,Hapoel Ramat haSharon,Hapoel Haifa,800
2013/14,25/08/13,1,Hapoel Tel Aviv,Ihud Bnei Sakhnin,8900
2013/14,25/08/13,1,Maccabi Haifa,Ironi Kiryat Shmona,8000
2013/14,01/09/13,2,FC Ashdod,Maccabi Haifa,5000
2013/14,01/09/13,2,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,12578
2013/14,31/08/13,2,Hapoel Beer Sheva,Hapoel Tel Aviv,8000
2013/14,31/08/13,2,Hapoel Haifa,Hapoel Raanana,3500
2013/14,31/08/13,2,Ihud Bnei Sakhnin,Hapoel Acre,2500
2013/14,31/08/13,2,Ironi Kiryat Shmona,Hapoel Ramat haSharon,750
2013/14,31/08/13,2,Maccabi Petah Tikva,Beitar Jerusalem,6000
2013/14,21/09/13,3,Beitar Jerusalem,Hapoel Haifa,8000
2013/14,21/09/13,3,Bnei Yehuda Tel Aviv,Ihud Bnei Sakhnin,2500
2013/14,21/09/13,3,Hapoel Acre,Hapoel Beer Sheva,4000
2013/14,21/09/13,3,Hapoel Ramat haSharon,Hapoel Raanana,400
2013/14,21/09/13,3,Ironi Kiryat Shmona,FC Ashdod,1000
2013/14,22/09/13,3,Hapoel Tel Aviv,Maccabi Petah Tikva,8800
2013/14,23/09/13,3,Maccabi Haifa,Maccabi Tel Aviv,14000
2013/14,28/09/13,4,FC Ashdod,Hapoel Ramat haSharon,1500
2013/14,28/09/13,4,Hapoel Haifa,Hapoel Tel Aviv,6000
2013/14,28/09/13,4,Ihud Bnei Sakhnin,Maccabi Haifa,4000
2013/14,28/09/13,4,Maccabi Petah Tikva,Hapoel Acre,1100
2013/14,28/09/13,4,Maccabi Tel Aviv,Ironi Kiryat Shmona,12700
2013/14,29/09/13,4,Hapoel Raanana,Beitar Jerusalem,3800
2013/14,30/09/13,4,Hapoel Beer Sheva,Bnei Yehuda Tel Aviv,8000
2013/14,05/10/13,5,Bnei Yehuda Tel Aviv,Maccabi Petah Tikva,2500
2013/14,05/10/13,5,Hapoel Acre,Hapoel Haifa,2500
2013/14,05/10/13,5,Hapoel Ramat haSharon,Beitar Jerusalem,1800
2013/14,05/10/13,5,Hapoel Tel Aviv,Hapoel Raanana,12500
2013/14,05/10/13,5,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,2000
2013/14,06/10/13,5,FC Ashdod,Maccabi Tel Aviv,6200
2013/14,06/10/13,5,Maccabi Haifa,Hapoel Beer Sheva,8000
2013/14,19/10/13,6,Hapoel Beer Sheva,Ironi Kiryat Shmona,8500
2013/14,19/10/13,6,Hapoel Haifa,Bnei Yehuda Tel Aviv,3000
2013/14,19/10/13,6,Hapoel Raanana,Hapoel Acre,200
2013/14,19/10/13,6,Ihud Bnei Sakhnin,FC Ashdod,3000
2013/14,19/10/13,6,Maccabi Petah Tikva,Maccabi Haifa,6000
2013/14,20/10/13,6,Maccabi Tel Aviv,Hapoel Ramat haSharon,16000
2013/14,21/10/13,6,Beitar Jerusalem,Hapoel Tel Aviv,0
2013/14,26/10/13,7,Bnei Yehuda Tel Aviv,Hapoel Raanana,2000
2013/14,26/10/13,7,FC Ashdod,Hapoel Beer Sheva,3000
2013/14,26/10/13,7,Hapoel Acre,Beitar Jerusalem,5000
