Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2018/19,16/03/19,1,Championship Round,Maccabi Tel Aviv,Hapoel Hadera,2:0,2,0,6497,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-hadera/index/spielbericht/3167192
2018/19,16/03/19,1,Championship Round,Maccabi Haifa,Bnei Yehuda Tel Aviv,0:2,0,2,10963,https://www.transfermarkt.com/maccabi-haifa_bnei-yehuda-tel-aviv/index/spielbericht/3167193
2018/19,17/03/19,1,Championship Round,Maccabi Netanya,Hapoel Beer Sheva,0:1,0,1,5000,https://www.transfermarkt.com/maccabi-netanya_hapoel-beer-sheva/index/spielbericht/3167194
2018/19,30/03/19,2,Championship Round,Hapoel Hadera,Hapoel Beer Sheva,1:4,1,4,2500,https://www.transfermarkt.com/hapoel-hadera_hapoel-beer-sheva/index/spielbericht/3167195
2018/19,30/03/19,2,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Netanya,1:1,1,1,2000,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-netanya/index/spielbericht/3167196
2018/19,30/03/19,2,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,1:0,1,0,12280,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/3167197
2018/19,06/04/19,3,Championship Round,Hapoel Beer Sheva,Bnei Yehuda Tel Aviv,2:1,2,1,12950,https://www.transfermarkt.com/hapoel-beer-sheva_bnei-yehuda-tel-aviv/index/spielbericht/3167200
2018/19,06/04/19,3,Championship Round,Maccabi Haifa,Hapoel Hadera,1:3,1,3,9620,https://www.transfermarkt.com/maccabi-haifa_hapoel-hadera/index/spielbericht/3167198
2018/19,07/04/19,3,Championship Round,Maccabi Netanya,Maccabi Tel Aviv,1:4,1,4,4950,https://www.transfermarkt.com/maccabi-netanya_maccabi-tel-aviv/index/spielbericht/3167199
2018/19,14/04/19,4,Championship Round,Hapoel Hadera,Bnei Yehuda Tel Aviv,2:3,2,3,1000,https://www.transfermarkt.com/hapoel-hadera_bnei-yehuda-tel-aviv/index/spielbericht/3167201
2018/19,14/04/19,4,Championship Round,Maccabi Haifa,Maccabi Netanya,2:1,2,1,11158,https://www.transfermarkt.com/maccabi-haifa_maccabi-netanya/index/spielbericht/3167203
2018/19,15/04/19,4,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,0:0,0,0,9353,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/3167202
2018/19,22/04/19,5,Championship Round,Hapoel Beer Sheva,Maccabi Haifa,0:1,0,1,15752,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/3177755
2018/19,23/04/19,5,Championship Round,Maccabi Netanya,Hapoel Hadera,3:2,3,2,3900,https://www.transfermarkt.com/maccabi-netanya_hapoel-hadera/index/spielbericht/3177756
2018/19,23/04/19,5,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Tel Aviv,0:2,0,2,5000,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-tel-aviv/index/spielbericht/3177757
2018/19,27/04/19,6,Championship Round,Hapoel Hadera,Maccabi Tel Aviv,0:1,0,1,2500,https://www.transfermarkt.com/hapoel-hadera_maccabi-tel-aviv/index/spielbericht/3167204
2018/19,28/04/19,6,Championship Round,Hapoel Beer Sheva,Maccabi Netanya,0:2,0,2,10000,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-netanya/index/spielbericht/3167206
2018/19,29/04/19,6,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Haifa,2:2,2,2,5500,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-haifa/index/spielbericht/3167205
2018/19,04/05/19,7,Championship Round,Hapoel Hadera,Maccabi Netanya,1:2,1,2,1800,https://www.transfermarkt.com/hapoel-hadera_maccabi-netanya/index/spielbericht/3167207
2018/19,05/05/19,7,Championship Round,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,2:3,2,3,4160,https://www.transfermarkt.com/maccabi-tel-aviv_bnei-yehuda-tel-aviv/index/spielbericht/3167209
2018/19,06/05/19,7,Championship Round,Maccabi Haifa,Hapoel Beer Sheva,3:1,3,1,14273,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/3167208
2018/19,11/05/19,8,Championship Round,Maccabi Tel Aviv,Maccabi Netanya,3:0,3,0,8737,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-netanya/index/spielbericht/3167211
2018/19,11/05/19,8,Championship Round,Bnei Yehuda Tel Aviv,Hapoel Beer Sheva,2:3,2,3,2000,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_hapoel-beer-sheva/index/spielbericht/3167212
2018/19,13/05/19,8,Championship Round,Hapoel Hadera,Maccabi Haifa,2:0,2,0,4000,https://www.transfermarkt.com/hapoel-hadera_maccabi-haifa/index/spielbericht/3167210
2018/19,19/05/19,9,Championship Round,Hapoel Beer Sheva,Hapoel Hadera,1:0,1,0,9238,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-hadera/index/spielbericht/3167213
2018/19,19/05/19,9,Championship Round,Maccabi Netanya,Bnei Yehuda Tel Aviv,0:2,0,2,3200,https://www.transfermarkt.com/maccabi-netanya_bnei-yehuda-tel-aviv/index/spielbericht/3167214
2018/19,19/05/19,9,Championship Round,Maccabi Haifa,Maccabi Tel Aviv,1:1,1,1,16241,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/3167215
2018/19,25/05/19,10,Championship Round,Bnei Yehuda Tel Aviv,Hapoel Hadera,1:2,1,2,2800,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_hapoel-hadera/index/spielbericht/3167216
2018/19,25/05/19,10,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,0:4,0,4,14040,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/3167217
2018/19,25/05/19,10,Championship Round,Maccabi Netanya,Maccabi Haifa,1:2,1,2,7100,https://www.transfermarkt.com/maccabi-netanya_maccabi-haifa/index/spielbericht/3167218
2018/19,16/03/19,1,Relegation Round,Hapoel Raanana,Ihud Bnei Sakhnin,2:2,2,2,300,https://www.transfermarkt.com/hapoel-raanana_ihud-bnei-sakhnin/index/spielbericht/3167231
2018/19,16/03/19,1,Relegation Round,Hapoel Tel Aviv,FC Ashdod,5:1,5,1,4400,https://www.transfermarkt.com/hapoel-tel-aviv_fc-ashdod/index/spielbericht/3167232
2018/19,17/03/19,1,Relegation Round,Ironi Kiryat Shmona,Maccabi Petah Tikva,0:1,0,1,350,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-petah-tikva/index/spielbericht/3167233
2018/19,17/03/19,1,Relegation Round,Hapoel Haifa,Beitar Jerusalem,0:0,0,0,2900,https://www.transfermarkt.com/hapoel-haifa_beitar-jerusalem/index/spielbericht/3167234
2018/19,30/03/19,2,Relegation Round,FC Ashdod,Ironi Kiryat Shmona,3:2,3,2,250,https://www.transfermarkt.com/fc-ashdod_ironi-kiryat-shmona/index/spielbericht/3167235
2018/19,31/03/19,2,Relegation Round,Maccabi Petah Tikva,Hapoel Raanana,1:1,1,1,388,https://www.transfermarkt.com/maccabi-petah-tikva_hapoel-raanana/index/spielbericht/3167236
2018/19,31/03/19,2,Relegation Round,Beitar Jerusalem,Ihud Bnei Sakhnin,0:0,0,0,5500,https://www.transfermarkt.com/beitar-jerusalem_ihud-bnei-sakhnin/index/spielbericht/3167237
2018/19,01/04/19,2,Relegation Round,Hapoel Haifa,Hapoel Tel Aviv,0:0,0,0,2950,https://www.transfermarkt.com/hapoel-haifa_hapoel-tel-aviv/index/spielbericht/3167238
2018/19,06/04/19,3,Relegation Round,Ironi Kiryat Shmona,Hapoel Haifa,3:0,3,0,600,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-haifa/index/spielbericht/3167240
2018/19,06/04/19,3,Relegation Round,Ihud Bnei Sakhnin,Maccabi Petah Tikva,1:1,1,1,2300,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-petah-tikva/index/spielbericht/3167242
2018/19,07/04/19,3,Relegation Round,Hapoel Raanana,FC Ashdod,1:2,1,2,600,https://www.transfermarkt.com/hapoel-raanana_fc-ashdod/index/spielbericht/3167241
