Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2014/15,13/09/14,1,FC Ashdod,Ironi Kiryat Shmona,3500
2014/15,13/09/14,1,Hapoel Acre,Hapoel Haifa,4000
2014/15,13/09/14,1,Hapoel Beer Sheva,Beitar Jerusalem,8600
2014/15,13/09/14,1,Hapoel Raanana,Hapoel Petah Tikva,1500
2014/15,13/09/14,1,Hapoel Tel Aviv,Maccabi Netanya,10000
2014/15,14/09/14,1,Maccabi Petah Tikva,Maccabi Tel Aviv,4316
2014/15,15/09/14,1,Maccabi Haifa,Ihud Bnei Sakhnin,0
2014/15,20/09/14,2,Hapoel Haifa,FC Ashdod,0
2014/15,20/09/14,2,Hapoel Petah Tikva,Hapoel Beer Sheva,4000
2014/15,20/09/14,2,Ihud Bnei Sakhnin,Hapoel Acre,1700
2014/15,20/09/14,2,Ironi Kiryat Shmona,Hapoel Tel Aviv,0
2014/15,20/09/14,2,Maccabi Netanya,Maccabi Petah Tikva,0
2014/15,21/09/14,2,Maccabi Tel Aviv,Hapoel Raanana,11141
2014/15,22/09/14,2,Beitar Jerusalem,Maccabi Haifa,19000
2014/15,27/09/14,3,FC Ashdod,Ihud Bnei Sakhnin,5000
2014/15,27/09/14,3,Hapoel Acre,Beitar Jerusalem,0
2014/15,27/09/14,3,Hapoel Tel Aviv,Hapoel Haifa,0
2014/15,27/09/14,3,Maccabi Netanya,Ironi Kiryat Shmona,0
2014/15,27/09/14,3,Maccabi Petah Tikva,Hapoel Raanana,0
2014/15,28/09/14,3,Maccabi Haifa,Hapoel Petah Tikva,23800
2014/15,29/09/14,3,Hapoel Beer Sheva,Maccabi Tel Aviv,13000
2014/15,18/10/14,4,Hapoel Haifa,Maccabi Netanya,0
2014/15,18/10/14,4,Hapoel Petah Tikva,Hapoel Acre,7150
2014/15,18/10/14,4,Hapoel Raanana,Hapoel Beer Sheva,3000
2014/15,18/10/14,4,Ihud Bnei Sakhnin,Hapoel Tel Aviv,0
2014/15,18/10/14,4,Ironi Kiryat Shmona,Maccabi Petah Tikva,0
2014/15,19/10/14,4,Beitar Jerusalem,FC Ashdod,8500
2014/15,20/10/14,4,Maccabi Tel Aviv,Maccabi Haifa,13680
2014/15,25/10/14,5,FC Ashdod,Hapoel Petah Tikva,2500
2014/15,25/10/14,5,Ironi Kiryat Shmona,Hapoel Haifa,0
2014/15,25/10/14,5,Maccabi Haifa,Hapoel Raanana,20500
2014/15,25/10/14,5,Maccabi Netanya,Ihud Bnei Sakhnin,0
2014/15,25/10/14,5,Maccabi Petah Tikva,Hapoel Beer Sheva,3000
2014/15,26/10/14,5,Hapoel Acre,Maccabi Tel Aviv,7000
2014/15,27/10/14,5,Hapoel Tel Aviv,Beitar Jerusalem,0
2014/15,28/10/14,6,Hapoel Beer Sheva,Maccabi Haifa,10000
2014/15,28/10/14,6,Hapoel Haifa,Maccabi Petah Tikva,0
2014/15,28/10/14,6,Ihud Bnei Sakhnin,Ironi Kiryat Shmona,700
2014/15,29/10/14,6,Hapoel Raanana,Hapoel Acre,350
2014/15,29/10/14,6,Maccabi Tel Aviv,FC Ashdod,11322
2014/15,30/10/14,6,Beitar Jerusalem,Maccabi Netanya,0
2014/15,30/10/14,6,Hapoel Petah Tikva,Hapoel Tel Aviv,0
2014/15,01/11/14,7,FC Ashdod,Hapoel Raanana,0
2014/15,01/11/14,7,Hapoel Acre,Hapoel Beer Sheva,2500
2014/15,01/11/14,7,Hapoel Haifa,Ihud Bnei Sakhnin,0
2014/15,01/11/14,7,Maccabi Petah Tikva,Maccabi Haifa,5200
2014/15,02/11/14,7,Maccabi Netanya,Hapoel Petah Tikva,0
2014/15,03/11/14,7,Hapoel Tel Aviv,Maccabi Tel Aviv,0
2014/15,03/11/14,7,Ironi Kiryat Shmona,Beitar Jerusalem,0
2014/15,08/11/14,8,Beitar Jerusalem,Hapoel Haifa,0
2014/15,08/11/14,8,Hapoel Beer Sheva,FC Ashdod,7300
2014/15,08/11/14,8,Hapoel Petah Tikva,Ironi Kiryat Shmona,1500
2014/15,08/11/14,8,Maccabi Haifa,Hapoel Acre,20000
2014/15,09/11/14,8,Hapoel Raanana,Hapoel Tel Aviv,0
2014/15,09/11/14,8,Maccabi Tel Aviv,Maccabi Netanya,12766
2014/15,11/11/14,8,Ihud Bnei Sakhnin,Maccabi Petah Tikva,0
2014/15,22/11/14,9,FC Ashdod,Maccabi Haifa,3000
2014/15,22/11/14,9,Hapoel Haifa,Hapoel Petah Tikva,3000
2014/15,22/11/14,9,Hapoel Tel Aviv,Hapoel Beer Sheva,10000
2014/15,22/11/14,9,Maccabi Netanya,Hapoel Raanana,0
2014/15,22/11/14,9,Maccabi Petah Tikva,Hapoel Acre,0
2014/15,23/11/14,9,Ihud Bnei Sakhnin,Beitar Jerusalem,0
2014/15,24/11/14,9,Ironi Kiryat Shmona,Maccabi Tel Aviv,5000
2014/15,01/12/14,10,Beitar Jerusalem,Maccabi Petah Tikva,5000
2014/15,29/11/14,10,Hapoel Acre,FC Ashdod,0
2014/15,29/11/14,10,Hapoel Beer Sheva,Maccabi Netanya,7500
2014/15,29/11/14,10,Hapoel Petah Tikva,Ihud Bnei Sakhnin,0
2014/15,29/11/14,10,Hapoel Raanana,Ironi Kiryat Shmona,0
2014/15,29/11/14,10,Maccabi Tel Aviv,Hapoel Haifa,9896
2014/15,30/11/14,10,Maccabi Haifa,Hapoel Tel Aviv,0
2014/15,02/12/14,11,Hapoel Haifa,Hapoel Raanana,0
2014/15,02/12/14,11,Ironi Kiryat Shmona,Hapoel Beer Sheva,2500
2014/15,03/12/14,11,Hapoel Tel Aviv,Hapoel Acre,0
2014/15,03/12/14,11,Ihud Bnei Sakhnin,Maccabi Tel Aviv,3500
2014/15,03/12/14,11,Maccabi Netanya,Maccabi Haifa,9200
2014/15,04/12/14,11,Beitar Jerusalem,Hapoel Petah Tikva,4000
2014/15,04/12/14,11,Maccabi Petah Tikva,FC Ashdod,1200
2014/15,06/12/14,12,Hapoel Acre,Maccabi Netanya,0
2014/15,06/12/14,12,Hapoel Beer Sheva,Hapoel Haifa,8000
2014/15,06/12/14,12,Hapoel Raanana,Ihud Bnei Sakhnin,300
2014/15,06/12/14,12,Maccabi Haifa,Ironi Kiryat Shmona,28000
2014/15,07/12/14,12,FC Ashdod,Hapoel Tel Aviv,0
2014/15,08/12/14,12,Maccabi Petah Tikva,Hapoel Petah Tikva,0
2014/15,08/12/14,12,Maccabi Tel Aviv,Beitar Jerusalem,26500
2014/15,13/12/14,13,Hapoel Petah Tikva,Maccabi Tel Aviv,10000
2014/15,13/12/14,13,Hapoel Tel Aviv,Maccabi Petah Tikva,0
2014/15,13/12/14,13,Ihud Bnei Sakhnin,Hapoel Beer Sheva,3500
2014/15,13/12/14,13,Ironi Kiryat Shmona,Hapoel Acre,0
2014/15,13/12/14,13,Maccabi Netanya,FC Ashdod,0
2014/15,14/12/14,13,Hapoel Haifa,Maccabi Haifa,22250
2014/15,15/12/14,13,Beitar Jerusalem,Hapoel Raanana,6500
2014/15,20/12/14,14,Hapoel Haifa,Hapoel Acre,0
2014/15,20/12/14,14,Hapoel Petah Tikva,Hapoel Raanana,5000
2014/15,20/12/14,14,Ihud Bnei Sakhnin,Maccabi Haifa,5000
2014/15,20/12/14,14,Ironi Kiryat Shmona,FC Ashdod,0
2014/15,20/12/14,14,Maccabi Netanya,Hapoel Tel Aviv,0
2014/15,21/12/14,14,Maccabi Tel Aviv,Maccabi Petah Tikva,8732
2014/15,22/12/14,14,Beitar Jerusalem,Hapoel Beer Sheva,12000
2014/15,27/12/14,15,FC Ashdod,Hapoel Haifa,0
2014/15,27/12/14,15,Hapoel Acre,Ihud Bnei Sakhnin,3300
2014/15,27/12/14,15,Hapoel Beer Sheva,Hapoel Petah Tikva,6500
2014/15,27/12/14,15,Maccabi Haifa,Beitar Jerusalem,0
2014/15,27/12/14,15,Maccabi Petah Tikva,Maccabi Netanya,0
2014/15,28/12/14,15,Hapoel Raanana,Maccabi Tel Aviv,5000
2014/15,29/12/14,15,Hapoel Tel Aviv,Ironi Kiryat Shmona,0
2014/15,03/01/15,16,Beitar Jerusalem,Hapoel Acre,0
2014/15,03/01/15,16,Hapoel Haifa,Hapoel Tel Aviv,0
2014/15,03/01/15,16,Hapoel Raanana,Maccabi Petah Tikva,200
2014/15,03/01/15,16,Ihud Bnei Sakhnin,FC Ashdod,0
2014/15,03/01/15,16,Ironi Kiryat Shmona,Maccabi Netanya,0
2014/15,04/01/15,16,Hapoel Petah Tikva,Maccabi Haifa,4000
2014/15,05/01/15,16,Maccabi Tel Aviv,Hapoel Beer Sheva,13800
2014/15,10/01/15,17,FC Ashdod,Beitar Jerusalem,0
2014/15,10/01/15,17,Hapoel Acre,Hapoel Petah Tikva,0
2014/15,10/01/15,17,Hapoel Beer Sheva,Hapoel Raanana,4000
2014/15,10/01/15,17,Hapoel Tel Aviv,Ihud Bnei Sakhnin,0
2014/15,10/01/15,17,Maccabi Netanya,Hapoel Haifa,3000
2014/15,10/01/15,17,Maccabi Petah Tikva,Ironi Kiryat Shmona,0
2014/15,11/01/15,17,Maccabi Haifa,Maccabi Tel Aviv,0
2014/15,17/01/15,18,Hapoel Beer Sheva,Maccabi Petah Tikva,6000
2014/15,17/01/15,18,Hapoel Haifa,Ironi Kiryat Shmona,0
2014/15,17/01/15,18,Hapoel Petah Tikva,FC Ashdod,0
2014/15,17/01/15,18,Maccabi Tel Aviv,Hapoel Acre,11500
2014/15,18/01/15,18,Hapoel Raanana,Maccabi Haifa,2000
2014/15,19/01/15,18,Beitar Jerusalem,Hapoel Tel Aviv,23000
2014/15,19/01/15,18,Ihud Bnei Sakhnin,Maccabi Netanya,0
2014/15,24/01/15,19,FC Ashdod,Maccabi Tel Aviv,2400
2014/15,24/01/15,19,Hapoel Acre,Hapoel Raanana,0
2014/15,24/01/15,19,Hapoel Tel Aviv,Hapoel Petah Tikva,0
2014/15,24/01/15,19,Maccabi Haifa,Hapoel Beer Sheva,27000
2014/15,24/01/15,19,Maccabi Petah Tikva,Hapoel Haifa,0
2014/15,25/01/15,19,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,0
2014/15,26/01/15,19,Maccabi Netanya,Beitar Jerusalem,0
2014/15,01/02/15,20,Beitar Jerusalem,Ironi Kiryat Shmona,0
2014/15,02/02/15,20,Hapoel Raanana,FC Ashdod,0
2014/15,02/02/15,20,Maccabi Tel Aviv,Hapoel Tel Aviv,13500
2014/15,31/01/15,20,Hapoel Beer Sheva,Hapoel Acre,5600
2014/15,31/01/15,20,Hapoel Petah Tikva,Maccabi Netanya,0
2014/15,31/01/15,20,Ihud Bnei Sakhnin,Hapoel Haifa,0
