Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2013/14,22/03/14,1,Championship Round,Hapoel Beer Sheva,Ihud Bnei Sakhnin,2:0,2,0,6500,https://www.transfermarkt.com/hapoel-beer-sheva_ihud-bnei-sakhnin/index/spielbericht/2449963
2013/14,22/03/14,1,Championship Round,Ironi Kiryat Shmona,Maccabi Haifa,1:0,1,0,3000,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-haifa/index/spielbericht/2449964
2013/14,24/03/14,1,Championship Round,Maccabi Tel Aviv,Hapoel Tel Aviv,0:0,0,0,12983,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-tel-aviv/index/spielbericht/2449965
2013/14,29/03/14,2,Championship Round,Ihud Bnei Sakhnin,Ironi Kiryat Shmona,1:4,1,4,0,https://www.transfermarkt.com/ihud-bnei-sakhnin_ironi-kiryat-shmona/index/spielbericht/2449966
2013/14,29/03/14,2,Championship Round,Hapoel Tel Aviv,Maccabi Haifa,4:0,4,0,10000,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-haifa/index/spielbericht/2449967
2013/14,31/03/14,2,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,2:0,2,0,13397,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/2449968
2013/14,05/04/14,3,Championship Round,Maccabi Haifa,Ihud Bnei Sakhnin,1:2,1,2,6500,https://www.transfermarkt.com/maccabi-haifa_ihud-bnei-sakhnin/index/spielbericht/2449971
2013/14,05/04/14,3,Championship Round,Hapoel Beer Sheva,Hapoel Tel Aviv,1:1,1,1,7000,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-tel-aviv/index/spielbericht/2449969
2013/14,07/04/14,3,Championship Round,Ironi Kiryat Shmona,Maccabi Tel Aviv,2:2,2,2,4000,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-tel-aviv/index/spielbericht/2449970
2013/14,12/04/14,4,Championship Round,Hapoel Beer Sheva,Ironi Kiryat Shmona,0:2,0,2,4500,https://www.transfermarkt.com/hapoel-beer-sheva_ironi-kiryat-shmona/index/spielbericht/2449972
2013/14,12/04/14,4,Championship Round,Hapoel Tel Aviv,Ihud Bnei Sakhnin,3:0,3,0,6015,https://www.transfermarkt.com/hapoel-tel-aviv_ihud-bnei-sakhnin/index/spielbericht/2449974
2013/14,13/04/14,4,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,1:0,1,0,12883,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/2449973
2013/14,19/04/14,5,Championship Round,Ironi Kiryat Shmona,Hapoel Tel Aviv,1:1,1,1,0,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-tel-aviv/index/spielbericht/2455104
2013/14,19/04/14,5,Championship Round,Maccabi Haifa,Hapoel Beer Sheva,2:1,2,1,5000,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/2455105
2013/14,20/04/14,5,Championship Round,Ihud Bnei Sakhnin,Maccabi Tel Aviv,2:1,2,1,8500,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-tel-aviv/index/spielbericht/2455106
2013/14,26/04/14,6,Championship Round,Ihud Bnei Sakhnin,Hapoel Beer Sheva,0:0,0,0,1000,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-beer-sheva/index/spielbericht/2455107
2013/14,26/04/14,6,Championship Round,Hapoel Tel Aviv,Maccabi Tel Aviv,3:1,3,1,11300,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-tel-aviv/index/spielbericht/2455108
2013/14,28/04/14,6,Championship Round,Maccabi Haifa,Ironi Kiryat Shmona,1:3,1,3,5500,https://www.transfermarkt.com/maccabi-haifa_ironi-kiryat-shmona/index/spielbericht/2455109
2013/14,03/05/14,7,Championship Round,Maccabi Haifa,Hapoel Tel Aviv,1:1,1,1,6500,https://www.transfermarkt.com/maccabi-haifa_hapoel-tel-aviv/index/spielbericht/2455112
