Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2010/11,21/08/10,1,Bnei Yehuda Tel Aviv,Hapoel Ramat Gan,1500
2010/11,21/08/10,1,Hapoel Acre,FC Ashdod,200
2010/11,21/08/10,1,Hapoel Ashkelon,Hapoel Petah Tikva,1200
2010/11,21/08/10,1,Hapoel Haifa,Hapoel Tel Aviv,6000
2010/11,21/08/10,1,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,1500
2010/11,21/08/10,1,Maccabi Netanya,Beitar Jerusalem,3000
2010/11,22/08/10,1,Maccabi Tel Aviv,Maccabi Haifa,15000
2010/11,23/08/10,1,Maccabi Petah Tikva,Hapoel Beer Sheva,1500
2010/11,28/08/10,2,FC Ashdod,Ironi Kiryat Shmona,2000
2010/11,28/08/10,2,Hapoel Beer Sheva,Bnei Yehuda Tel Aviv,4000
2010/11,28/08/10,2,Hapoel Petah Tikva,Hapoel Acre,1500
2010/11,28/08/10,2,Hapoel Ramat Gan,Hapoel Haifa,2000
2010/11,28/08/10,2,Hapoel Tel Aviv,Hapoel Ashkelon,0
2010/11,28/08/10,2,Ihud Bnei Sakhnin,Maccabi Netanya,750
2010/11,28/08/10,2,Maccabi Haifa,Maccabi Petah Tikva,7000
2010/11,29/08/10,2,Beitar Jerusalem,Maccabi Tel Aviv,9000
2010/11,11/09/10,3,Hapoel Acre,Hapoel Tel Aviv,2000
2010/11,11/09/10,3,Hapoel Ashkelon,Hapoel Ramat Gan,800
2010/11,11/09/10,3,Ironi Kiryat Shmona,Hapoel Petah Tikva,1200
2010/11,11/09/10,3,Maccabi Netanya,FC Ashdod,2000
2010/11,11/09/10,3,Maccabi Petah Tikva,Beitar Jerusalem,2300
2010/11,11/09/10,3,Maccabi Tel Aviv,Ihud Bnei Sakhnin,10000
2010/11,12/09/10,3,Hapoel Haifa,Bnei Yehuda Tel Aviv,4000
2010/11,13/09/10,3,Hapoel Beer Sheva,Maccabi Haifa,6000
2010/11,25/09/10,4,Beitar Jerusalem,Hapoel Beer Sheva,5500
2010/11,25/09/10,4,Bnei Yehuda Tel Aviv,Maccabi Haifa,4500
2010/11,25/09/10,4,Hapoel Haifa,Hapoel Ashkelon,4000
2010/11,25/09/10,4,Hapoel Petah Tikva,Maccabi Netanya,2000
2010/11,25/09/10,4,Hapoel Tel Aviv,Ironi Kiryat Shmona,10000
2010/11,25/09/10,4,Ihud Bnei Sakhnin,Maccabi Petah Tikva,1500
2010/11,26/09/10,4,Hapoel Ramat Gan,Hapoel Acre,500
2010/11,27/09/10,4,FC Ashdod,Maccabi Tel Aviv,6000
2010/11,02/10/10,5,Hapoel Acre,Hapoel Haifa,0
2010/11,02/10/10,5,Hapoel Ashkelon,Bnei Yehuda Tel Aviv,0
2010/11,02/10/10,5,Hapoel Beer Sheva,Ihud Bnei Sakhnin,0
2010/11,02/10/10,5,Maccabi Netanya,Hapoel Tel Aviv,0
2010/11,02/10/10,5,Maccabi Petah Tikva,FC Ashdod,0
2010/11,02/10/10,5,Maccabi Tel Aviv,Hapoel Petah Tikva,0
2010/11,03/10/10,5,Maccabi Haifa,Beitar Jerusalem,13000
2010/11,04/10/10,5,Ironi Kiryat Shmona,Hapoel Ramat Gan,0
2010/11,16/10/10,6,Hapoel Ashkelon,Hapoel Acre,0
2010/11,16/10/10,6,Hapoel Haifa,Ironi Kiryat Shmona,0
2010/11,16/10/10,6,Hapoel Petah Tikva,Maccabi Petah Tikva,0
2010/11,16/10/10,6,Hapoel Ramat Gan,Maccabi Netanya,0
2010/11,16/10/10,6,Hapoel Tel Aviv,Maccabi Tel Aviv,0
2010/11,16/10/10,6,Ihud Bnei Sakhnin,Maccabi Haifa,2500
2010/11,17/10/10,6,FC Ashdod,Hapoel Beer Sheva,0
2010/11,18/10/10,6,Bnei Yehuda Tel Aviv,Beitar Jerusalem,0
2010/11,23/10/10,7,Hapoel Acre,Bnei Yehuda Tel Aviv,0
2010/11,23/10/10,7,Hapoel Beer Sheva,Hapoel Petah Tikva,0
