Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2021/22,19/03/22,1,Championship Round,Maccabi Tel Aviv,Ihud Bnei Sakhnin,0:0,0,0,20630,https://www.transfermarkt.com/maccabi-tel-aviv_ihud-bnei-sakhnin/index/spielbericht/3772005
2021/22,19/03/22,1,Championship Round,Hapoel Beer Sheva,Maccabi Netanya,4:1,4,1,11591,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-netanya/index/spielbericht/3772006
2021/22,19/03/22,1,Championship Round,Maccabi Haifa,Hapoel Tel Aviv,3:0,3,0,27532,https://www.transfermarkt.com/maccabi-haifa_hapoel-tel-aviv/index/spielbericht/3772007
2021/22,02/04/22,2,Championship Round,Hapoel Tel Aviv,Ihud Bnei Sakhnin,2:1,2,1,6700,https://www.transfermarkt.com/hapoel-tel-aviv_ihud-bnei-sakhnin/index/spielbericht/3772008
2021/22,02/04/22,2,Championship Round,Maccabi Netanya,Maccabi Tel Aviv,1:1,1,1,11100,https://www.transfermarkt.com/maccabi-netanya_maccabi-tel-aviv/index/spielbericht/3772009
2021/22,04/04/22,2,Championship Round,Maccabi Haifa,Hapoel Beer Sheva,2:0,2,0,28457,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/3772010
2021/22,10/04/22,3,Championship Round,Ihud Bnei Sakhnin,Maccabi Netanya,1:1,1,1,2500,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-netanya/index/spielbericht/3772013
2021/22,10/04/22,3,Championship Round,Hapoel Beer Sheva,Hapoel Tel Aviv,2:2,2,2,11633,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-tel-aviv/index/spielbericht/3772011
2021/22,11/04/22,3,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,1:1,1,1,25132,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/3772012
2021/22,16/04/22,4,Championship Round,Maccabi Haifa,Ihud Bnei Sakhnin,1:0,1,0,27253,https://www.transfermarkt.com/maccabi-haifa_ihud-bnei-sakhnin/index/spielbericht/3772015
2021/22,17/04/22,4,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,1:0,1,0,12550,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/3772016
2021/22,18/04/22,4,Championship Round,Hapoel Tel Aviv,Maccabi Netanya,2:0,2,0,11570,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-netanya/index/spielbericht/3772014
2021/22,23/04/22,5,Championship Round,Maccabi Netanya,Maccabi Haifa,3:0,3,0,12217,https://www.transfermarkt.com/maccabi-netanya_maccabi-haifa/index/spielbericht/3772020
2021/22,24/04/22,5,Championship Round,Ihud Bnei Sakhnin,Hapoel Beer Sheva,1:1,1,1,2000,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-beer-sheva/index/spielbericht/3772019
